col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 10th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Judy Moore,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Eryn Santamoor,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Erika Almirón,Joseph A Diorio,Vinny Black,Willie Floyd Singletary,Sandra Dungee Glenn,Fernando Treviño,Billy Thompson,Ogbonna Paul Hagins,Hena Veit,Bobbie Curry,Mark Ross,Ethelind Baylor,Asa Khalif,Latrice Y Bryant,Fareed Abdullah,Edwin Santana,Wayne Allen,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Judy Moore,310,"4,307","3,086","2,183","1,864","1,864","1,628","1,356","1,441","1,110","1,032",837,717,594,696,634,559,539,535,384,345,337,260,297,286,256,245,212,195,158,1,All
Helen Gym,,174,"2,308","1,837","1,526","1,490","1,273","1,063",823,635,676,671,356,368,400,415,369,241,388,253,159,157,220,140,127,134,95,87,91,70,0,All
Allan Domb,,,310,"1,344","1,466","1,199","1,154","1,074",335,223,494,237,473,282,139,301,219,287,78,144,173,204,84,112,67,113,122,102,101,90,2,All
Katherine Gilmore Richardson,,,,12,"1,272","1,205",704,553,184,148,361,368,161,230,51,301,210,115,42,109,91,78,82,60,89,58,49,33,37,24,0,All
Derek S Green,,,,,20,"1,301",430,618,146,102,141,142,106,252,57,92,73,112,32,33,68,60,107,72,48,72,40,49,25,32,1,All
Isaiah Thomas,,,,,,61,286,541,193,136,107,236,123,231,79,122,77,89,37,46,27,52,149,107,71,102,46,38,49,26,0,All
Eryn Santamoor,,,,,,,53,595,266,192,324,351,159,113,87,188,281,114,58,135,87,87,43,44,63,41,66,40,39,34,1,All
Justin Diberardinis,,,,,,,,50,142,88,228,210,228,130,41,127,89,84,22,61,72,102,98,42,28,33,48,35,27,35,1,All
Adrián Rivera-reyes,,,,,,,,,33,594,197,182,104,64,367,87,200,87,342,96,37,35,52,64,60,46,96,41,24,20,0,All
Deja Lynn Alvarez,,,,,,,,,,34,136,130,84,46,361,67,149,58,324,76,37,38,36,61,69,37,61,23,20,10,0,All
Beth Finn,,,,,,,,,,,19,218,190,92,41,247,87,132,31,121,99,108,40,42,59,32,62,52,38,41,1,All
Erika Almirón,,,,,,,,,,,,7,50,42,20,159,212,31,31,59,28,24,88,58,64,31,32,13,19,12,0,All
Joseph A Diorio,,,,,,,,,,,,,25,107,83,63,87,177,45,66,100,90,16,18,44,15,41,38,53,40,2,All
Vinny Black,,,,,,,,,,,,,,52,39,49,30,80,16,40,36,49,12,28,22,22,17,25,47,15,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,14,21,41,91,272,29,39,17,14,22,34,25,15,21,13,18,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,2,26,57,15,70,55,35,28,43,56,31,24,25,15,13,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,10,56,40,44,16,32,9,27,30,29,75,28,22,14,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,10,38,38,95,76,23,18,37,29,32,46,35,45,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,16,45,19,13,13,21,18,14,8,11,10,13,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,2,30,19,16,21,28,18,15,5,22,11,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,3,60,9,10,27,13,26,38,34,30,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,2,9,12,25,15,12,33,18,27,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,4,23,21,23,8,14,6,17,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,1,39,79,21,21,17,6,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,2,39,16,12,20,10,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,20,23,6,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,9,15,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,13,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,668","5,396","4,446","2,668","2,407","2,352","2,162","1,925","1,633","1,255","1,241","1,000",922,793,774,732,702,658,612,452,414,412,344,339,332,305,301,253,236,186,2,All
