col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Daniel D Mccaffery,107,394,158,385,323,152,All
Amanda Green-hawkins,,41,78,253,248,94,All
Beth Tarasi,,,40,211,56,72,All
Tracey Gordon,,,,37,0,0,All
Ronald R Donatucci,,,,,27,0,All
Jacque P Whaumbush,,,,,,17,All
Total,"1,006",665,395,614,427,246,All
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,1
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,1
Daniel D Mccaffery,6,22,2,14,18,8,1
Amanda Green-hawkins,,3,6,14,15,6,1
Beth Tarasi,,,2,9,3,1,1
Tracey Gordon,,,,2,0,0,1
Ronald R Donatucci,,,,,0,0,1
Jacque P Whaumbush,,,,,,0,1
Total,48,40,15,28,22,12,1
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,2
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,2
Daniel D Mccaffery,12,33,17,42,23,10,2
Amanda Green-hawkins,,3,7,24,17,5,2
Beth Tarasi,,,3,14,7,9,2
Tracey Gordon,,,,3,0,0,2
Ronald R Donatucci,,,,,1,0,2
Jacque P Whaumbush,,,,,,3,2
Total,89,50,34,56,30,17,2
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,3
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,3
Daniel D Mccaffery,7,19,6,11,14,4,3
Amanda Green-hawkins,,1,3,12,12,4,3
Beth Tarasi,,,2,8,1,0,3
Tracey Gordon,,,,2,0,0,3
Ronald R Donatucci,,,,,0,0,3
Jacque P Whaumbush,,,,,,0,3
Total,39,30,13,21,16,6,3
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,4
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,4
Daniel D Mccaffery,7,14,8,19,14,8,4
Beth Tarasi,,2,8,12,5,8,4
Amanda Green-hawkins,,,5,14,5,3,4
Tracey Gordon,,,,1,0,0,4
Ronald R Donatucci,,,,,1,0,4
Jacque P Whaumbush,,,,,,1,4
Total,49,28,27,29,19,14,4
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,5
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,5
Daniel D Mccaffery,6,17,15,21,12,4,5
Beth Tarasi,,3,3,16,2,5,5
Amanda Green-hawkins,,,1,11,9,3,5
Tracey Gordon,,,,1,0,0,5
Ronald R Donatucci,,,,,2,0,5
Jacque P Whaumbush,,,,,,0,5
Total,45,27,25,28,16,9,5
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,6
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,6
Daniel D Mccaffery,1,2,5,5,5,5,6
Beth Tarasi,,3,0,7,0,2,6
Amanda Green-hawkins,,,0,3,5,1,6
Tracey Gordon,,,,1,0,0,6
Ronald R Donatucci,,,,,1,0,6
Jacque P Whaumbush,,,,,,0,6
Total,16,12,9,14,8,6,6
,Judge Of The Superior Court - Democrat,,,Register Of Wills - Democrat,,,7
