col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 1st District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Lou Lanni,Jennifer Schultz,Tiffany Palmer,Beth Grossman,Wendi Barish,Anthony Kyriakakis,Nicola Serianni,Joshua Roberts,James C Crumlish,Cateria R Mccabe,Carmella Jacquinto,Craig Levin,Kay Yu,Vicki Markovitz,Kendra Mccrae,Jon Marshall,Janine D Momasso,Chris Hall,Laurie Dow,Henry Mcgregor Sias,James F Berardinelli,Leon Goodman,Sherman Toppin,Terri M Booker,Robert Trimble,Gregory Weyer,All
Mark F Squilla,102,0,267,179,166,152,141,128,124,131,120,99,83,103,95,78,70,74,74,69,70,66,54,42,43,25,15,All
Lou Lanni,,18,130,61,66,56,38,56,51,33,27,36,47,31,34,36,37,24,25,29,16,16,21,16,11,9,3,All
Jennifer Schultz,,,4,124,132,139,52,127,72,48,79,65,69,57,78,56,55,59,31,56,34,24,23,16,25,17,8,All
Tiffany Palmer,,,,0,66,100,104,85,28,80,66,41,22,69,45,51,8,42,67,29,53,25,23,5,14,9,6,All
Beth Grossman,,,,,2,104,31,71,35,33,32,50,32,33,75,55,24,36,22,50,14,40,19,9,20,7,5,All
Wendi Barish,,,,,,0,38,89,27,39,54,40,26,40,56,44,17,54,19,48,20,18,18,5,18,7,6,All
Anthony Kyriakakis,,,,,,,1,32,55,99,53,45,19,60,20,18,9,13,66,12,44,29,19,29,10,12,3,All
Nicola Serianni,,,,,,,,0,20,29,61,32,28,43,45,49,22,53,15,35,21,23,18,10,15,6,7,All
Joshua Roberts,,,,,,,,,2,55,43,42,53,20,19,13,45,11,12,14,13,10,15,43,9,11,5,All
James C Crumlish,,,,,,,,,,3,34,39,31,27,21,23,23,11,66,13,19,23,29,29,7,11,2,All
Cateria R Mccabe,,,,,,,,,,,2,39,13,35,26,31,7,48,9,14,26,17,24,35,12,9,8,All
Carmella Jacquinto,,,,,,,,,,,,2,13,27,33,32,6,21,14,31,14,5,17,30,12,7,2,All
Craig Levin,,,,,,,,,,,,,4,9,23,10,52,9,15,11,6,14,24,8,5,10,1,All
Kay Yu,,,,,,,,,,,,,,1,22,25,8,24,18,18,50,15,10,7,9,4,4,All
Vicki Markovitz,,,,,,,,,,,,,,,0,30,9,20,8,30,9,21,15,6,8,5,5,All
Kendra Mccrae,,,,,,,,,,,,,,,,2,7,24,22,24,8,11,13,8,18,6,3,All
Jon Marshall,,,,,,,,,,,,,,,,,2,3,10,9,9,9,14,4,2,7,4,All
Janine D Momasso,,,,,,,,,,,,,,,,,,0,7,19,7,19,6,11,18,4,5,All
Chris Hall,,,,,,,,,,,,,,,,,,,0,10,15,12,16,2,11,5,2,All
