col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joshua Roberts,Sherman Toppin,Cateria R Mccabe,Carmella Jacquinto,Anthony Kyriakakis,Jennifer Schultz,Henry Mcgregor Sias,Craig Levin,Jon Marshall,Terri M Booker,Kendra Mccrae,Leon Goodman,Tiffany Palmer,Wendi Barish,James C Crumlish,Beth Grossman,Nicola Serianni,Laurie Dow,Vicki Markovitz,Chris Hall,Kay Yu,Robert Trimble,Janine D Momasso,James F Berardinelli,Gregory Weyer,All
Joshua Roberts,142,325,307,279,296,117,300,109,106,41,32,44,25,34,47,34,38,25,21,14,5,21,7,16,9,All
Sherman Toppin,,8,363,277,296,21,292,18,20,78,40,44,21,22,16,10,18,10,26,13,10,8,5,4,5,All
Cateria R Mccabe,,,4,266,296,32,293,16,13,60,37,35,28,16,11,16,12,15,17,16,13,8,16,4,3,All
Carmella Jacquinto,,,,24,259,44,251,16,6,23,37,40,40,31,30,30,26,28,24,13,18,11,14,5,6,All
Anthony Kyriakakis,,,,,5,15,283,8,12,12,15,18,12,13,15,16,6,9,17,14,11,4,3,3,2,All
Jennifer Schultz,,,,,,96,9,114,109,25,42,26,46,47,35,43,50,40,23,18,15,22,16,7,5,All
Henry Mcgregor Sias,,,,,,,2,6,7,6,10,13,10,1,8,13,14,6,10,5,5,5,4,11,4,All
Craig Levin,,,,,,,,74,95,17,16,16,16,22,24,19,25,16,9,6,2,18,6,3,1,All
Jon Marshall,,,,,,,,,45,20,18,13,16,15,18,15,22,11,8,13,7,16,2,9,3,All
Terri M Booker,,,,,,,,,,21,44,40,25,30,22,17,15,19,20,17,19,16,11,2,7,All
Kendra Mccrae,,,,,,,,,,,1,37,43,39,19,28,29,22,26,13,20,10,14,7,5,All
Leon Goodman,,,,,,,,,,,,8,23,31,38,28,19,20,26,19,10,10,15,10,7,All
Tiffany Palmer,,,,,,,,,,,,,9,32,13,38,29,35,14,14,25,5,8,8,4,All
Wendi Barish,,,,,,,,,,,,,,5,30,27,24,29,23,9,16,10,10,5,4,All
James C Crumlish,,,,,,,,,,,,,,,14,12,20,7,13,16,10,17,1,8,5,All
Beth Grossman,,,,,,,,,,,,,,,,4,31,34,29,12,12,5,11,12,10,All
Nicola Serianni,,,,,,,,,,,,,,,,,2,21,27,7,10,10,16,12,10,All
Laurie Dow,,,,,,,,,,,,,,,,,,2,13,13,8,8,7,8,3,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,0,6,6,8,9,9,8,All
Chris Hall,,,,,,,,,,,,,,,,,,,,2,10,14,2,4,3,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,1,6,4,4,2,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,1,5,5,2,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,1,8,4,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,1,6,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,678,452,441,405,357,347,337,251,207,170,136,134,126,121,117,113,111,93,83,60,60,52,43,38,26,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jennifer Schultz,Joshua Roberts,Craig Levin,Jon Marshall,Wendi Barish,Carmella Jacquinto,James C Crumlish,Sherman Toppin,Cateria R Mccabe,Kay Yu,Terri M Booker,Anthony Kyriakakis,Beth Grossman,Tiffany Palmer,Kendra Mccrae,Leon Goodman,Chris Hall,Henry Mcgregor Sias,Robert Trimble,Nicola Serianni,Vicki Markovitz,James F Berardinelli,Janine D Momasso,Laurie Dow,Gregory Weyer,1
Jennifer Schultz,3,5,10,8,5,3,0,2,2,3,2,2,4,3,3,1,2,0,2,2,2,0,1,0,0,1
Joshua Roberts,,5,7,6,3,3,1,3,4,0,1,3,1,0,0,2,0,3,0,1,0,1,0,1,0,1
Craig Levin,,,3,8,2,1,0,2,1,0,2,1,2,0,1,1,1,0,1,1,0,0,1,0,0,1
Jon Marshall,,,,3,1,0,0,2,1,0,1,1,0,0,1,0,0,0,2,1,1,0,0,0,0,1
Wendi Barish,,,,,1,3,1,0,2,4,3,0,4,4,3,2,1,0,1,1,1,1,1,1,0,1
Carmella Jacquinto,,,,,,1,1,3,3,2,1,3,2,2,0,1,1,2,0,0,0,0,1,0,0,1
James C Crumlish,,,,,,,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Sherman Toppin,,,,,,,,1,4,0,1,4,0,0,1,0,0,3,1,0,0,0,0,0,0,1
Cateria R Mccabe,,,,,,,,,0,0,0,3,1,0,1,0,0,3,0,0,1,0,0,0,0,1
Kay Yu,,,,,,,,,,0,2,1,1,5,2,0,2,0,1,1,0,0,0,0,0,1
Terri M Booker,,,,,,,,,,,1,0,1,2,1,2,2,0,2,0,0,0,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1
Beth Grossman,,,,,,,,,,,,,0,1,1,2,1,0,0,0,1,1,1,1,0,1
Tiffany Palmer,,,,,,,,,,,,,,0,2,0,2,0,1,1,0,0,0,0,0,1
Kendra Mccrae,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,1,0,1
Chris Hall,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Robert Trimble,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1
Nicola Serianni,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,18,17,15,12,10,8,7,7,6,6,6,5,5,5,4,4,3,3,3,2,2,1,1,1,0,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,2
,Jennifer Schultz,Joshua Roberts,Carmella Jacquinto,Jon Marshall,Laurie Dow,Kendra Mccrae,Leon Goodman,Sherman Toppin,Terri M Booker,Wendi Barish,Craig Levin,Nicola Serianni,Henry Mcgregor Sias,James C Crumlish,Anthony Kyriakakis,Kay Yu,Tiffany Palmer,Cateria R Mccabe,Janine D Momasso,Beth Grossman,James F Berardinelli,Vicki Markovitz,Chris Hall,Gregory Weyer,Robert Trimble,2
Jennifer Schultz,9,7,2,8,4,2,2,0,1,6,7,4,0,3,1,0,2,0,0,1,0,2,0,0,1,2
Joshua Roberts,,2,10,7,1,3,5,8,6,2,7,1,4,5,3,1,0,3,0,0,1,1,0,1,1,2
Carmella Jacquinto,,,4,0,2,3,5,8,6,2,1,1,3,4,3,1,0,3,0,0,0,1,0,0,0,2
Jon Marshall,,,,1,2,1,0,0,0,2,7,1,1,1,1,0,1,0,1,1,2,0,0,1,1,2
Laurie Dow,,,,,2,6,1,0,1,6,0,4,1,0,2,2,3,0,1,3,1,1,0,0,0,2
Kendra Mccrae,,,,,,0,4,2,3,4,0,4,2,0,1,2,1,1,1,1,1,1,0,1,0,2
Leon Goodman,,,,,,,1,5,7,1,0,2,0,5,0,0,0,1,1,1,0,1,0,0,0,2
Sherman Toppin,,,,,,,,0,6,0,1,0,3,3,3,0,0,4,1,0,0,1,0,0,0,2
Terri M Booker,,,,,,,,,1,0,1,1,0,4,0,0,0,1,1,1,0,1,0,0,0,2
Wendi Barish,,,,,,,,,,0,1,4,0,1,2,2,2,0,1,1,0,2,0,0,0,2
Craig Levin,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2
Nicola Serianni,,,,,,,,,,,,1,1,2,0,1,1,0,1,1,1,2,0,0,0,2
Henry Mcgregor Sias,,,,,,,,,,,,,0,0,4,2,2,3,0,0,1,0,1,2,0,2
James C Crumlish,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,1,0,0,1,2
Anthony Kyriakakis,,,,,,,,,,,,,,,0,1,2,3,0,0,0,0,1,0,0,2
Kay Yu,,,,,,,,,,,,,,,,0,2,0,1,0,0,0,2,0,0,2
Tiffany Palmer,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,2
Cateria R Mccabe,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,2
Janine D Momasso,,,,,,,,,,,,,,,,,,,0,1,2,0,0,0,0,2
Beth Grossman,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,2
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,22,19,15,11,11,10,10,9,9,9,8,8,7,7,6,5,5,4,4,3,3,3,2,2,1,2
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,3
,Joshua Roberts,Jennifer Schultz,Cateria R Mccabe,Jon Marshall,Kendra Mccrae,Craig Levin,Sherman Toppin,Anthony Kyriakakis,James C Crumlish,Nicola Serianni,Tiffany Palmer,Wendi Barish,Carmella Jacquinto,Janine D Momasso,Leon Goodman,Robert Trimble,Beth Grossman,Chris Hall,Henry Mcgregor Sias,Terri M Booker,Kay Yu,Laurie Dow,Vicki Markovitz,Gregory Weyer,James F Berardinelli,3
Joshua Roberts,11,2,4,1,1,1,3,4,1,3,1,1,2,0,0,1,3,0,3,0,0,1,1,0,0,3
Jennifer Schultz,,3,2,1,3,3,0,0,4,1,1,2,0,1,1,2,1,1,1,0,0,0,1,0,0,3
Cateria R Mccabe,,,0,1,5,0,4,3,2,1,2,4,3,3,1,1,0,1,2,2,0,0,0,0,0,3
Jon Marshall,,,,5,1,1,2,0,0,1,2,0,0,0,1,2,1,1,0,1,1,0,0,0,0,3
Kendra Mccrae,,,,,0,0,2,2,3,1,3,3,1,3,2,2,0,1,0,3,1,1,1,0,0,3
Craig Levin,,,,,,4,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
Sherman Toppin,,,,,,,0,2,0,2,2,1,3,1,3,1,1,1,2,2,1,1,0,0,0,3
Anthony Kyriakakis,,,,,,,,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,3
James C Crumlish,,,,,,,,,0,0,1,2,0,0,1,2,0,2,0,1,1,0,0,0,0,3
Nicola Serianni,,,,,,,,,,0,2,2,2,1,1,1,3,0,1,0,0,1,1,0,0,3
Tiffany Palmer,,,,,,,,,,,0,1,1,1,1,1,1,0,0,2,1,0,0,0,0,3
Wendi Barish,,,,,,,,,,,,0,1,2,0,1,1,1,0,0,0,1,0,0,0,3
Carmella Jacquinto,,,,,,,,,,,,,0,1,1,0,0,0,2,0,0,0,0,0,0,3
Janine D Momasso,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,3
Leon Goodman,,,,,,,,,,,,,,,0,2,0,2,0,1,1,0,0,0,0,3
Robert Trimble,,,,,,,,,,,,,,,,0,1,2,0,0,1,0,0,0,0,3
Beth Grossman,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,0,0,3
Chris Hall,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,3
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,3
Terri M Booker,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,3
Kay Yu,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,3
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,20,11,10,9,9,8,7,6,6,5,5,5,4,4,4,4,3,3,3,3,2,2,2,0,0,3
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,4
,Joshua Roberts,Terri M Booker,Leon Goodman,Carmella Jacquinto,Cateria R Mccabe,Jennifer Schultz,Sherman Toppin,Craig Levin,Tiffany Palmer,James C Crumlish,Nicola Serianni,Kendra Mccrae,Laurie Dow,Wendi Barish,Anthony Kyriakakis,Henry Mcgregor Sias,Jon Marshall,Beth Grossman,Kay Yu,Robert Trimble,Gregory Weyer,James F Berardinelli,Janine D Momasso,Vicki Markovitz,Chris Hall,4
Joshua Roberts,7,5,6,6,3,2,5,3,3,4,1,2,1,1,1,2,1,2,0,2,0,0,0,0,0,4
Terri M Booker,,5,4,2,0,1,3,1,2,5,1,2,2,2,1,0,0,0,1,2,1,0,0,0,0,4
Leon Goodman,,,1,4,1,2,4,0,3,4,0,1,1,2,0,1,0,2,1,1,0,1,1,0,0,4
Carmella Jacquinto,,,,1,2,1,4,0,3,2,1,3,1,0,1,2,0,2,0,0,0,0,0,0,0,4
Cateria R Mccabe,,,,,0,2,3,1,2,0,1,1,1,1,2,2,0,0,0,0,0,1,1,1,0,4
Jennifer Schultz,,,,,,3,0,1,2,1,2,1,1,1,0,0,0,0,0,1,0,1,1,1,0,4
Sherman Toppin,,,,,,,0,0,1,3,1,2,0,1,2,3,0,1,2,0,0,0,0,0,0,4
Craig Levin,,,,,,,,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
Tiffany Palmer,,,,,,,,,0,0,2,2,2,2,0,1,0,1,1,1,0,0,0,1,0,4
James C Crumlish,,,,,,,,,,0,0,0,2,1,1,0,0,1,0,1,1,0,0,0,0,4
Nicola Serianni,,,,,,,,,,,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,4
Kendra Mccrae,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
Laurie Dow,,,,,,,,,,,,,0,1,1,0,0,1,0,0,1,0,0,1,0,4
Wendi Barish,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,1,1,0,0,4
