col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Jennifer Schultz,Joshua Roberts,Wendi Barish,Beth Grossman,Anthony Kyriakakis,Nicola Serianni,Craig Levin,James C Crumlish,Carmella Jacquinto,Cateria R Mccabe,Tiffany Palmer,Vicki Markovitz,Jon Marshall,Chris Hall,James F Berardinelli,Laurie Dow,Kendra Mccrae,Kay Yu,Leon Goodman,Terri M Booker,Janine D Momasso,Robert Trimble,Henry Mcgregor Sias,Sherman Toppin,Gregory Weyer,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Jennifer Schultz,13,80,98,91,35,92,105,63,34,39,58,65,72,30,29,42,34,27,35,30,26,20,10,12,6,148,42,60,53,All
Joshua Roberts,,12,98,49,93,84,84,65,86,69,22,29,59,16,23,18,18,11,28,19,17,15,16,14,4,75,102,42,31,All
Wendi Barish,,,1,78,101,119,39,60,89,79,54,42,11,27,18,35,34,31,30,41,27,7,17,8,4,78,84,44,32,All
Beth Grossman,,,,11,43,58,48,50,32,28,52,67,23,36,35,48,36,36,39,37,24,13,11,5,8,70,51,37,46,All
Anthony Kyriakakis,,,,,3,82,34,81,86,69,63,22,10,58,21,14,24,27,17,9,10,10,21,7,6,45,86,38,26,All
Nicola Serianni,,,,,,2,43,42,69,74,44,48,20,15,18,29,28,30,21,23,19,6,13,5,3,71,75,31,24,All
Craig Levin,,,,,,,6,54,17,23,18,34,63,25,23,14,21,16,26,15,13,16,5,12,6,74,36,42,36,All
James C Crumlish,,,,,,,,5,33,23,55,21,31,70,26,10,26,25,32,20,5,28,9,5,3,48,42,48,41,All
Carmella Jacquinto,,,,,,,,,1,66,27,24,3,15,19,17,17,25,15,20,8,10,20,12,6,32,78,23,20,All
