col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,City Commissioners - Democrat,,,,,,,,,,,,,Mayor - Democrat,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Dennis Lee,Annette Thompson,Carla Cain,Lewis Harris Jr,Jen Devor,Robin Trent,Luigi Borda,Warren Bloom,Moira Bohannon,Anthony Hardy Williams,Jim Kenney,Alan Butkovitz,All
Omar Sabir,22,595,216,105,92,68,27,22,6,16,10,12,5,817,847,46,All
Lisa Deeley,,2,46,53,25,32,4,4,1,6,4,2,2,376,535,23,All
Kahlil Williams,,,6,10,28,45,15,23,38,11,4,8,2,296,245,16,All
Marwan Kreidie,,,,5,10,7,4,1,2,1,6,3,2,115,187,6,All
Dennis Lee,,,,,2,8,37,7,3,10,7,4,1,165,88,6,All
Annette Thompson,,,,,,4,17,8,4,5,0,2,0,126,90,8,All
Carla Cain,,,,,,,2,7,1,5,4,0,2,68,54,4,All
Lewis Harris Jr,,,,,,,,0,0,3,2,5,1,53,34,0,All
Jen Devor,,,,,,,,,0,3,1,0,4,21,43,1,All
Robin Trent,,,,,,,,,,0,1,1,0,37,26,1,All
Luigi Borda,,,,,,,,,,,0,1,1,14,29,2,All
Warren Bloom,,,,,,,,,,,,0,2,22,18,6,All
Moira Bohannon,,,,,,,,,,,,,0,10,9,3,All
Anthony Hardy Williams,,,,,,,,,,,,,,361,0,0,All
Jim Kenney,,,,,,,,,,,,,,,297,0,All
Alan Butkovitz,,,,,,,,,,,,,,,,18,All
Total,"1,749",952,569,316,267,233,133,89,66,65,47,46,22,"1,694","1,633",98,All
,City Commissioners - Democrat,,,,,,,,,,,,,Mayor - Democrat,,,1
,Omar Sabir,Lisa Deeley,Kahlil Williams,Annette Thompson,Marwan Kreidie,Dennis Lee,Lewis Harris Jr,Jen Devor,Carla Cain,Luigi Borda,Moira Bohannon,Robin Trent,Warren Bloom,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,1
Omar Sabir,0,36,2,0,2,1,0,0,0,0,0,0,1,34,19,1,1
Lisa Deeley,,0,1,1,1,1,0,0,0,0,0,0,0,28,10,2,1
Kahlil Williams,,,0,2,0,0,2,0,0,0,1,1,0,5,8,0,1
Annette Thompson,,,,0,0,0,1,1,1,0,0,0,0,3,2,0,1
Marwan Kreidie,,,,,0,0,0,0,0,0,0,0,0,2,4,0,1
Dennis Lee,,,,,,0,0,1,0,0,0,0,0,1,2,0,1
Lewis Harris Jr,,,,,,,0,0,0,1,0,0,0,1,2,0,1
Jen Devor,,,,,,,,0,0,0,0,0,0,0,2,0,1
Carla Cain,,,,,,,,,0,0,0,0,0,1,0,0,1
Luigi Borda,,,,,,,,,,0,0,0,0,0,1,0,1
Moira Bohannon,,,,,,,,,,,0,0,0,0,1,0,1
Robin Trent,,,,,,,,,,,,0,0,0,1,0,1
Warren Bloom,,,,,,,,,,,,,0,1,0,0,1
Jim Kenney,,,,,,,,,,,,,,9,0,0,1
Anthony Hardy Williams,,,,,,,,,,,,,,,13,0,1
Alan Butkovitz,,,,,,,,,,,,,,,,0,1
Total,57,42,15,6,6,4,4,2,1,1,1,1,1,51,48,2,1
,Mayor - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,2
,Anthony Hardy Williams,Jim Kenney,Alan Butkovitz,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Dennis Lee,Annette Thompson,Carla Cain,Jen Devor,Lewis Harris Jr,Robin Trent,Luigi Borda,Moira Bohannon,Warren Bloom,2
Anthony Hardy Williams,13,0,0,29,14,8,6,6,3,3,0,3,0,0,0,0,2
Jim Kenney,,8,0,27,13,8,8,5,2,2,3,0,2,1,1,0,2
Alan Butkovitz,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Omar Sabir,,,,1,16,9,5,4,1,0,0,3,0,0,0,0,2
Lisa Deeley,,,,,0,3,4,0,1,0,0,0,1,0,0,0,2
Kahlil Williams,,,,,,0,0,0,0,0,2,0,0,0,0,0,2
Marwan Kreidie,,,,,,,0,0,0,0,0,0,0,0,0,0,2
Dennis Lee,,,,,,,,0,1,2,0,0,1,0,0,0,2
Annette Thompson,,,,,,,,,0,1,0,0,0,0,0,0,2
