col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Council At Large - Republican,,,,,,,District Council 1st District - Republican,All
,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,Drew Murray,Irina M Goldstein,David Oh,Daniel Orsino,All
Al Taubenberger,1,14,12,8,7,7,5,10,All
Bill Heeney,,0,14,9,8,7,5,12,All
Dan Tinney,,,0,8,7,5,3,10,All
Matt Wolfe,,,,1,2,1,4,9,All
Drew Murray,,,,,0,6,2,5,All
Irina M Goldstein,,,,,,0,2,4,All
David Oh,,,,,,,0,5,All
Daniel Orsino,,,,,,,,0,All
Total,16,16,14,11,8,7,6,13,All
,Council At Large - Republican,,,,,,,District Council 1st District - Republican,5
,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,Drew Murray,Irina M Goldstein,David Oh,Daniel Orsino,5
Al Taubenberger,1,14,12,8,7,7,5,10,5
Bill Heeney,,0,14,9,8,7,5,12,5
Dan Tinney,,,0,8,7,5,3,10,5
Matt Wolfe,,,,1,2,1,4,9,5
Drew Murray,,,,,0,6,2,5,5
Irina M Goldstein,,,,,,0,2,4,5
David Oh,,,,,,,0,5,5
Daniel Orsino,,,,,,,,0,5
Total,16,16,14,11,8,7,6,13,5
