col_1,col_2,col_3,division
,Mayor - Republican,District Council 6th District - Republican,All
,Billy Ciancaglini,Pete Smith,All
Billy Ciancaglini,103,526,All
Pete Smith,,18,All
Total,629,544,All
,Mayor - Republican,District Council 6th District - Republican,1
,Billy Ciancaglini,Pete Smith,1
Billy Ciancaglini,5,20,1
Pete Smith,,1,1
Total,25,21,1
,Mayor - Republican,District Council 6th District - Republican,2
,Billy Ciancaglini,Pete Smith,2
Billy Ciancaglini,2,14,2
Pete Smith,,0,2
Total,16,14,2
,Mayor - Republican,District Council 6th District - Republican,3
,Billy Ciancaglini,Pete Smith,3
Billy Ciancaglini,1,26,3
Pete Smith,,1,3
Total,27,27,3
,Mayor - Republican,District Council 6th District - Republican,4
,Billy Ciancaglini,Pete Smith,4
Billy Ciancaglini,2,15,4
Pete Smith,,0,4
Total,17,15,4
,Mayor - Republican,District Council 6th District - Republican,5
,Billy Ciancaglini,Pete Smith,5
Billy Ciancaglini,3,12,5
Pete Smith,,0,5
Total,15,12,5
,Mayor - Republican,District Council 6th District - Republican,6
,Billy Ciancaglini,Pete Smith,6
Billy Ciancaglini,3,28,6
Pete Smith,,0,6
Total,31,28,6
,Mayor - Republican,District Council 6th District - Republican,7
,Billy Ciancaglini,Pete Smith,7
Billy Ciancaglini,3,23,7
Pete Smith,,0,7
Total,26,23,7
,Mayor - Republican,District Council 6th District - Republican,8
,Billy Ciancaglini,Pete Smith,8
Billy Ciancaglini,5,27,8
Pete Smith,,2,8
Total,32,29,8
,Mayor - Republican,District Council 6th District - Republican,9
,Billy Ciancaglini,Pete Smith,9
Billy Ciancaglini,4,10,9
Pete Smith,,2,9
Total,14,12,9
,Mayor - Republican,District Council 6th District - Republican,10
,Billy Ciancaglini,Pete Smith,10
Billy Ciancaglini,1,7,10
Pete Smith,,0,10
Total,8,7,10
,Mayor - Republican,District Council 6th District - Republican,11
,Billy Ciancaglini,Pete Smith,11
Billy Ciancaglini,6,19,11
Pete Smith,,2,11
Total,25,21,11
,Mayor - Republican,District Council 6th District - Republican,12
,Billy Ciancaglini,Pete Smith,12
Billy Ciancaglini,10,19,12
Pete Smith,,0,12
Total,29,19,12
,Mayor - Republican,District Council 6th District - Republican,13
,Billy Ciancaglini,Pete Smith,13
Billy Ciancaglini,2,19,13
Pete Smith,,0,13
Total,21,19,13
,Mayor - Republican,District Council 6th District - Republican,14
,Billy Ciancaglini,Pete Smith,14
Billy Ciancaglini,2,17,14
Pete Smith,,0,14
Total,19,17,14
,Mayor - Republican,District Council 6th District - Republican,15
,Billy Ciancaglini,Pete Smith,15
Billy Ciancaglini,2,16,15
Pete Smith,,0,15
Total,18,16,15
,Mayor - Republican,District Council 6th District - Republican,16
,Billy Ciancaglini,Pete Smith,16
Billy Ciancaglini,0,13,16
Pete Smith,,0,16
Total,13,13,16
,Mayor - Republican,District Council 6th District - Republican,17
,Billy Ciancaglini,Pete Smith,17
Billy Ciancaglini,5,22,17
Pete Smith,,0,17
Total,27,22,17
,Mayor - Republican,District Council 6th District - Republican,18
,Billy Ciancaglini,Pete Smith,18
Billy Ciancaglini,3,23,18
Pete Smith,,1,18
Total,26,24,18
,Mayor - Republican,District Council 6th District - Republican,19
,Billy Ciancaglini,Pete Smith,19
Billy Ciancaglini,4,23,19
Pete Smith,,1,19
Total,27,24,19
,Mayor - Republican,District Council 6th District - Republican,20
,Billy Ciancaglini,Pete Smith,20
Billy Ciancaglini,2,13,20
Pete Smith,,0,20
Total,15,13,20
,Mayor - Republican,District Council 6th District - Republican,21
,Billy Ciancaglini,Pete Smith,21
Billy Ciancaglini,6,19,21
Pete Smith,,1,21
Total,25,20,21
,Mayor - Republican,District Council 6th District - Republican,22
,Billy Ciancaglini,Pete Smith,22
Billy Ciancaglini,5,11,22
Pete Smith,,1,22
Total,16,12,22
,Mayor - Republican,District Council 6th District - Republican,23
,Billy Ciancaglini,Pete Smith,23
Billy Ciancaglini,2,12,23
Pete Smith,,1,23
Total,14,13,23
,Mayor - Republican,District Council 6th District - Republican,24
,Billy Ciancaglini,Pete Smith,24
Billy Ciancaglini,13,23,24
Pete Smith,,0,24
Total,36,23,24
,Mayor - Republican,District Council 6th District - Republican,25
,Billy Ciancaglini,Pete Smith,25
Billy Ciancaglini,2,14,25
Pete Smith,,0,25
Total,16,14,25
,Mayor - Republican,District Council 6th District - Republican,26
,Billy Ciancaglini,Pete Smith,26
Billy Ciancaglini,4,13,26
Pete Smith,,1,26
Total,17,14,26
,Mayor - Republican,District Council 6th District - Republican,27
,Billy Ciancaglini,Pete Smith,27
Billy Ciancaglini,4,20,27
Pete Smith,,1,27
Total,24,21,27
,Mayor - Republican,District Council 6th District - Republican,28
,Billy Ciancaglini,Pete Smith,28
Billy Ciancaglini,2,22,28
Pete Smith,,1,28
Total,24,23,28
,District Council 6th District - Republican,Mayor - Republican,29
,Pete Smith,Billy Ciancaglini,29
Pete Smith,2,26,29
Billy Ciancaglini,,0,29
Total,28,26,29
