col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Judge Of The Superior Court - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Eryn Santamoor,Justin Diberardinis,Adrián Rivera-reyes,Beth Finn,Deja Lynn Alvarez,Joseph A Diorio,Willie Floyd Singletary,Erika Almirón,Sandra Dungee Glenn,Billy Thompson,Ogbonna Paul Hagins,Vinny Black,Fernando Treviño,Bobbie Curry,Ethelind Baylor,Latrice Y Bryant,Mark Ross,Edwin Santana,Fareed Abdullah,Hena Veit,Asa Khalif,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Daniel D Mccaffery,108,308,309,913,820,510,450,444,380,294,171,157,146,162,129,97,102,115,80,91,59,73,49,49,58,48,36,42,32,42,35,36,0,All
Beth Tarasi,,14,149,313,230,147,90,91,167,105,131,112,105,67,85,68,67,51,62,32,42,35,33,33,27,20,19,27,19,21,14,14,0,All
Amanda Green-hawkins,,,4,343,230,166,142,123,146,104,114,94,96,55,70,83,72,51,50,31,41,24,47,36,25,26,33,33,30,12,15,12,0,All
Helen Gym,,,,13,612,462,390,390,295,197,143,120,123,65,101,109,81,62,86,32,52,33,45,34,21,21,23,32,22,19,13,12,0,All
Allan Domb,,,,,30,393,400,376,256,222,51,91,42,96,37,40,64,72,8,54,24,42,32,18,40,19,24,20,19,24,20,16,0,All
Katherine Gilmore Richardson,,,,,,0,326,340,149,86,32,70,25,37,19,67,63,18,7,17,35,20,21,16,15,10,10,18,10,9,5,3,0,All
Derek S Green,,,,,,,2,350,88,88,12,10,18,21,13,18,24,28,4,28,4,13,22,9,12,14,11,5,8,12,4,4,0,All
Isaiah Thomas,,,,,,,,3,70,89,25,18,20,16,14,22,22,17,4,13,12,4,30,17,6,11,20,7,18,9,6,4,0,All
Eryn Santamoor,,,,,,,,,7,137,56,68,42,50,26,66,34,32,11,25,34,23,13,15,20,14,5,20,10,7,3,13,0,All
Justin Diberardinis,,,,,,,,,,2,23,48,15,44,6,29,23,24,9,29,17,23,24,12,16,10,8,9,11,10,6,9,0,All
Adrián Rivera-reyes,,,,,,,,,,,3,30,112,18,90,16,16,16,72,8,25,6,11,12,3,14,12,9,14,3,2,5,0,All
Beth Finn,,,,,,,,,,,,1,23,36,9,42,51,28,5,17,12,15,16,16,15,11,5,24,5,11,11,10,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,1,16,80,26,7,7,68,3,21,6,11,14,2,16,6,7,6,2,4,2,0,All
Joseph A Diorio,,,,,,,,,,,,,,3,14,6,19,27,10,17,9,27,1,7,22,11,6,7,6,11,13,8,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,1,6,11,16,69,6,9,8,6,11,6,2,5,7,6,6,6,3,0,All
Erika Almirón,,,,,,,,,,,,,,,,1,31,6,5,7,30,6,14,15,2,6,2,6,8,2,8,3,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,0,17,4,8,3,12,8,12,11,3,6,14,7,2,6,2,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,3,5,13,4,21,3,6,15,8,4,2,3,12,5,8,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,0,2,9,1,1,1,4,3,2,5,3,1,3,1,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,0,3,7,6,5,5,3,3,7,4,8,6,9,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,0,4,3,7,2,12,9,3,4,1,4,1,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,1,4,3,12,6,4,1,2,6,10,6,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,0,8,4,2,3,1,5,4,1,0,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,6,2,5,6,0,2,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,2,5,3,2,0,All
