col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,Jennifer Schultz,Joshua Roberts,Tiffany Palmer,Anthony Kyriakakis,Cateria R Mccabe,Carmella Jacquinto,Sherman Toppin,Kay Yu,Craig Levin,Chris Hall,Terri M Booker,James C Crumlish,Leon Goodman,Wendi Barish,Henry Mcgregor Sias,Kendra Mccrae,Nicola Serianni,Jon Marshall,Beth Grossman,Laurie Dow,Janine D Momasso,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Rochelle Bilal,98,0,0,0,568,328,448,264,213,158,133,259,240,218,127,183,141,209,151,170,207,180,140,94,112,56,81,48,29,All
Jewell Williams,,111,0,0,188,479,229,289,345,357,343,103,118,116,222,137,191,113,243,136,103,90,107,100,70,62,52,40,18,All
Malika Rahman,,,47,0,285,172,297,170,151,119,121,141,158,152,136,131,130,143,60,155,121,106,92,111,66,55,32,31,10,All
Larry King Sr,,,,8,32,32,34,16,16,15,24,25,21,22,26,31,29,20,8,22,15,23,18,13,8,10,7,14,9,All
Jennifer Schultz,,,,,24,272,443,244,209,130,108,283,259,210,111,144,119,248,99,161,286,216,175,101,99,91,40,48,17,All
Joshua Roberts,,,,,,63,139,309,364,349,369,53,241,83,170,176,180,130,290,85,118,231,83,52,37,48,38,49,11,All
Tiffany Palmer,,,,,,,7,429,268,158,140,399,96,397,234,238,174,239,158,239,204,72,152,147,114,83,95,39,23,All
Anthony Kyriakakis,,,,,,,,0,359,290,318,286,25,314,46,203,58,83,363,80,68,19,50,35,29,29,55,15,14,All
Cateria R Mccabe,,,,,,,,,2,341,382,110,50,65,113,58,108,129,342,158,140,35,78,79,107,40,34,24,7,All
Carmella Jacquinto,,,,,,,,,,4,315,89,59,59,153,113,124,101,261,134,72,24,80,88,62,37,20,31,12,All
Sherman Toppin,,,,,,,,,,,3,53,66,62,110,53,105,61,300,97,56,50,34,81,62,33,25,16,20,All
Kay Yu,,,,,,,,,,,,5,48,228,97,101,82,105,103,115,102,28,75,58,42,34,49,18,17,All
Craig Levin,,,,,,,,,,,,,15,58,76,88,106,78,11,56,111,192,60,51,40,39,32,22,20,All
Chris Hall,,,,,,,,,,,,,,2,106,214,78,69,48,102,32,28,61,65,23,25,63,39,20,All
Terri M Booker,,,,,,,,,,,,,,,4,104,185,103,32,167,76,66,103,104,55,43,26,53,20,All
James C Crumlish,,,,,,,,,,,,,,,,4,127,99,35,58,71,71,47,45,19,26,55,35,12,All
Leon Goodman,,,,,,,,,,,,,,,,,4,76,43,145,81,77,63,88,68,39,52,35,27,All
Wendi Barish,,,,,,,,,,,,,,,,,,1,43,115,199,67,140,97,93,58,35,31,13,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,2,40,36,12,25,18,23,16,26,12,9,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,2,108,55,91,83,72,41,30,47,15,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,1,80,114,68,87,56,33,23,17,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,11,43,19,18,17,20,25,12,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,3,84,47,72,35,22,10,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,5,52,41,30,18,9,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,4,26,31,14,11,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,13,4,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,11,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,259","1,020",818,124,"1,168","1,132","1,093",821,775,699,662,584,583,556,537,520,520,515,508,498,479,429,380,338,275,195,187,143,74,All
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,Joshua Roberts,Jennifer Schultz,Craig Levin,Terri M Booker,Leon Goodman,Carmella Jacquinto,Jon Marshall,James C Crumlish,Sherman Toppin,Chris Hall,Kendra Mccrae,Tiffany Palmer,Janine D Momasso,Anthony Kyriakakis,Nicola Serianni,Beth Grossman,Laurie Dow,Vicki Markovitz,Cateria R Mccabe,Kay Yu,Wendi Barish,Henry Mcgregor Sias,Robert Trimble,James F Berardinelli,Gregory Weyer,1
Jewell Williams,7,0,0,0,16,8,5,11,10,10,4,8,7,6,1,4,2,3,2,2,2,3,3,2,2,3,1,1,0,1
Rochelle Bilal,,3,0,0,13,13,5,6,5,5,6,4,3,3,5,2,4,2,4,3,0,2,0,2,1,0,1,2,0,1
Malika Rahman,,,3,0,5,7,11,4,4,3,6,1,3,2,5,4,2,2,1,1,4,0,2,2,2,1,1,0,0,1
Larry King Sr,,,,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Joshua Roberts,,,,,1,7,5,13,16,12,9,11,5,3,5,4,3,5,1,3,1,3,2,2,0,3,3,2,0,1
Jennifer Schultz,,,,,,0,7,1,3,2,7,0,4,3,3,3,1,1,7,3,2,5,1,3,3,1,2,0,0,1
Craig Levin,,,,,,,0,4,3,3,3,2,3,4,2,2,1,1,2,2,2,1,0,1,2,0,1,1,0,1
Terri M Booker,,,,,,,,0,12,9,6,8,3,5,4,3,2,2,1,3,2,1,2,2,1,1,0,1,0,1
Leon Goodman,,,,,,,,,0,11,4,10,4,2,5,2,2,0,1,2,1,2,2,2,0,1,2,2,0,1
Carmella Jacquinto,,,,,,,,,,0,1,8,4,0,3,2,2,3,2,1,2,0,2,1,1,2,1,0,0,1
Jon Marshall,,,,,,,,,,,0,1,4,1,3,4,1,3,0,1,2,2,1,1,2,2,1,0,0,1
James C Crumlish,,,,,,,,,,,,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1
Sherman Toppin,,,,,,,,,,,,,0,5,3,6,3,4,3,1,2,3,3,1,2,3,0,0,0,1
Chris Hall,,,,,,,,,,,,,,0,1,3,1,1,2,2,1,1,1,1,2,0,1,2,0,1
Kendra Mccrae,,,,,,,,,,,,,,,0,4,2,2,2,2,2,1,1,2,2,1,2,1,0,1
Tiffany Palmer,,,,,,,,,,,,,,,,0,2,4,1,1,3,1,1,1,2,2,0,1,0,1
Janine D Momasso,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,1,0,0,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,0,0,0,1,0,3,3,1,3,0,1,0,1
Nicola Serianni,,,,,,,,,,,,,,,,,,,0,4,1,5,1,2,3,0,0,0,0,1
Beth Grossman,,,,,,,,,,,,,,,,,,,,0,1,3,2,1,2,0,0,1,0,1
Laurie Dow,,,,,,,,,,,,,,,,,,,,,0,1,2,0,2,0,0,0,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,1
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,0,0,0,1
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,1
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,41,31,27,2,39,30,22,22,21,20,19,15,15,11,11,11,9,8,8,7,7,7,6,6,6,5,4,3,0,1
