col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 3rd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jamie Gauthier,Jannie L Blackwell,Jennifer Schultz,Joshua Roberts,Tiffany Palmer,Anthony Kyriakakis,Cateria R Mccabe,Kay Yu,Wendi Barish,Carmella Jacquinto,Henry Mcgregor Sias,Craig Levin,Nicola Serianni,James C Crumlish,Sherman Toppin,Kendra Mccrae,Jon Marshall,Chris Hall,Beth Grossman,Laurie Dow,Leon Goodman,Terri M Booker,Janine D Momasso,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Jamie Gauthier,230,0,371,242,418,299,236,258,259,180,168,152,187,194,120,165,123,167,147,136,119,105,106,96,87,24,21,All
Jannie L Blackwell,,170,198,252,87,126,136,61,67,144,118,117,72,57,134,88,91,46,59,60,59,65,46,40,30,20,10,All
Jennifer Schultz,,,7,118,184,82,110,108,166,74,67,127,165,78,36,93,114,51,107,70,47,46,64,65,17,13,7,All
Joshua Roberts,,,,11,43,167,173,31,44,141,146,116,43,47,173,38,111,30,33,36,48,42,13,26,9,12,4,All
Tiffany Palmer,,,,,0,207,147,222,171,79,115,30,119,153,37,108,19,151,65,61,75,77,62,51,64,15,9,All
Anthony Kyriakakis,,,,,,1,195,121,72,156,197,24,48,156,152,45,14,139,29,24,29,16,17,29,25,6,8,All
Cateria R Mccabe,,,,,,,0,85,80,156,192,19,95,28,158,64,19,26,31,35,44,38,64,25,27,6,7,All
Kay Yu,,,,,,,,14,104,61,78,11,53,77,29,77,17,69,47,36,34,46,32,43,45,11,10,All
Wendi Barish,,,,,,,,,1,60,40,47,130,65,28,72,28,37,88,66,40,43,56,51,44,10,2,All
Carmella Jacquinto,,,,,,,,,,0,128,27,52,43,140,79,14,31,59,46,31,33,49,40,21,15,3,All
Henry Mcgregor Sias,,,,,,,,,,,1,14,39,24,151,25,10,21,14,15,34,13,17,21,23,6,5,All
Craig Levin,,,,,,,,,,,,3,45,54,27,21,98,21,30,40,37,27,23,15,17,8,6,All
Nicola Serianni,,,,,,,,,,,,,1,46,24,60,38,19,65,36,29,32,57,33,16,10,6,All
James C Crumlish,,,,,,,,,,,,,,1,17,29,29,146,32,31,31,8,16,20,31,15,6,All
Sherman Toppin,,,,,,,,,,,,,,,1,34,24,17,15,28,34,34,16,8,12,8,7,All
Kendra Mccrae,,,,,,,,,,,,,,,,0,22,40,59,60,53,67,37,34,14,14,5,All
Jon Marshall,,,,,,,,,,,,,,,,,3,18,22,16,31,23,8,14,10,10,3,All
Chris Hall,,,,,,,,,,,,,,,,,,0,29,28,24,24,9,11,15,12,4,All
Beth Grossman,,,,,,,,,,,,,,,,,,,0,54,27,34,42,48,14,6,3,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,0,29,49,35,29,26,4,4,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,1,44,29,26,28,14,9,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,1,31,23,8,8,4,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,0,23,28,9,8,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,0,17,9,4,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,267",776,594,528,524,445,394,346,338,337,303,282,278,271,268,255,227,218,208,200,190,176,158,140,122,49,32,All
,District Council 3rd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jamie Gauthier,Jannie L Blackwell,Tiffany Palmer,Anthony Kyriakakis,James C Crumlish,Kay Yu,Chris Hall,Jennifer Schultz,Wendi Barish,Cateria R Mccabe,Beth Grossman,Henry Mcgregor Sias,Nicola Serianni,Carmella Jacquinto,Vicki Markovitz,Joshua Roberts,Terri M Booker,Craig Levin,Kendra Mccrae,Laurie Dow,Janine D Momasso,James F Berardinelli,Jon Marshall,Leon Goodman,Sherman Toppin,Robert Trimble,Gregory Weyer,1
