col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Derek S Green,Isaiah Thomas,Allan Domb,Katherine Gilmore Richardson,Erika Almirón,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Eryn Santamoor,Willie Floyd Singletary,Sandra Dungee Glenn,Fareed Abdullah,Ogbonna Paul Hagins,Asa Khalif,Latrice Y Bryant,Beth Finn,Ethelind Baylor,Fernando Treviño,Billy Thompson,Wayne Allen,Joseph A Diorio,Hena Veit,Edwin Santana,Bobbie Curry,Devon Cade,Mark Ross,Wayne Edmund Dorsey,Vinny Black,Sherrie Cohen,Omar Sabir,Kahlil Williams,Lisa Deeley,Marwan Kreidie,Jen Devor,Annette Thompson,Dennis Lee,Carla Cain,Luigi Borda,Robin Trent,Lewis Harris Jr,Warren Bloom,Moira Bohannon,All
Helen Gym,35,"1,027",868,821,620,559,551,371,269,313,208,218,117,182,112,91,122,139,97,65,58,36,53,29,25,25,23,16,12,0,"1,006",722,740,270,359,181,102,109,83,45,28,32,33,All
Derek S Green,,19,732,706,526,311,330,119,82,162,66,163,132,27,87,77,36,56,32,58,53,17,15,28,18,9,15,18,13,0,725,528,459,85,197,102,84,62,22,45,30,19,8,All
Isaiah Thomas,,,8,644,499,241,217,107,66,88,76,151,136,39,107,77,37,101,28,48,43,29,13,28,15,22,14,12,8,0,725,388,463,61,97,121,71,52,39,34,33,23,11,All
Allan Domb,,,,18,471,107,151,92,67,161,79,130,109,41,80,48,41,32,32,56,50,25,21,29,21,30,16,18,19,0,664,346,457,73,55,98,74,59,24,24,31,29,11,All
Katherine Gilmore Richardson,,,,,3,128,119,53,44,134,25,134,50,18,46,49,59,35,45,29,20,8,17,16,14,12,8,6,5,0,487,239,398,44,71,84,54,53,13,28,14,11,19,All
Erika Almirón,,,,,,5,349,102,68,151,16,70,39,19,41,40,61,86,63,18,13,7,19,11,9,8,4,4,7,0,149,426,107,69,303,61,21,41,47,22,10,13,22,All
Justin Diberardinis,,,,,,,2,101,44,137,15,47,14,17,31,21,39,89,38,10,9,14,8,18,7,3,4,4,2,0,122,355,100,74,268,38,32,37,52,19,8,12,20,All
Adrián Rivera-reyes,,,,,,,,11,210,69,170,41,45,153,35,44,35,17,42,28,23,28,18,16,16,13,8,10,9,0,303,132,192,203,55,68,31,23,35,20,9,13,10,All
Deja Lynn Alvarez,,,,,,,,,6,48,159,27,40,145,38,35,29,24,29,20,13,15,20,15,12,9,6,4,8,0,249,97,161,143,25,48,25,32,17,11,9,6,9,All
Eryn Santamoor,,,,,,,,,,1,23,46,21,18,19,30,31,20,66,14,12,13,19,8,13,9,6,4,11,0,116,221,74,55,116,59,27,40,19,11,6,7,14,All
Willie Floyd Singletary,,,,,,,,,,,5,23,37,131,18,26,9,8,15,22,18,12,9,6,14,8,10,6,8,0,252,73,118,120,4,31,27,14,11,9,12,8,0,All
Sandra Dungee Glenn,,,,,,,,,,,,5,38,11,40,45,30,32,9,10,8,16,14,12,9,5,2,9,5,0,170,144,108,18,23,54,46,41,5,13,6,7,17,All
Fareed Abdullah,,,,,,,,,,,,,5,13,70,42,13,20,14,12,20,13,10,13,8,15,7,9,7,0,171,120,57,13,5,49,27,24,6,18,16,16,4,All
