col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 5th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Helen Gym,Allan Domb,Derek S Green,Isaiah Thomas,Eryn Santamoor,Justin Diberardinis,Katherine Gilmore Richardson,Adrián Rivera-reyes,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Fernando Treviño,Ethelind Baylor,Fareed Abdullah,Asa Khalif,Latrice Y Bryant,Billy Thompson,Hena Veit,Mark Ross,Joseph A Diorio,Edwin Santana,Wayne Allen,Bobbie Curry,Vinny Black,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Darrell L Clarke,"1,156","10,154","5,807","5,396","4,772","4,352","4,091","4,113","3,791","3,073","2,800","1,808","1,478","1,273","1,258","1,071",942,965,889,841,722,508,447,433,360,367,315,282,226,170,5,All
Helen Gym,,263,"4,599","4,387","3,578","4,164","4,284","3,343","2,664","3,298","1,797",961,"1,105",874,"1,005",846,962,417,492,380,420,331,173,197,159,150,143,128,117,59,1,All
Allan Domb,,,269,"3,887","2,710","2,689","2,145","2,487",660,660,413,269,478,543,125,357,135,356,252,172,280,139,194,195,128,151,113,124,106,64,2,All
Derek S Green,,,,54,"3,146","2,254","2,205","2,774",634,823,476,189,288,506,122,191,247,336,278,202,247,52,109,69,92,115,74,60,42,49,0,All
Isaiah Thomas,,,,,74,936,"1,724","2,283",693,"1,246",364,243,246,460,137,167,674,442,355,278,261,83,139,80,114,133,66,59,91,66,3,All
Eryn Santamoor,,,,,,72,"2,650","1,590",891,"1,351",523,127,559,339,134,641,158,137,139,207,151,199,78,108,91,60,79,69,48,18,1,All
Justin Diberardinis,,,,,,,55,986,"1,011","1,806",438,63,410,224,105,266,675,92,137,90,79,48,64,101,47,43,48,45,33,31,0,All
Katherine Gilmore Richardson,,,,,,,,27,515,908,371,130,451,595,112,387,135,194,179,238,170,144,76,57,75,87,70,55,62,36,2,All
Adrián Rivera-reyes,,,,,,,,,77,966,"1,488",901,438,218,860,427,214,172,229,190,144,132,66,123,118,43,62,68,39,29,2,All
Erika Almirón,,,,,,,,,,15,600,48,476,339,104,444,684,95,204,163,82,107,30,37,56,25,39,31,25,17,0,All
Deja Lynn Alvarez,,,,,,,,,,,40,879,321,162,815,299,145,134,188,202,116,135,70,97,84,53,54,48,50,31,0,All
Willie Floyd Singletary,,,,,,,,,,,,50,75,69,702,85,21,116,83,90,149,50,64,96,28,53,52,52,22,33,0,All
Beth Finn,,,,,,,,,,,,,43,294,71,133,95,73,113,148,90,133,65,74,58,52,61,53,24,22,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,9,57,74,69,117,153,160,93,97,31,41,43,42,46,45,21,18,1,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,37,77,46,63,62,65,60,53,17,35,22,14,16,20,6,16,1,All
Fernando Treviño,,,,,,,,,,,,,,,,5,48,72,69,66,75,78,26,78,75,27,24,27,21,9,1,All
Ethelind Baylor,,,,,,,,,,,,,,,,,8,60,48,63,38,33,26,10,24,24,14,19,13,14,1,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,16,274,147,87,29,81,34,73,77,32,42,39,25,1,All
Asa Khalif,,,,,,,,,,,,,,,,,,,13,125,73,52,33,22,52,53,23,32,28,19,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,7,66,82,73,45,51,50,55,41,45,30,1,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,26,59,57,102,34,47,52,49,31,30,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,3,28,52,17,16,34,34,24,16,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,47,37,34,33,55,31,13,23,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,3,20,33,49,32,44,15,1,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,11,25,20,15,7,6,1,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,12,27,16,13,23,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,23,24,1,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,12,2,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"17,734","12,770","7,690","6,727","5,955","5,722","5,537","5,037","4,512","4,041","3,219","2,042","1,788","1,578","1,519","1,378","1,245","1,137","1,050",950,919,614,589,537,449,443,376,346,278,221,6,All
