col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,District Council 7th District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quiñones Sánchez,Angel L Cruz,Helen Gym,Isaiah Thomas,Allan Domb,Adrián Rivera-reyes,Deja Lynn Alvarez,Derek S Green,Katherine Gilmore Richardson,Willie Floyd Singletary,Justin Diberardinis,Eryn Santamoor,Erika Almirón,Ogbonna Paul Hagins,Fernando Treviño,Ethelind Baylor,Beth Finn,Sandra Dungee Glenn,Asa Khalif,Billy Thompson,Edwin Santana,Fareed Abdullah,Latrice Y Bryant,Joseph A Diorio,Hena Veit,Wayne Allen,Vinny Black,Bobbie Curry,Devon Cade,Mark Ross,Wayne Edmund Dorsey,Sherrie Cohen,All
Maria Quiñones Sánchez,"1,586",0,"1,882","1,426","1,264","1,139",981,"1,033",945,536,619,487,664,398,404,370,302,283,258,208,220,243,206,175,166,107,92,87,74,84,61,1,All
Angel L Cruz,,"2,048","1,231",869,885,"1,192",912,652,645,605,325,453,269,354,292,145,179,186,139,174,176,129,160,146,103,87,105,83,74,65,53,1,All
Helen Gym,,,39,929,911,917,752,730,645,548,509,416,533,539,202,267,239,204,147,136,83,115,127,93,121,64,58,41,46,42,26,0,All
Isaiah Thomas,,,,49,"1,279",262,203,"1,309","1,157",132,518,346,372,58,112,344,84,158,170,109,76,177,123,75,49,74,48,27,52,42,25,1,All
Allan Domb,,,,,53,251,219,"1,183","1,018",119,363,481,107,48,145,194,116,143,112,138,102,136,62,111,50,60,68,42,65,45,42,0,All
Adrián Rivera-reyes,,,,,,22,875,147,140,573,180,204,302,485,356,81,125,92,87,75,205,66,87,92,50,34,39,38,24,24,22,0,All
Deja Lynn Alvarez,,,,,,,14,138,160,571,98,160,212,485,276,63,94,64,78,52,164,54,83,74,79,29,32,34,32,27,15,0,All
Derek S Green,,,,,,,,11,"1,072",83,389,358,197,45,68,221,74,105,103,87,44,88,71,26,22,44,31,30,16,22,24,0,All
Katherine Gilmore Richardson,,,,,,,,,4,54,323,379,220,37,92,174,134,164,80,66,52,69,80,44,71,32,26,31,31,32,18,0,All
Willie Floyd Singletary,,,,,,,,,,7,17,59,36,426,66,13,29,26,44,62,21,53,52,53,34,24,33,18,17,16,18,0,All
Justin Diberardinis,,,,,,,,,,,3,197,323,23,72,161,71,53,44,36,39,28,28,41,13,13,13,14,13,19,9,0,All
Eryn Santamoor,,,,,,,,,,,,5,148,41,126,39,105,76,43,66,69,25,56,52,49,14,25,32,26,26,9,1,All
Erika Almirón,,,,,,,,,,,,,3,35,173,183,101,112,81,34,78,33,54,26,37,14,27,24,11,13,5,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,9,42,17,26,26,31,42,10,26,17,24,20,7,16,6,6,8,6,0,All
Fernando Treviño,,,,,,,,,,,,,,,8,22,64,48,41,46,169,32,43,77,43,14,21,15,13,17,10,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,10,31,25,21,24,20,29,25,14,11,14,7,10,14,5,6,0,All
Beth Finn,,,,,,,,,,,,,,,,,8,97,32,59,35,28,46,46,55,24,26,38,13,23,17,1,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,4,57,52,39,36,72,33,49,15,22,19,13,19,10,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,5,30,31,96,43,15,18,25,23,14,8,12,10,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,3,27,33,30,55,34,30,32,33,19,23,26,1,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,0,32,21,30,15,18,19,19,10,11,13,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,14,57,26,20,32,21,10,21,11,9,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,4,29,46,31,28,27,26,24,17,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,5,28,13,30,31,39,28,17,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,0,9,20,16,11,16,10,1,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,8,21,13,13,15,10,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,23,12,11,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,13,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"6,050","5,555","3,319","2,601","2,425","2,393","1,951","1,902","1,771","1,171","1,036","1,028",990,787,722,585,513,509,429,410,409,407,383,353,283,214,208,176,162,156,123,2,All
