col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 8th District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Cindy Bass,Tonya Bah,Kahlil Williams,Omar Sabir,Lisa Deeley,Jen Devor,Carla Cain,Marwan Kreidie,Annette Thompson,Dennis Lee,Luigi Borda,Robin Trent,Lewis Harris Jr,Moira Bohannon,Warren Bloom,All
Cindy Bass,402,0,"1,522","1,779","1,309",602,669,536,412,254,146,144,103,92,79,All
Tonya Bah,,2,12,10,5,8,3,4,2,1,1,0,1,0,0,All
Kahlil Williams,,,114,392,272,722,151,122,89,68,40,31,34,19,21,All
Omar Sabir,,,,79,664,23,166,153,89,79,16,24,20,9,18,All
Lisa Deeley,,,,,27,134,98,77,78,21,15,9,10,11,6,All
Jen Devor,,,,,,16,35,67,7,8,44,5,3,12,3,All
Carla Cain,,,,,,,55,49,74,30,16,30,15,15,14,All
Marwan Kreidie,,,,,,,,47,24,23,41,12,0,13,4,All
Annette Thompson,,,,,,,,,4,19,4,20,13,10,8,All
Dennis Lee,,,,,,,,,,6,12,6,9,4,4,All
Luigi Borda,,,,,,,,,,,15,1,1,3,1,All
Robin Trent,,,,,,,,,,,,5,9,5,2,All
Lewis Harris Jr,,,,,,,,,,,,,1,1,1,All
Moira Bohannon,,,,,,,,,,,,,,4,2,All
Warren Bloom,,,,,,,,,,,,,,,3,All
Total,"4,712",27,"2,231","2,067","1,584","1,104",845,750,462,305,228,167,123,115,91,All
,District Council 8th District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,1
,Cindy Bass,Tonya Bah,Jen Devor,Kahlil Williams,Lisa Deeley,Marwan Kreidie,Omar Sabir,Luigi Borda,Carla Cain,Annette Thompson,Dennis Lee,Moira Bohannon,Robin Trent,Lewis Harris Jr,Warren Bloom,1
Cindy Bass,11,0,107,100,97,27,22,9,14,13,7,5,6,1,1,1
Tonya Bah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jen Devor,,,2,93,84,12,0,7,0,0,1,1,0,0,0,1
Kahlil Williams,,,,14,38,15,8,3,0,3,3,1,0,1,0,1
Lisa Deeley,,,,,3,6,7,1,6,5,0,1,0,0,1,1
Marwan Kreidie,,,,,,10,4,7,3,1,0,2,0,0,0,1
Omar Sabir,,,,,,,3,0,3,1,2,1,0,0,0,1
Luigi Borda,,,,,,,,2,0,0,1,0,1,0,0,1
Carla Cain,,,,,,,,,0,1,2,0,1,0,0,1
Annette Thompson,,,,,,,,,,0,0,0,3,0,0,1
Dennis Lee,,,,,,,,,,,1,0,0,0,0,1
Moira Bohannon,,,,,,,,,,,,0,0,0,0,1
Robin Trent,,,,,,,,,,,,,0,1,0,1
Lewis Harris Jr,,,,,,,,,,,,,,0,0,1
Warren Bloom,,,,,,,,,,,,,,,0,1
Total,230,0,204,190,154,64,31,24,17,14,10,7,7,2,2,1
,District Council 8th District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,2
,Cindy Bass,Tonya Bah,Kahlil Williams,Jen Devor,Lisa Deeley,Omar Sabir,Marwan Kreidie,Carla Cain,Dennis Lee,Annette Thompson,Luigi Borda,Moira Bohannon,Robin Trent,Lewis Harris Jr,Warren Bloom,2
Cindy Bass,14,0,91,66,63,50,30,24,13,18,10,8,6,4,1,2
Tonya Bah,,0,3,1,1,3,0,0,0,1,0,0,0,1,0,2
Kahlil Williams,,,17,73,19,10,10,5,7,5,1,2,2,2,0,2
Jen Devor,,,,2,28,1,12,4,5,1,0,1,0,0,0,2
Lisa Deeley,,,,,4,21,7,4,0,5,1,0,0,0,0,2
Omar Sabir,,,,,,0,5,1,3,4,3,1,0,1,0,2
Marwan Kreidie,,,,,,,6,1,4,0,1,0,1,0,0,2
Carla Cain,,,,,,,,2,3,2,0,2,3,1,2,2
Dennis Lee,,,,,,,,,0,2,1,1,0,0,0,2
Annette Thompson,,,,,,,,,,0,0,1,1,0,0,2
Luigi Borda,,,,,,,,,,,1,1,0,0,0,2
Moira Bohannon,,,,,,,,,,,,0,1,0,1,2
Robin Trent,,,,,,,,,,,,,0,0,0,2
