col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 2nd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Kenyatta Johnson,Lauren Vidas,Omar Sabir,Lisa Deeley,Kahlil Williams,Jen Devor,Marwan Kreidie,Annette Thompson,Luigi Borda,Carla Cain,Dennis Lee,Moira Bohannon,Lewis Harris Jr,Robin Trent,Warren Bloom,All
Kenyatta Johnson,680,0,"1,617",902,618,387,270,223,118,100,118,51,91,45,31,All
Lauren Vidas,,245,358,380,510,671,307,160,156,122,77,125,26,58,17,All
Omar Sabir,,,55,705,255,91,151,63,21,16,60,14,31,10,7,All
Lisa Deeley,,,,17,74,78,59,99,17,36,20,19,4,13,1,All
Kahlil Williams,,,,,9,373,71,60,17,28,30,30,28,21,7,All
Jen Devor,,,,,,13,68,38,122,38,25,42,11,11,3,All
Marwan Kreidie,,,,,,,18,17,29,17,12,19,4,12,3,All
Annette Thompson,,,,,,,,3,13,26,5,17,11,6,3,All
Luigi Borda,,,,,,,,,2,16,15,7,1,5,8,All
Carla Cain,,,,,,,,,,1,11,16,4,8,1,All
Dennis Lee,,,,,,,,,,,3,1,6,8,8,All
Moira Bohannon,,,,,,,,,,,,0,0,3,0,All
Lewis Harris Jr,,,,,,,,,,,,,2,3,4,All
Robin Trent,,,,,,,,,,,,,,0,1,All
Warren Bloom,,,,,,,,,,,,,,,0,All
Total,"3,482","1,935","2,119","1,360","1,171","1,095",608,394,293,230,216,179,124,106,48,All
,District Council 2nd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,1
,Kenyatta Johnson,Lauren Vidas,Omar Sabir,Jen Devor,Kahlil Williams,Lisa Deeley,Marwan Kreidie,Annette Thompson,Luigi Borda,Carla Cain,Dennis Lee,Lewis Harris Jr,Moira Bohannon,Robin Trent,Warren Bloom,1
Kenyatta Johnson,17,0,44,12,17,15,9,10,5,2,4,4,0,0,0,1
Lauren Vidas,,6,8,32,20,16,14,6,8,4,1,0,3,1,0,1
Omar Sabir,,,1,2,7,15,4,6,1,0,2,3,0,0,0,1
Jen Devor,,,,0,14,5,5,4,7,0,0,0,2,0,0,1
Kahlil Williams,,,,,0,1,4,2,1,1,0,1,0,1,0,1
Lisa Deeley,,,,,,0,3,1,2,1,0,0,0,0,0,1
Marwan Kreidie,,,,,,,0,1,0,1,2,0,0,0,0,1
Annette Thompson,,,,,,,,0,0,1,0,0,0,0,0,1
Luigi Borda,,,,,,,,,0,0,0,0,0,0,0,1
Carla Cain,,,,,,,,,,0,0,0,1,0,0,1
Dennis Lee,,,,,,,,,,,0,0,0,0,0,1
Lewis Harris Jr,,,,,,,,,,,,0,0,0,0,1
Moira Bohannon,,,,,,,,,,,,,0,0,0,1
Robin Trent,,,,,,,,,,,,,,0,0,1
Warren Bloom,,,,,,,,,,,,,,,0,1
Total,90,71,56,45,38,34,23,16,13,6,5,4,3,1,0,1
,District Council 2nd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,2
,Kenyatta Johnson,Lauren Vidas,Omar Sabir,Lisa Deeley,Kahlil Williams,Jen Devor,Marwan Kreidie,Luigi Borda,Annette Thompson,Robin Trent,Moira Bohannon,Carla Cain,Dennis Lee,Lewis Harris Jr,Warren Bloom,2
Kenyatta Johnson,19,0,42,28,12,7,4,4,5,2,2,3,1,1,0,2
Lauren Vidas,,13,6,14,19,23,10,5,4,5,4,2,1,0,0,2
Omar Sabir,,,1,29,3,2,2,0,0,0,0,0,0,1,0,2
Lisa Deeley,,,,0,2,2,2,0,5,0,1,1,0,0,0,2
Kahlil Williams,,,,,1,12,3,1,0,3,0,1,1,0,0,2
Jen Devor,,,,,,0,1,3,2,1,0,1,0,0,0,2
Marwan Kreidie,,,,,,,0,2,1,0,1,1,0,0,0,2
Luigi Borda,,,,,,,,0,0,2,2,0,0,0,0,2
Annette Thompson,,,,,,,,,0,0,1,0,0,0,0,2
Robin Trent,,,,,,,,,,0,1,0,0,0,0,2
Moira Bohannon,,,,,,,,,,,0,0,0,0,0,2
Carla Cain,,,,,,,,,,,,0,1,0,0,2
Dennis Lee,,,,,,,,,,,,,0,0,0,2
Lewis Harris Jr,,,,,,,,,,,,,,0,0,2
Warren Bloom,,,,,,,,,,,,,,,0,2
Total,85,63,51,44,32,31,14,10,9,7,6,5,2,1,0,2
,District Council 2nd District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,3
,Kenyatta Johnson,Lauren Vidas,Omar Sabir,Lisa Deeley,Jen Devor,Kahlil Williams,Marwan Kreidie,Annette Thompson,Carla Cain,Luigi Borda,Lewis Harris Jr,Moira Bohannon,Robin Trent,Dennis Lee,Warren Bloom,3
Kenyatta Johnson,20,0,58,34,11,18,5,5,3,5,5,0,4,1,3,3
Lauren Vidas,,9,7,11,24,17,11,7,6,5,3,7,3,4,1,3
Omar Sabir,,,1,27,2,7,7,3,0,0,1,0,3,0,1,3
Lisa Deeley,,,,2,1,2,2,3,0,1,0,2,1,2,0,3
Jen Devor,,,,,0,15,2,2,3,3,1,1,0,1,0,3
Kahlil Williams,,,,,,0,2,1,0,1,2,0,1,0,0,3
Marwan Kreidie,,,,,,,0,1,0,0,0,1,1,0,0,3
Annette Thompson,,,,,,,,0,2,0,1,0,0,0,0,3
Carla Cain,,,,,,,,,0,3,0,1,0,0,0,3
Luigi Borda,,,,,,,,,,0,0,0,0,0,2,3
