col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Isaiah Thomas,Derek S Green,Allan Domb,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Eryn Santamoor,Justin Diberardinis,Erika Almirón,Willie Floyd Singletary,Ogbonna Paul Hagins,Sandra Dungee Glenn,Ethelind Baylor,Beth Finn,Asa Khalif,Fareed Abdullah,Latrice Y Bryant,Fernando Treviño,Billy Thompson,Hena Veit,Wayne Allen,Joseph A Diorio,Edwin Santana,Mark Ross,Bobbie Curry,Vinny Black,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Joshua Roberts,Wendi Barish,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Tiffany Palmer,Carmella Jacquinto,Henry Mcgregor Sias,Nicola Serianni,Kay Yu,Kendra Mccrae,Jon Marshall,Craig Levin,Leon Goodman,Beth Grossman,Cateria R Mccabe,Sherman Toppin,Chris Hall,Terri M Booker,Vicki Markovitz,Laurie Dow,Janine D Momasso,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Helen Gym,22,219,236,181,220,241,200,196,228,214,75,100,71,93,58,40,30,43,42,40,26,17,12,9,9,12,11,5,3,0,189,247,333,251,163,293,132,155,207,184,136,111,110,101,114,136,79,104,67,70,63,69,47,13,12,All
Isaiah Thomas,,9,317,272,279,59,37,44,105,91,15,16,47,61,14,38,33,26,15,17,6,15,7,15,6,6,5,7,4,2,269,267,119,246,233,130,251,232,90,82,75,31,38,64,40,75,70,40,58,28,35,42,16,12,14,All
Derek S Green,,,7,304,311,54,54,88,55,41,12,18,47,20,20,26,26,19,9,25,3,17,5,5,8,7,8,8,3,0,255,267,71,274,231,118,242,197,73,66,63,26,38,77,38,45,83,51,61,32,47,20,30,16,12,All
Allan Domb,,,,19,256,52,32,77,49,26,22,10,41,4,20,20,21,19,20,10,8,12,11,10,10,9,7,5,2,1,252,239,79,241,214,72,215,192,47,63,44,33,36,50,45,36,56,41,45,29,33,21,17,16,10,All
Katherine Gilmore Richardson,,,,,3,48,49,103,57,47,12,14,68,6,18,25,18,26,15,31,7,11,4,5,6,5,3,3,2,1,231,250,80,267,219,96,223,197,76,76,65,24,31,48,45,47,71,46,42,32,36,31,30,6,11,All
Adrián Rivera-reyes,,,,,,5,156,66,76,90,83,76,9,29,35,22,16,15,33,8,8,7,8,11,4,4,9,4,1,1,111,87,196,96,81,127,65,67,85,75,72,90,85,53,51,45,19,51,22,32,19,19,8,12,6,All
Deja Lynn Alvarez,,,,,,,1,51,42,72,81,72,17,23,39,20,12,21,22,10,14,8,10,1,2,5,3,2,4,0,98,83,156,77,75,108,60,45,92,60,78,79,81,44,52,30,15,41,21,27,22,12,12,6,3,All
Eryn Santamoor,,,,,,,,1,88,56,7,16,30,4,26,15,7,23,43,33,22,1,8,2,5,7,4,0,1,0,34,104,90,123,80,126,35,51,76,79,55,27,25,36,65,28,39,58,23,38,27,17,25,7,14,All
