col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,District Council 6th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Bobby Henon,Jennifer Schultz,Joshua Roberts,Wendi Barish,James C Crumlish,Anthony Kyriakakis,Beth Grossman,Craig Levin,Carmella Jacquinto,Nicola Serianni,Tiffany Palmer,Leon Goodman,Vicki Markovitz,Cateria R Mccabe,Jon Marshall,James F Berardinelli,Kendra Mccrae,Chris Hall,Kay Yu,Laurie Dow,Terri M Booker,Sherman Toppin,Janine D Momasso,Henry Mcgregor Sias,Robert Trimble,Gregory Weyer,All
Bobby Henon,805,"2,520","2,498","1,880","1,670","1,527","1,533","1,558","1,457","1,220","1,065","1,001",881,932,967,671,728,611,588,633,637,568,457,387,347,151,All
Jennifer Schultz,,146,802,803,489,299,844,925,375,776,525,323,569,358,652,228,376,225,309,357,246,123,254,116,166,48,All
Joshua Roberts,,,112,"1,111","1,108","1,026",465,772,925,438,208,555,250,457,593,207,178,156,129,139,188,380,93,219,104,37,All
Wendi Barish,,,,10,"1,021",901,695,394,849,538,463,524,411,428,186,205,276,175,222,284,255,236,206,155,83,28,All
James C Crumlish,,,,,30,"1,116",399,427,719,308,424,511,173,283,252,286,146,455,173,106,143,202,66,130,149,35,All
Anthony Kyriakakis,,,,,,26,388,240,890,320,486,347,176,454,100,271,122,415,234,77,80,321,84,286,84,44,All
Beth Grossman,,,,,,,66,463,337,463,446,320,607,267,195,342,310,205,242,386,241,61,215,106,81,65,All
Craig Levin,,,,,,,,74,152,403,169,334,376,163,552,186,159,153,112,173,116,111,88,54,109,47,All
Carmella Jacquinto,,,,,,,,,49,372,280,342,208,438,76,121,244,116,208,152,210,293,152,209,77,41,All
Nicola Serianni,,,,,,,,,,45,317,196,368,352,245,173,235,115,191,218,141,116,183,87,86,37,All
Tiffany Palmer,,,,,,,,,,,9,197,267,261,98,188,298,412,298,250,248,85,135,100,70,54,All
Leon Goodman,,,,,,,,,,,,7,191,148,171,164,190,134,104,102,227,107,74,51,106,50,All
Vicki Markovitz,,,,,,,,,,,,,4,181,113,214,168,108,143,206,148,61,153,61,72,49,All
Cateria R Mccabe,,,,,,,,,,,,,,10,98,143,215,100,131,141,130,170,150,138,54,36,All
Jon Marshall,,,,,,,,,,,,,,,38,105,79,75,68,79,91,64,42,37,94,28,All
James F Berardinelli,,,,,,,,,,,,,,,,12,95,161,108,120,60,56,118,92,109,75,All
Kendra Mccrae,,,,,,,,,,,,,,,,,3,138,138,183,186,79,118,45,108,38,All
Chris Hall,,,,,,,,,,,,,,,,,,6,137,80,123,51,37,50,119,41,All
Kay Yu,,,,,,,,,,,,,,,,,,,9,125,115,49,76,80,45,40,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,8,147,65,121,42,49,28,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,12,102,100,48,68,44,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,4,62,104,50,26,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,5,30,39,28,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,6,30,32,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,1,24,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,325","3,103","3,015","2,349","2,185","2,049","2,022","1,931","1,873","1,585","1,404","1,233","1,177","1,175","1,158",908,890,840,797,786,763,672,574,501,429,213,All
