col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Eryn Santamoor,Justin Diberardinis,Adrián Rivera-reyes,Beth Finn,Deja Lynn Alvarez,Joseph A Diorio,Willie Floyd Singletary,Erika Almirón,Sandra Dungee Glenn,Billy Thompson,Ogbonna Paul Hagins,Vinny Black,Fernando Treviño,Bobbie Curry,Ethelind Baylor,Latrice Y Bryant,Mark Ross,Edwin Santana,Fareed Abdullah,Hena Veit,Asa Khalif,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Helen Gym,145,612,462,390,390,295,197,143,120,123,65,101,109,81,62,86,32,52,33,45,34,21,21,23,32,22,19,13,12,0,All
Allan Domb,,76,393,400,376,256,222,51,91,42,96,37,40,64,72,8,54,24,42,32,18,40,19,24,20,19,24,20,16,0,All
Katherine Gilmore Richardson,,,6,326,340,149,86,32,70,25,37,19,67,63,18,7,17,35,20,21,16,15,10,10,18,10,9,5,3,0,All
Derek S Green,,,,7,350,88,88,12,10,18,21,13,18,24,28,4,28,4,13,22,9,12,14,11,5,8,12,4,4,0,All
Isaiah Thomas,,,,,4,70,89,25,18,20,16,14,22,22,17,4,13,12,4,30,17,6,11,20,7,18,9,6,4,0,All
Eryn Santamoor,,,,,,30,137,56,68,42,50,26,66,34,32,11,25,34,23,13,15,20,14,5,20,10,7,3,13,0,All
Justin Diberardinis,,,,,,,11,23,48,15,44,6,29,23,24,9,29,17,23,24,12,16,10,8,9,11,10,6,9,0,All
Adrián Rivera-reyes,,,,,,,,33,30,112,18,90,16,16,16,72,8,25,6,11,12,3,14,12,9,14,3,2,5,0,All
Beth Finn,,,,,,,,,7,23,36,9,42,51,28,5,17,12,15,16,16,15,11,5,24,5,11,11,10,0,All
Deja Lynn Alvarez,,,,,,,,,,24,16,80,26,7,7,68,3,21,6,11,14,2,16,6,7,6,2,4,2,0,All
Joseph A Diorio,,,,,,,,,,,11,14,6,19,27,10,17,9,27,1,7,22,11,6,7,6,11,13,8,0,All
Willie Floyd Singletary,,,,,,,,,,,,14,6,11,16,69,6,9,8,6,11,6,2,5,7,6,6,6,3,0,All
Erika Almirón,,,,,,,,,,,,,4,31,6,5,7,30,6,14,15,2,6,2,6,8,2,8,3,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,1,17,4,8,3,12,8,12,11,3,6,14,7,2,6,2,0,All
Billy Thompson,,,,,,,,,,,,,,,9,5,13,4,21,3,6,15,8,4,2,3,12,5,8,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,7,2,9,1,1,1,4,3,2,5,3,1,3,1,0,All
Vinny Black,,,,,,,,,,,,,,,,,9,3,7,6,5,5,3,3,7,4,8,6,9,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,1,4,3,7,2,12,9,3,4,1,4,1,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,3,4,3,12,6,4,1,2,6,10,6,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,1,8,4,2,3,1,5,4,1,0,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,3,4,3,6,2,5,6,0,2,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,2,5,3,2,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,2,5,0,3,5,3,3,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,5,3,18,3,1,1,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,5,4,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,0,All
