col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Joshua Roberts,Carmella Jacquinto,Wendi Barish,James C Crumlish,Jennifer Schultz,Anthony Kyriakakis,Henry Mcgregor Sias,Craig Levin,Jon Marshall,Tiffany Palmer,Kendra Mccrae,Leon Goodman,Terri M Booker,Cateria R Mccabe,Sherman Toppin,Nicola Serianni,Beth Grossman,Janine D Momasso,Chris Hall,Laurie Dow,Kay Yu,James F Berardinelli,Robert Trimble,Vicki Markovitz,Gregory Weyer,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,All
Joshua Roberts,81,759,736,778,257,666,686,258,251,117,119,135,122,130,136,93,77,49,63,52,40,37,49,24,31,905,346,190,47,All
Carmella Jacquinto,,5,669,660,95,662,662,75,32,115,136,85,94,141,110,47,55,67,48,72,48,24,34,33,20,697,158,91,24,All
Wendi Barish,,,10,653,150,583,582,98,62,125,131,84,105,82,60,90,98,63,58,65,49,25,43,43,18,662,172,112,25,All
James C Crumlish,,,,4,106,592,579,124,79,67,75,90,56,48,45,60,43,47,61,45,37,40,57,14,13,640,157,84,39,All
Jennifer Schultz,,,,,32,39,28,278,239,124,118,89,80,83,57,139,113,44,64,68,45,23,41,52,20,203,355,169,34,All
Anthony Kyriakakis,,,,,,2,632,33,19,60,51,51,30,103,87,23,23,38,44,22,31,17,14,12,19,585,102,62,15,All
Henry Mcgregor Sias,,,,,,,0,19,16,43,30,51,33,102,85,18,22,32,12,17,21,37,13,12,12,592,91,49,15,All
Craig Levin,,,,,,,,15,210,68,72,85,77,45,51,77,59,40,44,47,27,37,30,23,18,159,229,140,24,All
Jon Marshall,,,,,,,,,16,63,71,75,60,32,41,66,43,16,47,27,24,12,34,9,14,121,184,115,18,All
Tiffany Palmer,,,,,,,,,,2,179,137,148,114,70,65,104,63,91,78,64,47,30,34,26,158,171,100,22,All
Kendra Mccrae,,,,,,,,,,,2,135,143,123,62,84,68,70,80,76,76,23,54,33,24,146,155,98,26,All
Leon Goodman,,,,,,,,,,,,5,126,108,83,71,60,64,65,55,37,48,41,30,23,146,138,78,32,All
Terri M Booker,,,,,,,,,,,,,7,74,74,50,73,53,75,64,50,17,31,24,27,161,123,70,22,All
Cateria R Mccabe,,,,,,,,,,,,,,2,96,65,42,96,29,49,30,46,22,19,12,147,112,72,13,All
Sherman Toppin,,,,,,,,,,,,,,,5,38,28,29,46,38,22,17,19,19,24,146,98,46,17,All
Nicola Serianni,,,,,,,,,,,,,,,,1,56,34,19,47,28,14,23,33,9,83,99,67,19,All
Beth Grossman,,,,,,,,,,,,,,,,,1,32,43,53,31,25,10,41,19,96,93,53,18,All
Janine D Momasso,,,,,,,,,,,,,,,,,,3,19,40,27,61,12,20,11,69,84,48,9,All
Chris Hall,,,,,,,,,,,,,,,,,,,1,39,39,25,38,16,22,80,75,53,22,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,3,30,24,14,22,10,75,90,40,14,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,19,12,15,20,10,71,64,37,7,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,1,13,16,14,45,47,25,13,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,1,11,7,48,50,26,11,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,1,5,40,45,20,13,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,1,40,25,23,3,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,174,0,0,0,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0,0,All
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,All
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,All
Total,"1,655","1,043","1,029",971,825,823,797,598,481,465,451,420,398,381,322,278,271,244,239,238,208,146,142,122,97,"1,529","1,021",589,126,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,1
,Joshua Roberts,James C Crumlish,Wendi Barish,Carmella Jacquinto,Anthony Kyriakakis,Henry Mcgregor Sias,Jennifer Schultz,Kendra Mccrae,Tiffany Palmer,Craig Levin,Sherman Toppin,Terri M Booker,Beth Grossman,Jon Marshall,Laurie Dow,Leon Goodman,Chris Hall,Nicola Serianni,Cateria R Mccabe,Janine D Momasso,Kay Yu,Vicki Markovitz,Robert Trimble,James F Berardinelli,Gregory Weyer,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,1
Joshua Roberts,3,25,21,24,21,18,9,8,8,6,8,6,3,5,5,3,5,4,3,1,2,4,3,1,0,27,17,6,1,1
James C Crumlish,,0,21,22,21,19,4,5,3,7,2,1,4,2,7,3,3,2,1,5,1,2,5,5,0,25,4,3,3,1
Wendi Barish,,,2,17,18,16,7,6,7,0,5,4,5,1,6,2,2,3,1,1,2,3,3,0,0,25,3,3,1,1
Carmella Jacquinto,,,,0,20,18,6,3,1,6,2,5,2,0,7,3,0,0,3,6,2,3,2,4,0,24,3,5,0,1
