col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Annette Thompson,Dennis Lee,Carla Cain,Jen Devor,Luigi Borda,Warren Bloom,Moira Bohannon,Lewis Harris Jr,Robin Trent,Jennifer Schultz,Joshua Roberts,Craig Levin,Jon Marshall,Carmella Jacquinto,James C Crumlish,Wendi Barish,Nicola Serianni,Anthony Kyriakakis,Tiffany Palmer,Cateria R Mccabe,Henry Mcgregor Sias,Sherman Toppin,Leon Goodman,Beth Grossman,Kendra Mccrae,Vicki Markovitz,Kay Yu,Laurie Dow,Janine D Momasso,Terri M Booker,Chris Hall,Robert Trimble,James F Berardinelli,Gregory Weyer,All
Omar Sabir,8,96,45,15,4,10,3,0,6,3,0,1,1,115,176,77,69,45,51,26,31,46,22,38,39,42,24,9,13,9,7,10,10,17,13,11,9,3,All
Lisa Deeley,,16,22,10,10,4,3,1,2,5,1,1,1,112,114,44,39,42,49,35,36,48,32,33,45,28,14,21,12,14,8,13,12,10,5,5,6,4,All
Marwan Kreidie,,,9,10,2,2,0,4,2,1,0,0,0,100,64,58,46,16,11,12,19,4,7,6,4,5,9,9,11,8,5,1,4,2,6,4,3,0,All
Kahlil Williams,,,,4,2,3,0,6,1,0,2,2,3,27,12,14,13,15,6,14,12,14,26,9,10,5,12,18,11,9,13,8,10,11,8,7,3,3,All
Annette Thompson,,,,,1,3,6,0,0,1,0,1,2,14,5,6,4,11,4,16,7,2,11,9,4,5,8,10,10,6,8,10,6,7,3,6,4,1,All
Dennis Lee,,,,,,2,2,0,2,0,1,1,0,10,11,7,2,7,10,8,10,3,6,7,1,9,16,7,4,5,2,5,8,1,5,4,5,1,All
Carla Cain,,,,,,,0,0,1,0,1,0,0,5,3,3,1,7,2,8,2,1,7,2,2,4,2,5,2,5,4,5,5,2,1,0,4,0,All
Jen Devor,,,,,,,,0,0,0,1,2,0,6,1,0,1,4,2,5,2,6,9,5,6,0,1,2,5,2,8,2,2,1,2,1,0,0,All
