col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Derek S Green,Eryn Santamoor,Allan Domb,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Ethelind Baylor,Fernando Treviño,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Fareed Abdullah,Willie Floyd Singletary,Asa Khalif,Latrice Y Bryant,Billy Thompson,Hena Veit,Wayne Allen,Joseph A Diorio,Devon Cade,Edwin Santana,Bobbie Curry,Mark Ross,Vinny Black,Wayne Edmund Dorsey,Sherrie Cohen,Kenyatta Johnson,Lauren Vidas,All
Helen Gym,3,292,254,227,196,178,157,127,136,86,108,69,61,42,35,20,17,24,15,15,14,11,12,7,7,6,2,1,2,0,282,281,All
Justin Diberardinis,,0,170,137,103,106,80,72,60,40,83,32,30,9,9,4,2,7,2,2,1,2,4,3,0,3,2,0,1,0,139,176,All
Erika Almirón,,,1,120,51,68,24,58,48,45,85,46,28,19,7,5,1,11,7,2,3,3,0,1,0,2,0,1,0,0,126,135,All
Isaiah Thomas,,,,1,106,50,65,19,67,20,82,12,10,20,9,15,9,14,7,6,4,6,3,5,3,1,2,1,1,0,163,87,All
Derek S Green,,,,,0,79,108,30,80,32,15,18,19,12,7,11,11,11,4,4,4,6,3,5,4,3,3,1,1,0,134,94,All
Eryn Santamoor,,,,,,0,84,43,64,30,14,44,24,14,6,8,1,5,9,9,8,4,5,7,2,5,0,0,1,0,73,140,All
Allan Domb,,,,,,,5,29,51,13,9,21,28,16,5,9,8,10,4,14,9,6,11,5,2,3,5,2,2,0,101,101,All
Adrián Rivera-reyes,,,,,,,,2,24,49,20,13,24,5,20,6,13,7,5,6,2,3,4,3,4,0,2,3,1,0,58,108,All
Katherine Gilmore Richardson,,,,,,,,,0,13,9,26,22,16,3,7,5,4,9,2,5,3,1,0,2,4,0,0,1,0,87,68,All
Deja Lynn Alvarez,,,,,,,,,,1,11,10,7,5,20,4,18,4,7,5,4,3,2,3,3,2,0,1,1,0,47,70,All
Ethelind Baylor,,,,,,,,,,,0,7,7,2,3,3,1,3,5,1,1,3,1,2,1,0,0,3,1,0,71,44,All
Fernando Treviño,,,,,,,,,,,,0,10,5,4,4,3,2,6,4,3,3,4,0,1,1,1,0,0,0,29,55,All
Beth Finn,,,,,,,,,,,,,0,15,5,3,2,6,8,4,7,4,3,3,1,1,2,1,0,0,26,58,All
Sandra Dungee Glenn,,,,,,,,,,,,,,0,4,4,2,9,7,3,5,3,0,5,3,2,1,0,0,0,26,30,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,0,3,11,4,3,0,2,1,1,0,1,0,0,0,0,0,20,24,All
Fareed Abdullah,,,,,,,,,,,,,,,,0,9,11,9,3,2,3,1,1,2,3,0,1,0,0,30,7,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,0,3,5,5,2,0,2,0,2,1,1,1,0,0,25,12,All
Asa Khalif,,,,,,,,,,,,,,,,,,0,5,1,1,3,0,3,0,2,0,0,0,0,24,12,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,3,3,4,0,3,1,0,1,3,1,0,22,11,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,1,2,4,6,0,1,2,2,2,0,0,12,16,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,1,5,1,0,0,0,1,0,0,10,12,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,0,1,3,2,1,2,1,0,0,14,9,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,2,1,1,0,10,13,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,1,0,8,9,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,1,0,4,8,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,5,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,3,5,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,2,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,All
Lauren Vidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,All
Total,615,342,282,277,252,232,230,174,174,124,123,92,88,60,44,41,40,39,36,30,25,25,24,18,13,11,9,7,4,0,406,382,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,9
,Helen Gym,Justin Diberardinis,Allan Domb,Erika Almirón,Isaiah Thomas,Derek S Green,Eryn Santamoor,Deja Lynn Alvarez,Katherine Gilmore Richardson,Adrián Rivera-reyes,Ethelind Baylor,Fernando Treviño,Asa Khalif,Beth Finn,Ogbonna Paul Hagins,Fareed Abdullah,Joseph A Diorio,Sandra Dungee Glenn,Willie Floyd Singletary,Latrice Y Bryant,Hena Veit,Billy Thompson,Bobbie Curry,Devon Cade,Edwin Santana,Wayne Allen,Mark Ross,Vinny Black,Wayne Edmund Dorsey,Sherrie Cohen,Lauren Vidas,Kenyatta Johnson,9
Helen Gym,2,71,48,55,52,48,39,22,29,21,26,12,12,9,11,5,5,7,4,2,4,1,2,1,3,1,0,0,0,0,68,62,9
Justin Diberardinis,,0,29,39,31,24,23,10,11,11,24,9,2,7,5,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,45,32,9
Allan Domb,,,0,5,13,31,29,4,14,6,0,6,5,8,2,3,4,3,2,0,2,2,1,1,0,1,1,0,0,0,32,25,9
Erika Almirón,,,,0,32,9,6,13,9,8,25,5,5,3,3,0,0,5,0,2,2,0,0,0,0,0,0,1,0,0,30,27,9
Isaiah Thomas,,,,,0,20,12,5,11,3,23,4,2,0,4,3,1,3,0,2,2,1,0,2,2,1,1,1,0,0,25,32,9
Derek S Green,,,,,,0,23,5,17,4,0,5,5,3,1,4,2,1,2,1,1,0,2,0,1,0,0,0,0,0,24,30,9
Eryn Santamoor,,,,,,,0,7,13,5,1,8,2,4,2,1,2,1,0,2,1,2,2,1,1,1,0,0,1,0,32,14,9
Deja Lynn Alvarez,,,,,,,,0,7,11,3,2,2,2,4,2,1,0,6,4,0,2,2,2,1,2,0,0,1,0,21,10,9
Katherine Gilmore Richardson,,,,,,,,,0,4,1,3,0,1,0,1,0,1,2,2,0,1,1,0,1,0,0,0,0,0,13,15,9
Adrián Rivera-reyes,,,,,,,,,,1,1,1,4,1,3,1,1,1,4,0,0,0,0,1,2,0,1,1,0,0,21,4,9
Ethelind Baylor,,,,,,,,,,,0,1,2,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,11,16,9
Fernando Treviño,,,,,,,,,,,,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,7,9
Asa Khalif,,,,,,,,,,,,,0,2,0,5,0,2,1,1,0,0,1,0,0,0,0,0,0,0,4,9,9
Beth Finn,,,,,,,,,,,,,,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,10,3,9
Ogbonna Paul Hagins,,,,,,,,,,,,,,,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,10,2,9
Fareed Abdullah,,,,,,,,,,,,,,,,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,2,7,9
Joseph A Diorio,,,,,,,,,,,,,,,,,0,0,0,0,2,1,0,2,0,0,1,1,0,0,4,5,9
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,5,3,9
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,1,0,2,5,9
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,3,3,9
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,2,1,0,0,0,4,0,9
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,2,2,9
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,2,1,9
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,9
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,3,0,9
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,2,0,9
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,9
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,9
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9
Lauren Vidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,9
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9
Total,147,83,61,61,61,56,50,34,34,29,29,17,14,13,12,10,9,9,9,8,6,4,4,4,3,3,2,2,1,0,96,90,9
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,19
,Helen Gym,Erika Almirón,Isaiah Thomas,Justin Diberardinis,Eryn Santamoor,Adrián Rivera-reyes,Ethelind Baylor,Allan Domb,Derek S Green,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Katherine Gilmore Richardson,Sandra Dungee Glenn,Asa Khalif,Fareed Abdullah,Latrice Y Bryant,Ogbonna Paul Hagins,Joseph A Diorio,Wayne Allen,Willie Floyd Singletary,Billy Thompson,Hena Veit,Mark Ross,Devon Cade,Edwin Santana,Vinny Black,Wayne Edmund Dorsey,Bobbie Curry,Sherrie Cohen,Kenyatta Johnson,Lauren Vidas,19
Helen Gym,0,57,44,52,28,27,28,20,18,18,14,12,11,10,5,2,4,6,3,2,3,3,2,1,0,0,0,1,0,0,55,46,19
Erika Almirón,,0,30,36,13,16,24,3,11,9,7,6,7,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,36,23,19
Isaiah Thomas,,,1,25,11,6,23,9,12,2,5,1,4,6,5,4,3,3,1,1,3,0,1,0,1,0,0,0,0,0,39,13,19
