col_1,col_2,col_3,col_4,col_5,division
,Mayor - Republican,Judge Of The Superior Court - Republican,,,All
,Billy Ciancaglini,Rebecca Warren,Megan Mccarthy King,Christylee Peck,All
Billy Ciancaglini,0,12,12,6,All
Rebecca Warren,,2,9,2,All
Megan Mccarthy King,,,0,3,All
Christylee Peck,,,,1,All
Total,16,14,12,7,All
,Mayor - Republican,Judge Of The Superior Court - Republican,,,1
,Billy Ciancaglini,Christylee Peck,Rebecca Warren,Megan Mccarthy King,1
Billy Ciancaglini,0,1,1,0,1
Christylee Peck,,0,1,0,1
Rebecca Warren,,,0,0,1
Megan Mccarthy King,,,,0,1
Total,1,1,1,0,1
,Mayor - Republican,Judge Of The Superior Court - Republican,,,2
,Billy Ciancaglini,Christylee Peck,Megan Mccarthy King,Rebecca Warren,2
Billy Ciancaglini,0,2,2,1,2
Christylee Peck,,0,2,0,2
Megan Mccarthy King,,,0,0,2
Rebecca Warren,,,,0,2
Total,3,2,2,1,2
,Judge Of The Superior Court - Republican,,,Mayor - Republican,3
,Rebecca Warren,Megan Mccarthy King,Christylee Peck,Billy Ciancaglini,3
Rebecca Warren,1,1,0,1,3
Megan Mccarthy King,,0,0,1,3
Christylee Peck,,,0,0,3
Billy Ciancaglini,,,,0,3
Total,2,1,0,1,3
,Mayor - Republican,Judge Of The Superior Court - Republican,,,5
,Billy Ciancaglini,Christylee Peck,Megan Mccarthy King,Rebecca Warren,5
Billy Ciancaglini,0,1,1,0,5
Christylee Peck,,0,1,0,5
Megan Mccarthy King,,,0,0,5
Rebecca Warren,,,,0,5
Total,1,1,1,0,5
,Mayor - Republican,Judge Of The Superior Court - Republican,,,8
,Billy Ciancaglini,Megan Mccarthy King,Rebecca Warren,Christylee Peck,8
Billy Ciancaglini,0,1,1,0,8
Megan Mccarthy King,,0,1,0,8
Rebecca Warren,,,0,0,8
Christylee Peck,,,,0,8
Total,1,1,1,0,8
,Judge Of The Superior Court - Republican,,,Mayor - Republican,12
,Rebecca Warren,Megan Mccarthy King,Christylee Peck,Billy Ciancaglini,12
Rebecca Warren,1,2,0,2,12
Megan Mccarthy King,,0,0,2,12
Christylee Peck,,,1,0,12
Billy Ciancaglini,,,,0,12
Total,3,2,1,2,12
,Mayor - Republican,Judge Of The Superior Court - Republican,,,13
,Billy Ciancaglini,Christylee Peck,Megan Mccarthy King,Rebecca Warren,13
Billy Ciancaglini,0,1,0,0,13
Christylee Peck,,0,0,0,13
Megan Mccarthy King,,,0,0,13
Rebecca Warren,,,,0,13
Total,1,1,0,0,13
,Mayor - Republican,Judge Of The Superior Court - Republican,,,17
,Billy Ciancaglini,Megan Mccarthy King,Rebecca Warren,Christylee Peck,17
Billy Ciancaglini,0,2,2,0,17
Megan Mccarthy King,,0,2,0,17
Rebecca Warren,,,0,0,17
Christylee Peck,,,,0,17
Total,2,2,2,0,17
,Mayor - Republican,Judge Of The Superior Court - Republican,,,19
,Billy Ciancaglini,Christylee Peck,Rebecca Warren,Megan Mccarthy King,19
Billy Ciancaglini,0,1,1,0,19
Christylee Peck,,0,1,0,19
Rebecca Warren,,,0,0,19
Megan Mccarthy King,,,,0,19
Total,1,1,1,0,19
,Mayor - Republican,Judge Of The Superior Court - Republican,,,20
,Billy Ciancaglini,Megan Mccarthy King,Rebecca Warren,Christylee Peck,20
Billy Ciancaglini,0,1,1,0,20
Megan Mccarthy King,,0,1,0,20
Rebecca Warren,,,0,0,20
Christylee Peck,,,,0,20
Total,1,1,1,0,20
,Mayor - Republican,Judge Of The Superior Court - Republican,,,22
,Billy Ciancaglini,Megan Mccarthy King,Rebecca Warren,Christylee Peck,22
Billy Ciancaglini,0,1,1,0,22
Megan Mccarthy King,,0,1,0,22
Rebecca Warren,,,0,0,22
Christylee Peck,,,,0,22
Total,1,1,1,0,22
,Mayor - Republican,Judge Of The Superior Court - Republican,,,24
,Billy Ciancaglini,Megan Mccarthy King,Rebecca Warren,Christylee Peck,24
Billy Ciancaglini,0,1,1,0,24
Megan Mccarthy King,,0,1,0,24
Rebecca Warren,,,0,0,24
Christylee Peck,,,,0,24
Total,1,1,1,0,24
