col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Eryn Santamoor,Isaiah Thomas,Adrián Rivera-reyes,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Deja Lynn Alvarez,Ethelind Baylor,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Asa Khalif,Ogbonna Paul Hagins,Willie Floyd Singletary,Billy Thompson,Latrice Y Bryant,Hena Veit,Fareed Abdullah,Edwin Santana,Joseph A Diorio,Vinny Black,Mark Ross,Wayne Allen,Bobbie Curry,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,All
Helen Gym,17,"1,075",780,582,580,498,516,495,288,287,353,221,106,82,87,88,47,49,45,55,39,21,21,24,17,20,13,7,10,0,"1,020",460,110,53,All
Justin Diberardinis,,54,586,484,473,307,398,320,248,133,284,118,44,40,49,30,10,33,21,12,13,14,15,15,6,12,12,8,9,0,739,304,86,49,All
Erika Almirón,,,5,202,395,255,152,151,62,152,302,92,50,50,55,19,2,6,21,21,13,18,5,8,4,4,4,1,3,0,508,270,47,14,All
Eryn Santamoor,,,,1,130,177,310,303,202,88,41,104,55,40,26,14,6,18,19,18,10,13,11,8,4,5,8,4,7,0,444,191,46,30,All
Isaiah Thomas,,,,,1,141,232,172,143,79,242,33,28,25,27,15,5,13,19,8,24,10,6,6,7,7,5,3,4,0,348,169,93,22,All
Adrián Rivera-reyes,,,,,,14,107,81,84,209,78,105,87,28,39,75,49,23,22,21,25,23,20,15,5,6,10,3,6,0,362,229,42,25,All
Derek S Green,,,,,,,1,346,187,118,49,56,26,22,23,22,5,31,16,5,13,5,8,6,9,12,9,7,3,0,416,97,94,30,All
Katherine Gilmore Richardson,,,,,,,,1,127,94,44,86,40,47,25,19,3,25,26,21,15,12,4,2,9,4,4,5,5,0,361,132,82,21,All
Allan Domb,,,,,,,,,15,68,17,58,29,27,12,7,17,42,7,11,18,5,21,16,13,8,11,8,8,0,177,106,88,45,All
Deja Lynn Alvarez,,,,,,,,,,8,45,61,49,27,43,59,47,11,23,23,19,23,7,9,2,10,3,6,5,0,255,139,64,14,All
Ethelind Baylor,,,,,,,,,,,0,29,14,9,11,12,0,4,12,3,6,6,1,5,3,5,1,2,2,0,239,90,26,10,All
Beth Finn,,,,,,,,,,,,4,28,50,18,14,6,25,25,30,11,7,12,9,9,5,6,10,6,0,153,103,31,27,All
Fernando Treviño,,,,,,,,,,,,,1,6,13,9,8,10,10,10,8,19,12,8,3,5,4,2,2,0,72,63,18,19,All
Sandra Dungee Glenn,,,,,,,,,,,,,,1,19,2,3,5,15,17,4,3,2,6,3,3,3,1,1,0,64,43,18,11,All
Asa Khalif,,,,,,,,,,,,,,,0,6,2,3,13,12,21,11,4,4,1,4,1,2,0,0,51,66,9,7,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,2,29,4,7,5,4,2,1,3,2,1,0,2,0,0,73,41,2,4,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,5,10,2,3,1,2,7,5,6,2,4,2,2,0,51,24,8,9,All
Billy Thompson,,,,,,,,,,,,,,,,,,0,5,6,5,3,11,7,8,3,6,5,1,0,44,17,16,21,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,11,8,2,2,4,6,7,4,2,2,0,31,36,14,7,All
Hena Veit,,,,,,,,,,,,,,,,,,,,0,9,5,2,3,8,1,2,1,1,0,39,24,9,9,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,1,5,1,4,2,4,1,0,0,0,17,38,13,2,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,2,4,3,2,0,21,16,11,6,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,10,2,5,0,16,9,10,16,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,2,1,2,0,18,14,7,9,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,0,7,6,3,2,0,9,4,10,13,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,0,11,7,8,9,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,0,15,5,6,7,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,11,7,2,5,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13,6,2,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,All
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,All
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All
Total,"1,837","1,379",920,771,743,724,711,654,521,501,409,339,186,144,139,125,104,100,93,85,76,61,58,48,43,40,39,26,25,0,"1,313",659,244,124,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,1
,Helen Gym,Justin Diberardinis,Erika Almirón,Eryn Santamoor,Adrián Rivera-reyes,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Beth Finn,Allan Domb,Deja Lynn Alvarez,Sandra Dungee Glenn,Ethelind Baylor,Fernando Treviño,Hena Veit,Ogbonna Paul Hagins,Asa Khalif,Billy Thompson,Edwin Santana,Joseph A Diorio,Latrice Y Bryant,Wayne Edmund Dorsey,Willie Floyd Singletary,Bobbie Curry,Devon Cade,Fareed Abdullah,Vinny Black,Wayne Allen,Mark Ross,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Larry King Sr,Jewell Williams,1
Helen Gym,0,46,32,26,22,27,27,26,17,14,14,6,9,6,3,4,1,1,1,0,2,0,1,0,0,0,1,0,0,0,40,27,3,1,1
Justin Diberardinis,,1,26,22,17,15,18,17,8,15,8,2,8,2,1,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,26,19,6,2,1
Erika Almirón,,,0,14,13,7,18,11,9,1,12,4,11,5,2,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,21,19,2,0,1
Eryn Santamoor,,,,0,14,15,6,12,6,13,7,3,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,13,4,0,1
Adrián Rivera-reyes,,,,,1,6,7,2,6,6,9,3,3,2,0,2,1,0,1,2,0,0,1,1,1,0,1,0,0,0,16,10,4,0,1
Derek S Green,,,,,,0,12,14,8,12,7,3,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,15,9,4,2,1
Isaiah Thomas,,,,,,,0,10,4,6,4,3,7,0,0,2,0,0,1,1,1,0,0,0,0,1,1,0,0,0,13,10,1,2,1
Katherine Gilmore Richardson,,,,,,,,0,7,6,6,4,0,2,4,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,18,8,1,2,1
Beth Finn,,,,,,,,,0,3,6,5,0,1,4,1,2,1,1,1,2,0,0,1,1,0,0,0,0,0,10,15,2,0,1
Allan Domb,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,10,3,3,1
Deja Lynn Alvarez,,,,,,,,,,,0,3,0,0,1,2,2,0,0,0,0,0,1,0,0,1,1,0,0,0,12,9,0,0,1
Sandra Dungee Glenn,,,,,,,,,,,,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,1
Ethelind Baylor,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1
Fernando Treviño,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1
Hena Veit,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1
Asa Khalif,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1
Billy Thompson,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Edwin Santana,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
