col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Judge Of The Superior Court - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Annette Thompson,Dennis Lee,Carla Cain,Lewis Harris Jr,Luigi Borda,Robin Trent,Warren Bloom,Moira Bohannon,Jen Devor,All
Daniel D Mccaffery,62,491,134,648,491,126,110,68,90,30,23,17,13,8,4,5,All
Amanda Green-hawkins,,23,67,503,423,41,76,57,31,28,18,13,11,11,5,2,All
Beth Tarasi,,,35,126,82,107,32,33,18,20,9,11,7,7,2,4,All
Omar Sabir,,,,24,396,56,53,20,24,10,5,2,4,6,2,3,All
Lisa Deeley,,,,,13,29,29,30,5,12,2,1,2,2,0,0,All
Marwan Kreidie,,,,,,7,4,5,4,3,0,8,1,0,0,0,All
Kahlil Williams,,,,,,,16,12,10,7,6,4,2,1,2,1,All
Annette Thompson,,,,,,,,7,1,3,4,5,5,1,2,0,All
Dennis Lee,,,,,,,,,5,4,3,5,1,2,1,0,All
Carla Cain,,,,,,,,,,0,1,0,3,1,0,0,All
Lewis Harris Jr,,,,,,,,,,,4,0,1,1,0,1,All
Luigi Borda,,,,,,,,,,,,1,1,0,0,0,All
Robin Trent,,,,,,,,,,,,,0,0,1,0,All
Warren Bloom,,,,,,,,,,,,,,0,0,1,All
Moira Bohannon,,,,,,,,,,,,,,,1,0,All
Jen Devor,,,,,,,,,,,,,,,,0,All
Total,"1,067",712,322,814,606,194,167,116,109,49,39,33,22,17,10,7,All
,Judge Of The Superior Court - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Annette Thompson,Carla Cain,Robin Trent,Dennis Lee,Jen Devor,Lewis Harris Jr,Luigi Borda,Moira Bohannon,Warren Bloom,1
Daniel D Mccaffery,1,12,5,21,12,7,6,3,3,1,1,0,0,0,0,0,1
Amanda Green-hawkins,,0,5,12,5,6,0,2,3,2,1,0,0,0,0,0,1
Beth Tarasi,,,1,8,4,2,5,1,1,1,0,0,0,0,0,0,1
Omar Sabir,,,,3,5,5,3,2,0,0,0,0,0,0,0,0,1
Lisa Deeley,,,,,0,0,2,0,1,0,0,0,0,0,0,0,1
Kahlil Williams,,,,,,0,0,2,1,1,0,0,0,0,0,0,1
Marwan Kreidie,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Annette Thompson,,,,,,,,0,0,0,0,0,0,0,0,0,1
Carla Cain,,,,,,,,,0,1,1,0,0,0,0,0,1
Robin Trent,,,,,,,,,,0,0,0,0,0,0,0,1
Dennis Lee,,,,,,,,,,,0,0,0,0,0,0,1
Jen Devor,,,,,,,,,,,,0,0,0,0,0,1
Lewis Harris Jr,,,,,,,,,,,,,0,0,0,0,1
Luigi Borda,,,,,,,,,,,,,,0,0,0,1
Moira Bohannon,,,,,,,,,,,,,,,0,0,1
Warren Bloom,,,,,,,,,,,,,,,,0,1
Total,36,19,15,29,15,10,8,5,4,2,1,0,0,0,0,0,1
,Judge Of The Superior Court - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,2
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Omar Sabir,Lisa Deeley,Kahlil Williams,Lewis Harris Jr,Annette Thompson,Marwan Kreidie,Carla Cain,Dennis Lee,Robin Trent,Warren Bloom,Jen Devor,Luigi Borda,Moira Bohannon,2
Daniel D Mccaffery,1,11,2,22,12,6,4,4,2,3,4,1,1,0,0,0,2
Amanda Green-hawkins,,1,5,13,11,5,2,2,2,3,0,0,0,0,0,0,2
Beth Tarasi,,,2,5,2,3,2,0,3,3,1,0,0,0,0,0,2
Omar Sabir,,,,1,9,3,0,0,1,1,2,0,0,0,0,0,2
Lisa Deeley,,,,,1,1,0,3,0,1,0,0,1,0,0,0,2
Kahlil Williams,,,,,,0,1,0,0,3,0,0,0,0,0,0,2
Lewis Harris Jr,,,,,,,2,0,0,0,0,0,0,0,0,0,2
Annette Thompson,,,,,,,,1,0,0,0,1,0,0,0,0,2
Marwan Kreidie,,,,,,,,,0,0,2,0,0,0,0,0,2
Carla Cain,,,,,,,,,,0,0,0,0,0,0,0,2
Dennis Lee,,,,,,,,,,,0,0,0,0,0,0,2
Robin Trent,,,,,,,,,,,,0,0,0,0,0,2
Warren Bloom,,,,,,,,,,,,,0,0,0,0,2
Jen Devor,,,,,,,,,,,,,,0,0,0,2
Luigi Borda,,,,,,,,,,,,,,,0,0,2
Moira Bohannon,,,,,,,,,,,,,,,,0,2
Total,38,25,14,30,17,9,9,6,6,5,4,1,1,0,0,0,2
,Judge Of The Superior Court - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,3
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Omar Sabir,Lisa Deeley,Kahlil Williams,Annette Thompson,Marwan Kreidie,Robin Trent,Dennis Lee,Moira Bohannon,Carla Cain,Jen Devor,Lewis Harris Jr,Luigi Borda,Warren Bloom,3
Daniel D Mccaffery,4,16,1,17,13,3,4,3,1,2,0,1,0,0,0,0,3
Amanda Green-hawkins,,4,5,14,15,3,4,4,2,1,1,1,0,0,0,0,3
Beth Tarasi,,,1,3,3,3,0,4,1,0,1,0,0,0,0,0,3
Omar Sabir,,,,1,9,3,1,2,0,1,0,0,0,0,0,0,3
Lisa Deeley,,,,,0,2,1,3,1,0,0,0,0,0,0,0,3
Kahlil Williams,,,,,,4,0,0,0,0,1,0,0,0,0,0,3
Annette Thompson,,,,,,,2,0,0,0,0,1,0,0,0,0,3
Marwan Kreidie,,,,,,,,0,1,0,0,0,0,0,0,0,3
Robin Trent,,,,,,,,,0,0,1,0,0,0,0,0,3
Dennis Lee,,,,,,,,,,0,0,0,0,0,0,0,3
Moira Bohannon,,,,,,,,,,,0,0,0,0,0,0,3
Carla Cain,,,,,,,,,,,,0,0,0,0,0,3
Jen Devor,,,,,,,,,,,,,0,0,0,0,3
Lewis Harris Jr,,,,,,,,,,,,,,0,0,0,3
Luigi Borda,,,,,,,,,,,,,,,0,0,3
Warren Bloom,,,,,,,,,,,,,,,,0,3
Total,31,29,9,21,19,10,7,7,3,2,2,1,0,0,0,0,3
,Judge Of The Superior Court - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,4
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Omar Sabir,Lisa Deeley,Marwan Kreidie,Lewis Harris Jr,Kahlil Williams,Annette Thompson,Carla Cain,Dennis Lee,Warren Bloom,Jen Devor,Luigi Borda,Moira Bohannon,Robin Trent,4
Daniel D Mccaffery,4,11,4,16,12,8,4,2,3,1,3,1,0,0,0,0,4
Amanda Green-hawkins,,0,1,11,7,1,3,3,1,1,2,1,0,0,0,0,4
Beth Tarasi,,,1,3,3,3,0,0,1,1,1,0,0,0,0,0,4
Omar Sabir,,,,2,10,1,2,1,0,0,2,0,0,0,0,0,4
Lisa Deeley,,,,,1,0,0,0,1,2,0,0,0,0,0,0,4
Marwan Kreidie,,,,,,0,0,0,0,0,1,0,0,0,0,0,4
Lewis Harris Jr,,,,,,,2,0,0,0,0,1,0,0,0,0,4
Kahlil Williams,,,,,,,,0,2,1,0,0,0,0,0,0,4
Annette Thompson,,,,,,,,,0,0,0,0,0,0,0,0,4
Carla Cain,,,,,,,,,,0,0,0,0,0,0,0,4
Dennis Lee,,,,,,,,,,,0,0,0,0,0,0,4
Warren Bloom,,,,,,,,,,,,0,0,0,0,0,4
Jen Devor,,,,,,,,,,,,,0,0,0,0,4
Luigi Borda,,,,,,,,,,,,,,0,0,0,4
