col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Judge Of The Superior Court - Republican,,,Council At Large - Republican,,,,,,,All
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,Dan Tinney,Matt Wolfe,Al Taubenberger,Bill Heeney,David Oh,Drew Murray,Irina M Goldstein,All
Megan Mccarthy King,2,28,25,48,44,44,36,26,22,13,All
Rebecca Warren,,0,7,33,33,32,24,14,10,4,All
Christylee Peck,,,0,24,22,18,12,13,13,7,All
Dan Tinney,,,,0,41,47,35,20,15,7,All
Matt Wolfe,,,,,1,41,32,16,13,6,All
Al Taubenberger,,,,,,0,33,20,15,7,All
Bill Heeney,,,,,,,0,11,10,3,All
David Oh,,,,,,,,2,15,11,All
Drew Murray,,,,,,,,,1,13,All
Irina M Goldstein,,,,,,,,,,0,All
Total,69,43,36,61,58,56,42,38,32,16,All
,Judge Of The Superior Court - Republican,,,Council At Large - Republican,,,,,,,1
,Megan Mccarthy King,Rebecca Warren,Christylee Peck,Al Taubenberger,Dan Tinney,Bill Heeney,David Oh,Drew Murray,Irina M Goldstein,Matt Wolfe,1
Megan Mccarthy King,1,2,0,2,2,1,1,1,1,1,1
Rebecca Warren,,0,0,2,2,1,1,1,1,1,1
Christylee Peck,,,0,0,0,0,0,0,0,0,1
Al Taubenberger,,,,0,2,1,1,1,1,1,1
Dan Tinney,,,,,0,1,1,1,1,1,1
Bill Heeney,,,,,,0,0,0,0,1,1
David Oh,,,,,,,0,1,1,0,1
Drew Murray,,,,,,,,0,1,0,1
Irina M Goldstein,,,,,,,,,0,0,1
Matt Wolfe,,,,,,,,,,0,1
Total,3,2,0,2,2,1,1,1,1,1,1
,Council At Large - Republican,,,,,,,Judge Of The Superior Court - Republican,,,9
,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,David Oh,Drew Murray,Irina M Goldstein,Megan Mccarthy King,Rebecca Warren,Christylee Peck,9
Al Taubenberger,0,5,5,5,0,0,0,3,3,2,9
Bill Heeney,,0,5,5,0,0,0,3,3,2,9
Dan Tinney,,,0,5,0,0,0,3,3,2,9
Matt Wolfe,,,,0,0,0,0,3,3,2,9
David Oh,,,,,0,0,0,0,0,0,9
Drew Murray,,,,,,0,0,0,0,0,9
Irina M Goldstein,,,,,,,0,0,0,0,9
Megan Mccarthy King,,,,,,,,0,1,1,9
Rebecca Warren,,,,,,,,,0,1,9
Christylee Peck,,,,,,,,,,0,9
Total,5,5,5,5,0,0,0,3,3,2,9
