col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,District Council 1st District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Lou Lanni,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Eryn Santamoor,Ethelind Baylor,Allan Domb,Katherine Gilmore Richardson,Adrián Rivera-reyes,Derek S Green,Deja Lynn Alvarez,Fernando Treviño,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Joseph A Diorio,Willie Floyd Singletary,Latrice Y Bryant,Billy Thompson,Hena Veit,Fareed Abdullah,Mark Ross,Edwin Santana,Vinny Black,Devon Cade,Bobbie Curry,Wayne Allen,Wayne Edmund Dorsey,Sherrie Cohen,All
Mark F Squilla,116,0,"2,729","1,907","1,677","1,613","1,021","1,012",834,621,564,603,432,358,328,158,123,103,97,73,53,67,45,61,41,44,31,32,26,27,17,1,All
Lou Lanni,,21,430,208,194,181,189,64,155,129,193,112,154,83,114,73,61,42,34,49,49,36,43,20,16,12,19,12,19,11,6,0,All
Helen Gym,,,26,"2,021","1,865","1,720","1,046","1,062",711,666,592,568,428,329,321,155,124,101,61,64,53,57,57,43,29,33,25,21,20,24,10,0,All
Justin Diberardinis,,,,4,"1,391","1,399",707,946,428,331,316,364,181,113,135,39,28,35,36,8,20,18,15,12,16,18,8,14,5,5,5,1,All
Erika Almirón,,,,,3,"1,251",463,994,167,246,291,224,243,175,151,91,24,49,6,4,26,9,20,19,2,12,13,9,5,7,1,1,All
Isaiah Thomas,,,,,,4,439,944,287,314,186,265,92,86,87,52,36,40,34,20,21,25,13,25,9,14,6,12,4,7,5,1,All
Eryn Santamoor,,,,,,,7,80,441,462,213,288,133,209,164,74,31,34,22,8,25,21,32,12,10,12,9,10,8,6,5,1,All
Ethelind Baylor,,,,,,,,1,47,38,92,52,70,31,51,17,15,10,1,1,12,7,7,4,5,4,5,2,3,6,1,1,All
Allan Domb,,,,,,,,,14,199,136,320,85,132,122,75,29,38,80,22,13,38,25,14,29,21,12,23,19,10,9,0,All
Katherine Gilmore Richardson,,,,,,,,,,2,100,224,85,142,105,71,24,14,23,7,26,18,17,16,9,8,6,4,7,10,3,0,All
Adrián Rivera-reyes,,,,,,,,,,,6,102,263,102,111,47,95,42,16,53,25,20,15,19,9,17,15,4,8,7,4,0,All
