col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Sherman Toppin,Cateria R Mccabe,Anthony Kyriakakis,Terri M Booker,Craig Levin,Henry Mcgregor Sias,Jon Marshall,Tiffany Palmer,Kendra Mccrae,Leon Goodman,Beth Grossman,Laurie Dow,Wendi Barish,Nicola Serianni,James C Crumlish,Kay Yu,Chris Hall,Janine D Momasso,Vicki Markovitz,Robert Trimble,James F Berardinelli,Gregory Weyer,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Joshua Roberts,65,258,451,517,488,434,184,241,413,253,114,119,150,82,93,99,112,131,55,55,35,33,47,26,16,416,551,177,52,All
Jennifer Schultz,,23,92,76,79,41,96,247,30,209,136,124,97,110,77,120,126,85,57,48,43,60,50,19,14,386,165,166,36,All
Carmella Jacquinto,,,12,430,446,376,135,72,351,29,109,127,102,64,96,72,59,66,63,34,77,44,23,34,11,210,376,104,26,All
Sherman Toppin,,,,3,514,427,143,68,427,50,88,97,97,35,69,39,56,39,48,58,38,36,32,23,15,182,424,68,38,All
Cateria R Mccabe,,,,,3,421,126,53,414,41,112,128,101,50,67,55,47,26,46,32,72,37,22,29,6,185,408,80,26,All
Anthony Kyriakakis,,,,,,3,56,22,395,19,57,51,48,35,28,29,17,42,34,30,28,17,10,12,3,102,345,59,16,All
Terri M Booker,,,,,,,10,68,47,63,199,171,156,70,120,88,61,47,79,96,51,40,46,17,22,199,183,96,25,All
Craig Levin,,,,,,,,10,18,184,67,45,78,47,57,52,76,89,24,42,34,21,33,28,8,229,126,102,31,All
Henry Mcgregor Sias,,,,,,,,,0,12,42,27,29,18,33,26,14,12,22,3,22,16,9,20,8,94,319,36,18,All
Jon Marshall,,,,,,,,,,12,52,57,86,53,33,52,83,72,23,45,16,22,39,17,10,215,107,102,22,All
Tiffany Palmer,,,,,,,,,,,1,194,149,98,91,104,84,47,84,86,41,51,38,39,17,172,146,107,30,All
