col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,District Council 1st District - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Lou Lanni,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Allan Domb,Eryn Santamoor,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Ethelind Baylor,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Ogbonna Paul Hagins,Joseph A Diorio,Asa Khalif,Willie Floyd Singletary,Billy Thompson,Hena Veit,Latrice Y Bryant,Fareed Abdullah,Vinny Black,Mark Ross,Edwin Santana,Bobbie Curry,Wayne Allen,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Mark F Squilla,"1,141",0,"11,064","7,148","5,644","5,507","4,953","4,563","3,950","3,119","3,468","2,373","2,854","1,677","1,454",796,649,604,576,466,481,368,385,364,252,255,224,210,177,139,114,2,All
Lou Lanni,,160,"2,250",996,950,740,843,835,532,"1,172",619,947,345,672,441,370,377,231,251,329,208,265,219,153,121,106,98,113,81,75,53,0,All
Helen Gym,,,120,"6,851","6,377","5,443","3,573","4,422","3,337","3,197","3,120","2,368","3,094","1,646","1,362",799,699,330,525,406,314,435,335,268,154,159,170,137,115,94,61,1,All
Justin Diberardinis,,,,53,"4,276","4,201","2,470","2,622","2,114","1,532","1,481",875,"2,533",659,507,254,141,288,193,50,165,100,114,91,98,109,79,65,56,52,35,2,All
Erika Almirón,,,,,12,"3,512",683,"1,736",968,"1,537","1,065","1,195","2,758",714,710,378,141,60,319,26,55,133,145,133,57,35,63,29,37,32,19,1,All
Isaiah Thomas,,,,,,22,"1,691","1,469","2,017",839,"1,652",384,"2,466",313,273,230,116,126,194,75,103,73,112,145,38,70,70,24,50,55,15,1,All
Allan Domb,,,,,,,151,"2,254","2,342",702,"1,641",458,189,657,516,348,117,405,160,116,272,130,94,128,153,171,82,118,83,96,66,0,All
Eryn Santamoor,,,,,,,,29,"1,813","1,101","1,834",637,305,765,860,328,153,137,151,72,127,192,136,91,74,62,71,70,41,47,28,2,All
Derek S Green,,,,,,,,,8,643,"1,869",630,237,370,250,187,94,105,148,58,118,49,87,90,64,58,57,48,48,25,27,1,All
Adrián Rivera-reyes,,,,,,,,,,28,532,"1,677",478,646,560,230,608,130,260,375,136,150,155,131,72,53,129,52,45,31,26,0,All
Katherine Gilmore Richardson,,,,,,,,,,,11,472,192,641,564,386,123,118,110,50,98,156,161,72,48,56,45,62,42,37,27,2,All
Deja Lynn Alvarez,,,,,,,,,,,,30,382,491,380,206,508,114,256,374,85,148,183,133,53,47,72,36,46,26,21,0,All
Ethelind Baylor,,,,,,,,,,,,,3,209,127,81,55,17,72,11,32,34,68,48,17,20,20,10,35,6,11,1,All
Beth Finn,,,,,,,,,,,,,,5,247,394,100,132,143,62,156,204,144,75,60,83,52,83,64,42,41,1,All
Fernando Treviño,,,,,,,,,,,,,,,10,67,118,125,94,63,117,79,64,77,42,34,107,39,40,22,18,1,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,5,38,67,141,19,42,125,123,70,39,34,20,46,28,22,23,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,8,41,52,287,53,68,39,48,29,12,27,16,12,9,10,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,14,22,93,147,55,46,30,73,85,36,73,34,40,34,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,1,35,27,63,67,162,28,29,35,16,29,17,13,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,7,77,39,43,31,35,28,16,29,21,20,24,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,2,41,45,30,57,61,24,58,36,34,35,1,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,1,77,40,34,24,23,27,11,14,10,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,1,57,26,25,17,27,18,24,13,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,3,22,10,24,18,24,17,10,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,0,35,20,31,15,36,8,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,55,25,13,27,1,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,23,10,15,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,23,17,1,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,9,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"16,535","3,777","14,529","8,915","7,213","6,816","6,458","5,888","4,842","4,588","4,386","3,526","3,455","2,486","2,036","1,258","1,077",908,881,822,727,668,647,555,400,384,354,337,275,232,180,4,All
