col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Willie Floyd Singletary,Sandra Dungee Glenn,Deja Lynn Alvarez,Eryn Santamoor,Fareed Abdullah,Ogbonna Paul Hagins,Erika Almirón,Justin Diberardinis,Asa Khalif,Latrice Y Bryant,Billy Thompson,Bobbie Curry,Ethelind Baylor,Fernando Treviño,Beth Finn,Joseph A Diorio,Wayne Allen,Edwin Santana,Mark Ross,Hena Veit,Devon Cade,Vinny Black,Wayne Edmund Dorsey,Sherrie Cohen,All
Helen Gym,290,"2,882","2,805","2,824","2,396",374,307,317,271,203,130,201,192,159,132,105,116,100,124,78,80,52,62,48,42,46,36,27,19,0,All
Allan Domb,,155,"2,740","2,780","2,273",143,135,234,85,233,126,52,85,131,97,66,99,87,69,53,40,54,60,46,53,25,39,30,27,0,All
Isaiah Thomas,,,115,"2,895","2,294",127,128,282,92,162,168,60,138,152,143,121,90,74,112,49,44,43,77,51,55,19,39,24,21,0,All
Derek S Green,,,,81,"2,282",100,103,278,64,185,142,44,106,170,113,89,87,94,109,35,42,33,74,43,36,15,21,24,16,1,All
Katherine Gilmore Richardson,,,,,38,65,55,193,75,98,52,32,84,54,43,56,60,50,55,35,38,23,26,25,21,19,17,16,12,0,All
Adrián Rivera-reyes,,,,,,121,246,43,223,62,39,164,56,27,33,41,47,34,6,63,33,27,11,22,10,23,7,21,10,0,All
Willie Floyd Singletary,,,,,,,80,25,206,45,34,137,14,7,29,33,51,20,9,30,10,26,23,10,21,10,14,17,8,0,All
Sandra Dungee Glenn,,,,,,,,11,22,23,36,25,75,35,39,37,41,27,32,36,30,34,10,27,11,13,5,9,2,0,All
Deja Lynn Alvarez,,,,,,,,,67,30,19,147,33,17,25,44,28,23,16,27,21,21,9,10,16,11,14,15,5,0,All
Eryn Santamoor,,,,,,,,,,7,10,12,28,72,25,20,25,27,9,25,17,12,8,14,17,22,7,5,7,0,All
Fareed Abdullah,,,,,,,,,,,19,16,28,12,85,48,27,27,13,11,15,9,17,19,13,4,13,10,9,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,25,15,4,20,14,13,12,8,13,8,11,7,9,5,7,4,6,1,1,All
Erika Almirón,,,,,,,,,,,,,8,24,28,25,19,20,21,16,18,13,8,7,7,12,8,4,3,1,All
Justin Diberardinis,,,,,,,,,,,,,,4,9,15,8,16,27,25,8,23,6,21,9,2,2,4,3,0,All
Asa Khalif,,,,,,,,,,,,,,,3,43,10,27,7,9,18,4,12,17,13,8,8,6,11,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,16,19,30,14,16,14,4,11,13,17,10,15,10,6,0,All
