col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Municipal Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,David H Conroy,Theresa Brunson,Jennifer Schultz,Anthony Kyriakakis,Joshua Roberts,Tiffany Palmer,James C Crumlish,Carmella Jacquinto,Wendi Barish,Cateria R Mccabe,Kay Yu,Henry Mcgregor Sias,Craig Levin,Nicola Serianni,Leon Goodman,Beth Grossman,Chris Hall,Kendra Mccrae,Jon Marshall,Sherman Toppin,Terri M Booker,Vicki Markovitz,Laurie Dow,Janine D Momasso,James F Berardinelli,Robert Trimble,Gregory Weyer,All
David H Conroy,"2,893",0,"25,658","39,068","33,740","27,227","25,422","20,569","15,201","19,012","18,303","22,670","13,787","11,494","10,887","7,789","14,294","5,573","7,959","10,548","4,911","6,121","4,081","3,379","7,016","2,499","1,393",All
Theresa Brunson,,"3,142","26,467","10,601","14,937","20,161","8,261","13,166","16,543","12,635","11,420","6,983","12,138","13,032","11,221","12,876","6,376","13,776","8,675","6,432","11,223","7,871","9,883","8,740","4,611","2,805","1,771",All
Jennifer Schultz,,,"2,224","12,976","12,503","19,828","7,961","7,296","14,810","10,653","12,774","6,825","13,021","14,932","6,389","9,959","6,645","7,253","9,916","2,614","4,300","6,123","5,399","5,519","3,972","2,114",842,All
Anthony Kyriakakis,,,,589,"18,974","28,881","22,017","18,994","13,321","17,143","19,187","24,641","4,501","7,526","8,393","4,926","15,429","3,803","1,312","9,004","2,134","4,813","2,137","2,059","5,614","1,050",723,All
Joshua Roberts,,,,,"2,385","5,022","15,830","19,283","9,057","14,009","3,551","14,364","11,611","5,857","7,018","4,486","2,810","3,818","10,001","10,783","5,158","2,561","2,631","1,596","2,119","1,741",727,All
Tiffany Palmer,,,,,,476,"14,542","7,122","15,764","13,151","22,406","14,265","4,798","12,384","9,566","7,687","16,602","9,119","2,194","2,934","6,501","6,436","5,574","5,218","5,679","1,412","1,254",All
James C Crumlish,,,,,,,475,"12,430","9,915","6,336","7,008","8,457","6,105","5,292","6,025","4,274","12,542","3,208","3,304","2,335","3,217","2,233","2,633","1,488","3,495","1,710",495,All
Carmella Jacquinto,,,,,,,,897,"8,970","13,929","5,639","14,117","3,612","4,897","6,009","4,724","2,417","6,071","1,336","9,119","5,020","3,195","3,830","3,832","2,013","1,155",630,All
Wendi Barish,,,,,,,,,303,"7,144","7,548","7,180","5,286","11,255","6,448","8,560","4,174","5,769","2,632","2,358","4,349","6,014","5,142","5,057","2,623","1,262",661,All
Cateria R Mccabe,,,,,,,,,,263,"7,760","14,230","2,764","8,083","5,529","3,310","2,154","6,010","1,591","9,917","3,795","2,349","3,200","6,051","2,073",894,622,All
Kay Yu,,,,,,,,,,,523,"11,757","2,828","7,133","5,140","3,970","7,794","4,564","1,039","1,642","3,127","3,753","2,851","2,257","3,739",768,906,All
Henry Mcgregor Sias,,,,,,,,,,,,189,"1,799","4,515","5,127","1,733","2,898","1,610",638,"7,687","1,127","2,889","1,077","1,369","2,096",566,646,All
Craig Levin,,,,,,,,,,,,,"1,693","4,868","5,024","4,636","2,507","2,614","8,692","2,200","2,776","3,314","2,787","1,959","2,313","1,550",686,All
Nicola Serianni,,,,,,,,,,,,,,272,"3,246","5,865","2,244","4,754","3,336","1,995","2,616","3,888","3,347","4,860","2,190","1,054",813,All
Leon Goodman,,,,,,,,,,,,,,,366,"4,253","3,286","5,255","3,090","3,431","5,861","4,276","2,984","2,768","2,394","1,649",920,All
Beth Grossman,,,,,,,,,,,,,,,,402,"3,078","5,213","2,194","1,187","3,496","5,900","4,922","2,717","2,914","1,022",745,All
Chris Hall,,,,,,,,,,,,,,,,,164,"3,261","1,409","1,395","2,921","1,638","2,290",764,"3,704","1,461",601,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,270,"1,925","2,985","5,672","2,622","4,092","3,243","1,453","1,519",666,All
Jon Marshall,,,,,,,,,,,,,,,,,,,996,"1,506","2,113","1,001","1,365",692,856,"1,176",431,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,265,"3,451","1,123","2,101","1,713",933,864,577,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,442,"1,855","3,574","2,278",891,"1,353",879,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,108,"2,502","2,008","1,784",770,466,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,309,"2,570","1,678",863,518,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,240,"2,243",526,551,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,164,893,653,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,65,358,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,87,All
Total,"83,015","66,495","58,617","57,101","55,206","54,311","38,518","38,461","36,273","35,713","33,670","33,077","30,349","27,790","25,909","23,348","23,315","21,359","19,116","19,058","18,376","16,049","15,748","14,096","13,324","6,114","3,782",All
