col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Erika Almirón,Justin Diberardinis,Deja Lynn Alvarez,Eryn Santamoor,Willie Floyd Singletary,Ethelind Baylor,Sandra Dungee Glenn,Ogbonna Paul Hagins,Beth Finn,Fareed Abdullah,Asa Khalif,Fernando Treviño,Latrice Y Bryant,Billy Thompson,Joseph A Diorio,Hena Veit,Wayne Allen,Edwin Santana,Mark Ross,Vinny Black,Bobbie Curry,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,David H Conroy,Theresa Brunson,All
Helen Gym,111,"1,288",961,"1,004",764,784,918,847,513,571,252,436,237,258,215,146,140,162,101,74,54,96,39,38,32,27,27,24,22,0,"1,440","1,131",All
Isaiah Thomas,,25,693,865,198,690,526,490,101,157,104,367,240,43,50,159,133,41,65,67,27,25,39,24,17,21,10,36,22,0,865,590,All
Allan Domb,,,65,753,167,565,136,212,109,336,100,52,140,48,91,101,84,68,29,56,43,31,36,22,29,32,27,20,23,1,757,426,All
Derek S Green,,,,22,177,700,208,254,122,260,65,101,183,51,69,127,113,38,38,39,27,10,34,27,16,22,17,30,10,0,773,408,All
Adrián Rivera-reyes,,,,,24,113,322,289,425,255,232,70,54,224,106,68,77,106,58,36,38,29,16,27,16,12,14,11,18,0,545,506,All
Katherine Gilmore Richardson,,,,,,9,174,125,97,245,46,48,181,27,83,69,61,49,57,36,25,31,14,19,12,11,10,32,12,0,606,355,All
Erika Almirón,,,,,,,17,519,210,227,34,339,113,43,110,41,60,66,54,36,12,37,10,18,11,5,6,4,7,0,450,505,All
Justin Diberardinis,,,,,,,,10,117,288,15,307,43,29,75,23,29,42,18,16,17,12,14,11,12,6,10,6,6,0,481,350,All
Deja Lynn Alvarez,,,,,,,,,26,133,203,53,40,203,87,48,55,72,50,18,34,35,7,13,17,13,21,8,11,0,355,399,All
Eryn Santamoor,,,,,,,,,,7,44,37,63,40,104,21,24,88,31,32,32,43,13,17,15,10,15,8,10,0,386,338,All
Willie Floyd Singletary,,,,,,,,,,,32,13,29,162,24,56,30,28,34,46,31,10,21,12,15,19,14,13,5,0,202,304,All
Ethelind Baylor,,,,,,,,,,,,6,29,13,26,17,16,9,14,12,2,8,6,6,3,4,2,3,6,0,214,206,All
Sandra Dungee Glenn,,,,,,,,,,,,,5,22,61,48,64,11,38,22,16,25,15,14,5,12,12,30,7,0,114,259,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,8,22,21,20,25,11,14,11,14,8,9,5,5,2,7,5,0,152,182,All
Beth Finn,,,,,,,,,,,,,,,11,29,24,29,31,17,19,34,11,14,14,9,11,4,7,0,128,193,All
Fareed Abdullah,,,,,,,,,,,,,,,,6,106,20,45,29,13,17,22,14,11,15,8,10,10,1,80,231,All
Asa Khalif,,,,,,,,,,,,,,,,,0,12,19,16,7,13,11,14,9,10,8,6,9,1,71,200,All
Fernando Treviño,,,,,,,,,,,,,,,,,,2,19,18,28,14,6,16,10,7,11,8,4,0,116,124,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,4,15,19,22,10,9,16,12,19,7,8,0,50,153,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,2,27,20,8,9,10,10,10,8,10,0,68,95,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,1,17,12,9,16,10,15,7,10,0,62,72,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,5,3,9,10,4,2,5,0,36,101,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,1,8,10,6,5,5,6,0,41,52,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,2,3,0,27,59,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,2,10,16,5,3,1,32,50,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,5,0,28,45,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,0,24,52,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,14,34,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,24,35,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,All
David H Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0,All
Theresa Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,All
