col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 9th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Cherelle L Parker,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Fareed Abdullah,Billy Thompson,Eryn Santamoor,Latrice Y Bryant,Erika Almirón,Ogbonna Paul Hagins,Asa Khalif,Justin Diberardinis,Fernando Treviño,Beth Finn,Ethelind Baylor,Wayne Allen,Edwin Santana,Hena Veit,Joseph A Diorio,Vinny Black,Wayne Edmund Dorsey,Mark Ross,Bobbie Curry,Devon Cade,Sherrie Cohen,All
Cherelle L Parker,78,889,626,579,578,406,321,220,206,171,151,130,133,124,111,110,117,83,75,75,68,71,48,54,50,52,38,35,29,27,0,All
Helen Gym,,33,454,478,479,384,156,103,96,104,55,72,86,48,84,79,49,68,42,38,49,31,22,29,24,19,21,12,14,12,0,All
Isaiah Thomas,,,11,419,449,330,45,35,45,81,75,53,44,52,48,15,70,39,21,24,40,39,15,18,16,16,18,19,9,19,1,All
Allan Domb,,,,25,443,328,65,36,35,74,69,40,70,30,30,14,49,21,17,22,19,23,26,14,9,18,15,14,17,13,0,All
Derek S Green,,,,,3,339,64,25,34,77,61,49,53,46,41,17,53,45,20,17,39,31,21,9,6,14,14,12,12,9,0,All
Katherine Gilmore Richardson,,,,,,1,27,17,14,67,29,32,52,27,38,7,20,22,12,17,11,11,9,5,4,10,4,6,4,9,0,All
Adrián Rivera-reyes,,,,,,,12,111,92,25,25,26,36,35,23,67,22,21,33,28,8,20,21,18,18,7,10,8,6,4,0,All
Deja Lynn Alvarez,,,,,,,,4,82,14,20,10,22,33,17,62,17,6,20,11,6,9,7,14,9,13,7,7,6,3,1,All
Willie Floyd Singletary,,,,,,,,,8,16,17,18,18,10,7,49,12,7,15,9,2,15,5,10,8,10,10,4,6,2,0,All
Sandra Dungee Glenn,,,,,,,,,,4,29,19,16,25,31,6,21,14,13,16,14,5,15,7,13,2,6,5,9,2,0,All
Fareed Abdullah,,,,,,,,,,,3,16,9,16,11,9,45,5,10,8,13,12,9,3,6,10,4,9,4,7,0,All
Billy Thompson,,,,,,,,,,,,3,12,15,17,13,12,6,12,9,9,8,2,6,12,7,6,5,6,3,0,All
Eryn Santamoor,,,,,,,,,,,,,2,13,19,9,7,15,20,14,5,3,4,9,8,10,3,3,4,3,0,All
Latrice Y Bryant,,,,,,,,,,,,,,2,22,11,20,1,6,9,15,10,5,11,7,9,7,4,8,8,1,All
Erika Almirón,,,,,,,,,,,,,,,4,7,13,18,10,10,11,6,3,6,6,5,4,2,2,2,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,6,6,4,3,7,5,5,3,7,5,2,1,2,3,0,0,All
Asa Khalif,,,,,,,,,,,,,,,,,1,5,2,9,7,17,6,4,2,13,5,5,5,3,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,0,12,6,20,3,10,2,11,4,3,0,1,0,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,0,15,1,5,16,5,19,3,2,2,2,1,0,All
