col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Register Of Wills - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,Isaiah Thomas,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Ogbonna Paul Hagins,Sandra Dungee Glenn,Beth Finn,Fernando Treviño,Billy Thompson,Justin Diberardinis,Joseph A Diorio,Asa Khalif,Fareed Abdullah,Latrice Y Bryant,Edwin Santana,Ethelind Baylor,Hena Veit,Wayne Allen,Vinny Black,Bobbie Curry,Mark Ross,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Ronald R Donatucci,48,0,0,333,345,173,269,267,276,87,79,56,32,30,34,35,32,41,42,39,26,16,18,16,29,14,20,16,14,14,11,6,0,All
Tracey Gordon,,24,0,135,101,235,84,80,71,219,147,133,54,72,60,45,51,39,29,26,38,43,40,26,18,26,16,20,17,14,12,9,0,All
Jacque P Whaumbush,,,9,56,69,85,36,36,38,55,52,34,22,22,18,25,22,20,14,23,20,16,18,14,8,12,11,10,5,6,7,5,0,All
Isaiah Thomas,,,,29,321,137,281,306,245,53,31,30,46,12,48,21,17,27,36,19,44,37,32,20,28,12,17,16,7,8,10,11,0,All
Allan Domb,,,,,18,152,262,277,281,63,41,31,31,10,38,32,25,38,45,39,27,26,10,26,11,15,19,20,11,9,9,11,0,All
Helen Gym,,,,,,16,101,103,99,141,113,95,54,85,43,50,36,40,47,21,26,19,29,18,28,28,10,16,12,8,6,7,0,All
Katherine Gilmore Richardson,,,,,,,1,244,229,29,24,11,35,5,48,36,21,22,30,16,16,11,26,11,12,11,8,11,6,11,3,5,0,All
Derek S Green,,,,,,,,2,218,24,13,24,22,9,19,12,8,19,33,9,24,20,19,13,23,6,14,8,9,4,8,2,0,All
