col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Justin Diberardinis,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Eryn Santamoor,Erika Almirón,Isaiah Thomas,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Sandra Dungee Glenn,Fernando Treviño,Fareed Abdullah,Ethelind Baylor,Ogbonna Paul Hagins,Joseph A Diorio,Asa Khalif,Willie Floyd Singletary,Latrice Y Bryant,Billy Thompson,Hena Veit,Vinny Black,Mark Ross,Edwin Santana,Wayne Allen,Bobbie Curry,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,James C Crumlish,Jennifer Schultz,Anthony Kyriakakis,Tiffany Palmer,Kay Yu,Wendi Barish,Carmella Jacquinto,Beth Grossman,Chris Hall,Nicola Serianni,Joshua Roberts,Henry Mcgregor Sias,Cateria R Mccabe,Kendra Mccrae,Craig Levin,Vicki Markovitz,Laurie Dow,James F Berardinelli,Leon Goodman,Terri M Booker,Janine D Momasso,Jon Marshall,Sherman Toppin,Robert Trimble,Gregory Weyer,All
Helen Gym,39,"1,489","1,278","1,437","1,249","1,157","1,158",984,729,530,484,377,394,210,256,197,117,150,162,145,114,131,65,54,60,49,52,43,33,1,"1,842","1,636","1,860","1,693","1,206","1,013",951,742,892,747,669,698,593,483,426,403,441,330,327,293,274,230,155,87,55,All
Justin Diberardinis,,12,663,700,492,633,635,460,313,173,203,118,153,74,183,28,107,63,15,41,54,33,43,41,30,31,20,13,15,1,901,769,"1,073","1,017",673,501,362,390,547,382,210,369,298,174,200,215,178,268,158,115,132,90,66,50,43,All
Allan Domb,,,28,808,543,620,172,484,188,117,196,189,115,127,42,40,165,49,65,52,87,43,59,65,48,44,36,42,30,0,"1,012",683,888,625,415,398,506,469,385,308,393,310,276,214,297,221,216,266,218,179,112,120,121,76,47,All
Derek S Green,,,,9,702,457,358,668,198,162,120,139,105,123,87,37,52,87,46,43,57,30,36,24,27,26,20,15,14,2,"1,013",568,"1,015",745,614,394,599,322,420,246,388,436,296,238,180,149,190,168,232,208,114,67,120,45,29,All
Katherine Gilmore Richardson,,,,,9,548,488,517,147,113,228,190,227,87,54,27,51,46,20,62,51,47,24,29,28,16,24,13,7,1,861,598,862,685,522,425,518,345,418,311,311,358,270,239,127,203,208,130,123,135,123,61,82,35,17,All
Eryn Santamoor,,,,,,4,461,207,244,166,219,142,277,85,58,44,42,43,22,58,45,45,30,22,32,15,25,9,8,0,789,607,827,805,460,470,295,380,507,320,174,205,175,190,168,204,210,157,109,105,102,89,47,53,28,All
Erika Almirón,,,,,,,1,295,305,228,206,141,238,51,149,43,21,90,12,67,18,51,18,6,20,11,11,6,8,1,593,605,810,937,592,442,261,254,461,357,113,300,289,189,91,161,175,92,100,95,138,40,27,18,15,All
Isaiah Thomas,,,,,,,,0,168,109,71,155,50,97,117,42,25,68,37,40,48,21,26,14,26,27,11,9,21,0,586,467,606,487,408,274,469,197,213,229,346,353,325,187,133,123,115,98,200,167,120,48,101,28,27,All
