col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Adrián Rivera-reyes,Erika Almirón,Katherine Gilmore Richardson,Justin Diberardinis,Deja Lynn Alvarez,Eryn Santamoor,Willie Floyd Singletary,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Ethelind Baylor,Fernando Treviño,Fareed Abdullah,Beth Finn,Billy Thompson,Latrice Y Bryant,Hena Veit,Joseph A Diorio,Edwin Santana,Bobbie Curry,Wayne Allen,Vinny Black,Wayne Edmund Dorsey,Mark Ross,Devon Cade,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,All
Helen Gym,81,384,303,318,255,291,278,268,171,193,92,95,120,59,101,62,49,73,40,38,48,21,17,18,23,20,17,8,8,0,412,263,258,30,All
Isaiah Thomas,,5,219,240,63,144,186,118,40,56,32,52,24,47,67,16,48,15,33,19,13,14,15,9,13,16,13,5,6,1,179,81,202,26,All
Allan Domb,,,14,232,38,21,188,53,26,81,24,32,13,21,13,14,32,20,27,14,13,10,10,12,15,15,14,11,7,0,103,67,203,18,All
Derek S Green,,,,1,42,75,185,90,34,70,19,39,10,24,18,15,34,9,22,14,3,3,4,10,7,9,4,1,2,0,127,68,179,17,All
Adrián Rivera-reyes,,,,,17,96,40,66,145,62,76,20,98,28,19,46,12,39,17,12,19,16,10,8,7,13,4,5,3,1,208,118,41,11,All
Erika Almirón,,,,,,0,65,176,78,99,9,65,24,39,66,37,14,37,10,17,18,6,7,3,3,5,4,3,1,0,199,112,26,11,All
Katherine Gilmore Richardson,,,,,,,1,40,28,74,12,45,13,23,16,21,23,33,19,18,19,4,10,6,5,10,7,2,4,0,95,76,154,10,All
Justin Diberardinis,,,,,,,,1,33,125,5,59,13,15,54,30,11,14,6,11,7,17,15,6,5,5,1,6,4,0,178,82,37,10,All
Deja Lynn Alvarez,,,,,,,,,7,33,82,21,77,20,20,29,15,30,23,20,27,12,6,8,8,6,4,10,4,1,152,114,27,10,All
Eryn Santamoor,,,,,,,,,,0,16,57,25,16,12,43,10,31,19,15,30,10,5,14,7,6,5,5,2,0,103,99,46,18,All
Willie Floyd Singletary,,,,,,,,,,,10,12,65,12,5,10,8,7,18,10,8,10,5,8,3,7,5,5,3,0,86,91,37,12,All
Sandra Dungee Glenn,,,,,,,,,,,,0,15,25,10,14,25,14,10,27,19,12,14,8,9,6,7,4,2,0,67,49,50,8,All
Ogbonna Paul Hagins,,,,,,,,,,,,,4,10,5,18,7,10,8,9,12,3,6,5,1,3,0,2,3,0,81,68,19,10,All
Asa Khalif,,,,,,,,,,,,,,1,5,16,30,10,9,14,9,4,4,8,5,5,5,8,3,0,51,40,30,4,All
Ethelind Baylor,,,,,,,,,,,,,,,3,2,9,11,6,8,6,2,2,2,7,4,2,4,2,0,57,31,18,7,All
Fernando Treviño,,,,,,,,,,,,,,,,0,5,14,14,6,11,22,17,2,5,3,0,2,0,0,34,46,15,16,All
Fareed Abdullah,,,,,,,,,,,,,,,,,2,7,14,18,9,5,7,8,7,7,6,5,5,0,31,41,42,6,All
Beth Finn,,,,,,,,,,,,,,,,,,2,10,13,24,3,6,5,7,2,1,1,2,0,46,38,18,8,All
Billy Thompson,,,,,,,,,,,,,,,,,,,1,10,7,12,7,8,4,8,7,8,4,0,32,26,25,19,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,8,3,4,10,6,2,3,10,1,0,23,30,24,9,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,8,3,2,4,2,3,0,1,0,29,31,13,10,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,0,11,5,1,2,0,2,4,1,17,9,18,11,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,1,1,0,22,11,13,2,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,2,8,5,0,17,10,16,4,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,0,10,10,16,8,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,0,0,13,10,17,5,All
