col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Eryn Santamoor,Ogbonna Paul Hagins,Fareed Abdullah,Asa Khalif,Billy Thompson,Ethelind Baylor,Erika Almirón,Latrice Y Bryant,Justin Diberardinis,Edwin Santana,Joseph A Diorio,Fernando Treviño,Beth Finn,Hena Veit,Mark Ross,Vinny Black,Bobbie Curry,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Cateria R Mccabe,Terri M Booker,Craig Levin,Sherman Toppin,Kendra Mccrae,Anthony Kyriakakis,Leon Goodman,Jon Marshall,Tiffany Palmer,Henry Mcgregor Sias,Laurie Dow,Janine D Momasso,Wendi Barish,James C Crumlish,Nicola Serianni,Beth Grossman,Chris Hall,Kay Yu,James F Berardinelli,Robert Trimble,Vicki Markovitz,Gregory Weyer,All
Helen Gym,42,572,602,572,439,228,219,161,151,99,138,82,71,82,89,88,61,74,49,30,30,37,40,18,23,17,21,15,14,0,675,331,407,443,247,246,376,265,335,213,208,193,266,159,131,140,99,136,126,72,91,53,59,57,18,All
Isaiah Thomas,,19,508,572,437,200,80,79,44,98,27,101,81,52,74,64,54,53,37,28,21,35,10,23,19,7,23,15,18,2,442,145,404,406,275,112,375,212,300,194,90,184,282,120,98,98,79,75,86,81,70,59,48,52,20,All
Allan Domb,,,39,537,374,168,77,74,42,100,26,80,45,43,46,31,23,34,39,25,23,23,20,20,19,21,24,20,17,0,429,128,333,371,215,114,360,192,297,156,89,152,254,117,79,92,63,55,86,73,48,47,54,49,14,All
Derek S Green,,,,12,460,220,66,62,32,132,15,67,63,43,64,37,37,52,35,12,21,28,7,16,14,11,20,12,6,0,442,103,409,387,276,122,368,202,312,171,86,173,263,111,75,82,83,53,75,71,57,46,34,37,15,All
Katherine Gilmore Richardson,,,,,8,183,41,27,19,100,11,33,30,47,28,42,27,23,18,8,7,19,14,16,11,10,4,11,3,1,366,80,388,346,170,67,327,146,306,107,37,73,246,66,72,48,52,54,41,35,38,16,18,31,9,All
Sandra Dungee Glenn,,,,,,10,45,33,14,78,10,27,36,56,39,53,34,42,45,44,38,31,14,7,4,14,8,7,2,0,111,82,210,180,178,98,105,168,75,143,39,94,34,107,135,58,74,48,57,33,35,64,15,38,6,All
Adrián Rivera-reyes,,,,,,,8,142,144,31,120,18,23,24,14,24,22,14,14,17,33,32,17,11,7,14,9,12,7,0,225,239,67,58,69,166,41,69,29,53,161,48,20,46,29,62,57,70,52,32,29,11,34,30,9,All
Willie Floyd Singletary,,,,,,,,21,134,18,94,30,32,28,11,13,25,5,12,13,12,7,7,12,15,15,11,7,2,1,190,177,39,42,73,157,32,57,22,67,148,58,17,34,23,40,44,50,36,37,22,14,36,14,15,All
Deja Lynn Alvarez,,,,,,,,,8,26,110,19,23,21,11,14,33,5,10,23,17,9,13,7,8,6,6,4,10,0,188,179,45,33,50,137,23,51,19,44,140,35,12,31,17,49,37,61,30,17,15,7,20,14,8,All
Eryn Santamoor,,,,,,,,,,0,5,17,7,11,12,12,20,20,4,14,13,10,20,9,7,10,4,10,4,1,67,62,91,47,118,50,31,61,28,46,35,52,9,49,22,42,34,44,34,28,25,14,22,17,2,All
Ogbonna Paul Hagins,,,,,,,,,,,2,13,6,15,2,6,8,1,5,3,8,5,9,1,7,3,2,1,5,0,123,127,14,20,30,96,10,27,7,23,107,21,4,23,10,25,28,37,20,9,8,6,11,7,1,All
Fareed Abdullah,,,,,,,,,,,,2,55,18,15,14,23,11,20,10,7,6,8,8,15,5,5,8,8,0,63,33,49,58,89,41,41,83,16,60,36,81,10,35,34,26,15,31,29,34,31,9,21,17,12,All
Asa Khalif,,,,,,,,,,,,,2,9,9,17,27,6,18,9,6,7,7,3,16,7,7,5,4,0,44,40,49,44,74,34,29,67,14,55,23,71,10,42,26,24,12,27,29,23,31,9,16,14,8,All
Billy Thompson,,,,,,,,,,,,,,3,6,31,14,5,9,12,7,11,7,6,12,6,5,9,6,0,48,37,46,51,49,32,29,63,43,72,36,34,6,27,43,29,21,23,27,19,18,8,16,13,8,All
Ethelind Baylor,,,,,,,,,,,,,,,1,20,9,23,9,8,5,10,3,3,3,1,5,4,1,0,43,36,47,53,47,25,19,49,20,45,14,47,13,27,31,35,27,20,17,12,21,16,10,8,5,All
Erika Almirón,,,,,,,,,,,,,,,,0,17,18,7,5,4,13,12,5,4,7,6,8,3,0,29,33,48,67,34,24,20,57,35,55,19,51,17,26,46,32,14,30,26,16,18,14,14,15,4,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,0,5,12,11,5,7,15,8,8,7,9,5,13,0,41,40,47,44,56,28,30,64,13,36,24,50,13,39,25,32,16,27,28,20,18,10,12,12,3,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,1,33,30,28,6,0,8,2,3,2,1,2,2,32,26,57,31,32,34,13,24,16,32,9,37,11,41,35,30,46,19,13,14,15,38,3,12,6,All
Edwin Santana,,,,,,,,,,,,,,,,,,,1,32,32,6,8,1,3,6,3,3,5,0,30,20,57,24,37,43,16,32,9,31,16,37,8,55,38,13,42,9,18,14,16,32,12,13,3,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,0,37,10,8,7,6,6,1,7,9,0,31,22,37,22,20,51,22,19,10,23,22,16,5,39,46,19,43,21,20,15,4,40,9,4,5,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,1,6,7,3,5,2,5,1,2,1,27,34,38,7,17,53,6,19,8,14,18,11,9,40,36,18,51,26,12,7,5,33,9,6,1,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,0,11,11,3,6,4,1,4,0,29,33,27,20,31,23,15,33,12,21,9,23,9,18,19,34,14,24,29,14,13,11,15,20,1,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,1,3,6,3,0,5,6,0,16,32,13,15,15,12,14,23,6,29,13,15,4,14,9,26,15,27,21,8,10,2,11,10,4,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,4,3,4,1,21,18,8,16,26,14,8,27,5,18,8,15,7,10,12,11,4,10,14,12,4,6,8,4,3,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,4,4,0,20,17,9,15,21,17,8,19,7,18,15,23,3,16,7,11,11,11,15,14,10,9,8,5,6,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,3,1,21,17,12,14,15,8,11,21,4,19,9,12,8,16,9,16,6,13,11,14,7,7,12,9,2,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,23,17,6,11,21,14,1,19,6,19,12,14,3,14,5,8,4,6,10,16,7,7,8,5,7,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,15,12,7,15,17,12,15,15,6,13,12,15,5,10,12,8,9,9,7,6,6,6,6,8,3,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,7,7,13,16,6,9,13,2,15,8,11,5,10,3,11,4,10,7,10,4,5,8,2,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,1,0,1,0,2,0,1,1,0,0,0,1,0,1,0,1,0,All
Joshua Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,230,323,310,162,203,365,125,301,114,216,89,268,61,31,81,89,71,62,48,39,28,41,23,19,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,77,72,87,199,33,99,31,59,189,74,15,60,30,90,54,99,75,34,32,18,37,38,8,All
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,326,176,85,294,150,278,121,33,89,235,99,118,61,82,45,52,29,44,47,30,39,8,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,147,44,335,175,309,124,40,128,257,72,119,49,20,60,45,36,41,32,18,29,8,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,77,113,175,53,149,64,168,29,94,60,79,61,72,72,80,57,25,41,35,17,All
Craig Levin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,36,57,22,77,160,59,10,85,73,43,95,56,37,31,14,56,24,31,9,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,295,73,31,60,265,38,30,29,36,22,21,27,19,14,20,17,13,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,70,147,55,155,32,77,91,67,45,69,71,65,66,30,44,26,9,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,21,39,251,16,46,13,22,15,25,30,13,15,15,13,8,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,116,21,79,79,56,70,49,54,57,35,37,48,36,14,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47,16,29,11,54,49,57,34,30,12,7,25,11,10,All
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,77,45,61,32,59,59,61,62,31,34,35,16,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,14,17,6,16,11,8,13,18,6,10,4,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,85,57,67,32,61,37,30,54,24,17,8,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,52,28,38,12,23,60,9,24,4,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,77,61,25,27,14,27,31,4,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,16,40,13,47,34,8,5,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,19,24,6,19,27,7,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,24,17,10,30,10,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,16,29,9,14,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,20,17,7,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,3,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,2,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,All
