col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Mayor - Democrat,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Omar Sabir,Lisa Deeley,Kahlil Williams,Jen Devor,Marwan Kreidie,Annette Thompson,Dennis Lee,Luigi Borda,Carla Cain,Moira Bohannon,Robin Trent,Warren Bloom,Lewis Harris Jr,All
Jim Kenney,"19,628",0,0,"44,399","40,114","34,782","19,580","16,807","7,993","5,868","7,456","5,681","3,468","2,790","1,856","1,745",All
Anthony Hardy Williams,,"8,025",0,"20,765","11,879","9,922","1,736","3,431","4,390","3,894","1,460","2,465",708,"1,285",986,"1,402",All
Alan Butkovitz,,,"3,597","3,208","6,307","2,061","1,385","1,856","1,330","1,119","1,583",957,583,611,723,368,All
Omar Sabir,,,,905,"26,745","8,202",557,"4,945","2,641","2,900",787,"1,224",390,581,515,659,All
Lisa Deeley,,,,,826,"5,421","1,436","3,383","3,516","1,258","1,947","1,568",672,589,453,282,All
Kahlil Williams,,,,,,389,"14,512","3,007","2,290","2,124","1,386","1,171",790,821,490,797,All
Jen Devor,,,,,,,112,"1,016",409,302,"1,640",723,581,228,123,198,All
Marwan Kreidie,,,,,,,,450,543,656,"1,195",552,470,447,245,93,All
Annette Thompson,,,,,,,,,170,418,344,"1,053",435,487,285,298,All
Dennis Lee,,,,,,,,,,127,504,744,143,316,306,276,All
Luigi Borda,,,,,,,,,,,247,461,273,163,217,98,All
Carla Cain,,,,,,,,,,,,93,439,316,151,161,All
Moira Bohannon,,,,,,,,,,,,,32,212,85,66,All
Robin Trent,,,,,,,,,,,,,,27,153,141,All
Warren Bloom,,,,,,,,,,,,,,,43,168,All
Lewis Harris Jr,,,,,,,,,,,,,,,,54,All
Total,"131,730","47,949","17,198","70,651","60,485","47,961","23,293","22,839","14,106","11,362","11,110","9,367","4,886","4,787","3,671","3,644",All
