col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Isaiah Thomas,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Erika Almirón,Willie Floyd Singletary,Joseph A Diorio,Fernando Treviño,Ogbonna Paul Hagins,Sandra Dungee Glenn,Billy Thompson,Hena Veit,Mark Ross,Vinny Black,Ethelind Baylor,Bobbie Curry,Latrice Y Bryant,Asa Khalif,Fareed Abdullah,Wayne Allen,Edwin Santana,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,David H Conroy,Theresa Brunson,All
Helen Gym,66,753,566,485,374,445,330,235,186,175,190,137,94,115,121,109,71,86,47,36,77,37,42,40,41,24,23,28,23,0,796,496,All
Allan Domb,,67,447,502,365,359,289,93,55,133,85,44,125,67,21,84,91,49,65,51,26,46,15,30,32,33,35,33,35,0,777,306,All
Katherine Gilmore Richardson,,,4,389,211,343,133,48,33,99,105,17,51,66,10,85,32,40,25,20,32,30,28,19,13,13,12,9,9,0,452,229,All
Derek S Green,,,,6,148,370,175,42,24,44,35,24,34,18,11,15,30,9,16,20,36,18,14,23,18,20,14,9,8,0,484,137,All
Eryn Santamoor,,,,,18,78,191,69,64,89,102,31,38,100,20,59,28,38,28,21,11,20,20,14,12,15,15,12,14,0,281,229,All
Isaiah Thomas,,,,,,5,143,41,27,23,62,23,30,15,10,23,19,17,10,9,54,9,19,26,22,10,11,11,9,0,415,109,All
Justin Diberardinis,,,,,,,9,36,24,55,56,11,48,30,7,36,18,21,24,24,31,14,7,8,10,8,11,11,12,0,277,132,All
Adrián Rivera-reyes,,,,,,,,12,166,51,52,117,27,56,108,17,29,21,12,14,13,7,15,17,12,11,24,8,11,0,234,170,All
Deja Lynn Alvarez,,,,,,,,,12,36,35,105,23,43,101,16,16,21,8,9,9,9,22,18,7,8,15,4,5,0,143,145,All
Beth Finn,,,,,,,,,,4,59,9,52,24,10,68,36,33,30,14,13,24,18,16,10,13,9,14,15,0,122,168,All
Erika Almirón,,,,,,,,,,,4,4,15,69,10,48,11,22,6,12,28,6,18,13,6,4,7,3,3,0,114,130,All
Willie Floyd Singletary,,,,,,,,,,,,6,25,17,91,4,30,7,5,10,6,13,15,9,11,6,3,6,5,0,118,97,All
Joseph A Diorio,,,,,,,,,,,,,2,25,12,12,48,17,24,24,5,29,15,2,2,12,15,21,17,0,149,61,All
Fernando Treviño,,,,,,,,,,,,,,5,10,8,15,10,11,8,4,6,10,5,11,7,19,6,5,0,94,85,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,7,3,12,17,3,4,3,5,7,5,3,2,4,3,3,0,96,75,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,1,18,26,10,7,10,10,17,9,7,9,5,0,7,0,56,121,All
Billy Thompson,,,,,,,,,,,,,,,,,4,10,22,16,6,28,5,3,11,17,6,10,14,0,97,66,All
Hena Veit,,,,,,,,,,,,,,,,,,3,9,8,9,9,10,8,9,3,1,11,5,0,43,83,All
Mark Ross,,,,,,,,,,,,,,,,,,,0,9,2,18,7,5,1,10,4,5,9,0,57,49,All
Vinny Black,,,,,,,,,,,,,,,,,,,,3,1,11,7,6,9,5,3,11,3,0,61,31,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,1,1,6,10,7,7,4,2,4,0,57,43,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,2,7,3,3,10,2,10,5,0,51,43,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,0,14,13,6,8,5,4,0,29,62,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,1,23,3,8,4,1,0,24,62,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,7,4,0,26,54,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,3,5,0,36,30,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,6,0,37,24,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,44,21,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,29,28,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
