col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Tiffany Palmer,Anthony Kyriakakis,Kay Yu,Henry Mcgregor Sias,Craig Levin,Jennifer Schultz,James C Crumlish,Chris Hall,Wendi Barish,Beth Grossman,Vicki Markovitz,Leon Goodman,Nicola Serianni,Joshua Roberts,James F Berardinelli,Carmella Jacquinto,Cateria R Mccabe,Laurie Dow,Kendra Mccrae,Janine D Momasso,Terri M Booker,Jon Marshall,Sherman Toppin,Robert Trimble,Gregory Weyer,Malika Rahman,Rochelle Bilal,Jewell Williams,Larry King Sr,All
Tiffany Palmer,12,"3,121","2,263","1,909","1,015","1,053","1,363","1,419",868,422,464,476,437,247,376,337,360,178,219,161,108,44,33,25,21,"2,261","1,096",152,82,All
Anthony Kyriakakis,,24,"2,200","1,873","1,032",845,"1,397","1,433",762,337,429,479,306,263,405,259,224,105,131,65,59,38,37,32,14,"2,207",903,145,109,All
Kay Yu,,,17,"1,640",801,816,629,686,433,255,239,275,274,203,288,277,246,121,149,82,93,35,31,21,17,"1,747",708,103,51,All
Henry Mcgregor Sias,,,,3,589,533,372,418,362,98,211,321,173,158,201,162,163,25,48,33,33,11,25,13,12,"1,450",446,70,30,All
Craig Levin,,,,,98,687,410,334,462,396,342,359,150,311,187,147,132,95,74,62,88,156,23,41,22,961,511,159,111,All
Jennifer Schultz,,,,,,17,264,303,510,405,281,253,424,236,185,168,259,196,204,158,91,150,26,37,15,806,745,121,72,All
James C Crumlish,,,,,,,9,"1,178",325,206,142,145,160,142,130,100,64,76,76,23,33,57,18,29,11,868,492,91,74,All
Chris Hall,,,,,,,,5,249,159,118,123,110,75,181,83,52,65,66,23,35,24,14,23,15,908,440,67,50,All
