col_1,col_2,division
,District Council 2nd District - Republican,All
,Michael Bradley,All
Michael Bradley,190,All
Total,190,All
,District Council 2nd District - Republican,1
,Michael Bradley,1
Michael Bradley,5,1
Total,5,1
,District Council 2nd District - Republican,2
,Michael Bradley,2
Michael Bradley,13,2
Total,13,2
,District Council 2nd District - Republican,3
,Michael Bradley,3
Michael Bradley,14,3
Total,14,3
,District Council 2nd District - Republican,4
,Michael Bradley,4
Michael Bradley,13,4
Total,13,4
,District Council 2nd District - Republican,5
,Michael Bradley,5
Michael Bradley,18,5
Total,18,5
,District Council 2nd District - Republican,6
,Michael Bradley,6
Michael Bradley,8,6
Total,8,6
,District Council 2nd District - Republican,7
,Michael Bradley,7
Michael Bradley,18,7
Total,18,7
,District Council 2nd District - Republican,9
,Michael Bradley,9
Michael Bradley,14,9
Total,14,9
,District Council 2nd District - Republican,12
,Michael Bradley,12
Michael Bradley,13,12
Total,13,12
,District Council 2nd District - Republican,13
,Michael Bradley,13
Michael Bradley,10,13
Total,10,13
,District Council 2nd District - Republican,14
,Michael Bradley,14
Michael Bradley,8,14
Total,8,14
,District Council 2nd District - Republican,20
,Michael Bradley,20
Michael Bradley,11,20
Total,11,20
,District Council 2nd District - Republican,21
,Michael Bradley,21
Michael Bradley,26,21
Total,26,21
,District Council 2nd District - Republican,27
,Michael Bradley,27
Michael Bradley,6,27
Total,6,27
,District Council 2nd District - Republican,28
,Michael Bradley,28
Michael Bradley,13,28
Total,13,28
