col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 5th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Helen Gym,Erika Almirón,Eryn Santamoor,Justin Diberardinis,Derek S Green,Isaiah Thomas,Adrián Rivera-reyes,Katherine Gilmore Richardson,Allan Domb,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Ethelind Baylor,Sandra Dungee Glenn,Asa Khalif,Ogbonna Paul Hagins,Fareed Abdullah,Latrice Y Bryant,Willie Floyd Singletary,Billy Thompson,Hena Veit,Wayne Allen,Joseph A Diorio,Edwin Santana,Vinny Black,Mark Ross,Devon Cade,Bobbie Curry,Wayne Edmund Dorsey,Sherrie Cohen,All
Darrell L Clarke,24,441,245,216,203,223,218,212,196,165,136,114,61,51,56,45,35,33,29,26,24,26,16,16,14,11,9,7,7,1,0,All
Helen Gym,,11,220,190,211,162,172,146,156,138,100,86,47,52,35,26,27,14,17,18,15,18,9,7,12,10,6,6,1,1,0,All
Erika Almirón,,,1,89,128,76,104,106,93,36,49,41,40,38,19,13,10,9,11,2,1,10,2,2,3,4,2,1,1,0,0,All
Eryn Santamoor,,,,4,106,94,83,64,103,94,36,37,41,10,21,6,9,4,9,3,4,11,5,2,1,4,2,1,1,0,0,All
Justin Diberardinis,,,,,2,78,81,75,40,75,32,30,10,35,15,13,6,7,9,1,5,3,1,2,1,0,1,0,0,1,0,All
Derek S Green,,,,,,0,139,65,103,85,35,29,6,14,14,12,6,5,2,2,9,1,7,4,3,2,3,1,3,0,0,All
Isaiah Thomas,,,,,,,0,77,102,62,19,32,8,26,17,16,6,14,6,2,3,1,5,3,4,1,2,1,1,0,0,All
Adrián Rivera-reyes,,,,,,,,2,66,37,82,38,22,19,18,13,18,7,9,13,7,5,0,6,4,1,1,1,4,0,0,All
Katherine Gilmore Richardson,,,,,,,,,5,49,25,32,26,8,17,5,5,5,6,2,4,10,5,4,1,0,5,1,4,0,0,All
Allan Domb,,,,,,,,,,6,17,23,20,5,5,14,5,8,3,4,13,4,6,3,2,6,2,2,2,0,0,All
Deja Lynn Alvarez,,,,,,,,,,,0,26,21,14,12,11,20,9,12,16,6,6,6,6,6,2,1,1,1,0,0,All
Beth Finn,,,,,,,,,,,,3,8,3,21,8,4,7,6,4,6,10,4,2,7,4,1,1,0,0,0,All
Fernando Treviño,,,,,,,,,,,,,0,4,4,4,8,6,2,4,2,1,0,1,1,2,0,1,0,0,0,All
Ethelind Baylor,,,,,,,,,,,,,,0,4,4,3,2,6,1,0,0,3,0,0,0,1,0,0,1,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,0,8,1,5,9,5,0,3,1,1,4,2,0,0,0,0,0,All
Asa Khalif,,,,,,,,,,,,,,,,0,1,16,4,1,2,2,3,1,2,1,0,2,0,0,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,1,3,1,7,4,0,0,0,1,0,0,0,0,0,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,0,0,1,0,2,2,2,1,0,0,1,0,0,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,3,1,3,0,1,1,1,2,1,2,1,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,0,4,0,3,3,2,0,2,1,0,0,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,0,2,2,3,2,1,5,1,2,0,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,1,0,1,0,0,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,3,2,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,0,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,681,557,306,281,279,264,263,251,235,219,154,130,76,65,63,50,39,37,34,31,27,26,19,17,16,13,11,9,7,1,0,All
,District Council 5th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Darrell L Clarke,Helen Gym,Erika Almirón,Justin Diberardinis,Eryn Santamoor,Adrián Rivera-reyes,Derek S Green,Deja Lynn Alvarez,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Ethelind Baylor,Asa Khalif,Hena Veit,Wayne Allen,Willie Floyd Singletary,Latrice Y Bryant,Billy Thompson,Joseph A Diorio,Ogbonna Paul Hagins,Vinny Black,Devon Cade,Edwin Santana,Fareed Abdullah,Bobbie Curry,Mark Ross,Sherrie Cohen,Wayne Edmund Dorsey,15
Darrell L Clarke,4,83,44,39,41,41,31,30,28,25,26,20,17,12,8,7,7,5,5,3,3,3,4,2,1,2,2,1,0,0,0,15
Helen Gym,,2,45,38,38,34,27,26,20,24,22,16,13,7,10,3,5,3,3,2,2,1,3,2,1,1,0,0,0,0,0,15
Erika Almirón,,,0,28,16,21,10,14,15,13,4,11,10,3,9,2,3,0,0,2,0,0,1,0,0,0,1,0,0,0,0,15
Justin Diberardinis,,,,2,26,17,17,8,16,9,9,5,3,4,4,4,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,15
Eryn Santamoor,,,,,0,13,17,11,11,15,15,6,12,4,0,1,3,3,0,0,0,1,2,1,0,0,1,0,0,0,0,15
Adrián Rivera-reyes,,,,,,0,7,17,9,7,3,7,11,5,7,3,2,0,1,2,0,1,2,0,1,1,0,1,0,0,0,15
Derek S Green,,,,,,,0,10,14,5,12,2,2,1,4,3,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,15
Deja Lynn Alvarez,,,,,,,,0,4,6,1,4,6,5,6,3,2,2,1,4,0,1,2,0,0,0,1,0,0,0,0,15
Isaiah Thomas,,,,,,,,,0,6,7,5,1,1,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,15
Katherine Gilmore Richardson,,,,,,,,,,1,5,7,5,6,0,0,2,0,1,0,1,2,0,0,1,0,0,1,0,0,0,15
Allan Domb,,,,,,,,,,,1,3,5,0,0,0,1,1,1,0,4,0,1,2,0,0,0,0,0,0,0,15
Beth Finn,,,,,,,,,,,,2,1,5,1,2,2,1,1,0,1,1,0,0,0,2,1,0,0,0,0,15
Fernando Treviño,,,,,,,,,,,,,0,2,1,2,1,0,0,1,1,0,3,1,0,1,1,0,0,0,0,15
Sandra Dungee Glenn,,,,,,,,,,,,,,0,0,2,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,15
Ethelind Baylor,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Asa Khalif,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,15
Hena Veit,,,,,,,,,,,,,,,,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Wayne Allen,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,15
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,1,0,0,0,0,0,0,15
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,15
Billy Thompson,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,15
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,15
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,15
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,15
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,15
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,15
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,15
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15
Total,120,105,57,56,52,46,38,34,34,32,31,25,22,13,12,8,7,6,6,5,4,4,4,3,2,2,2,1,0,0,0,15
,District Council 5th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
