col_1,col_2,col_3,division
,City Commissioners - Republican,District Council 2nd District - Republican,All
,Al Schmidt,Michael Bradley,All
Al Schmidt,11,89,All
Michael Bradley,,5,All
Total,100,94,All
,City Commissioners - Republican,District Council 2nd District - Republican,1
,Al Schmidt,Michael Bradley,1
Al Schmidt,0,7,1
Michael Bradley,,0,1
Total,7,7,1
,City Commissioners - Republican,District Council 2nd District - Republican,2
,Al Schmidt,Michael Bradley,2
Al Schmidt,0,1,2
Michael Bradley,,0,2
Total,1,1,2
,City Commissioners - Republican,District Council 2nd District - Republican,5
,Al Schmidt,Michael Bradley,5
Al Schmidt,0,1,5
Michael Bradley,,0,5
Total,1,1,5
,City Commissioners - Republican,District Council 2nd District - Republican,6
,Al Schmidt,Michael Bradley,6
Al Schmidt,0,1,6
Michael Bradley,,0,6
Total,1,1,6
,City Commissioners - Republican,District Council 2nd District - Republican,7
,Al Schmidt,Michael Bradley,7
Al Schmidt,0,2,7
Michael Bradley,,0,7
Total,2,2,7
,City Commissioners - Republican,District Council 2nd District - Republican,9
,Al Schmidt,Michael Bradley,9
Al Schmidt,1,1,9
Michael Bradley,,0,9
Total,2,1,9
,City Commissioners - Republican,District Council 2nd District - Republican,10
,Al Schmidt,Michael Bradley,10
Al Schmidt,1,1,10
Michael Bradley,,0,10
Total,2,1,10
,City Commissioners - Republican,District Council 2nd District - Republican,11
,Al Schmidt,Michael Bradley,11
Al Schmidt,1,2,11
Michael Bradley,,1,11
Total,3,3,11
,City Commissioners - Republican,District Council 2nd District - Republican,15
,Al Schmidt,Michael Bradley,15
Al Schmidt,0,1,15
Michael Bradley,,0,15
Total,1,1,15
,City Commissioners - Republican,District Council 2nd District - Republican,16
,Al Schmidt,Michael Bradley,16
Al Schmidt,0,1,16
Michael Bradley,,0,16
Total,1,1,16
,City Commissioners - Republican,District Council 2nd District - Republican,17
,Al Schmidt,Michael Bradley,17
Al Schmidt,0,1,17
Michael Bradley,,0,17
Total,1,1,17
,City Commissioners - Republican,District Council 2nd District - Republican,18
,Al Schmidt,Michael Bradley,18
Al Schmidt,0,3,18
Michael Bradley,,0,18
Total,3,3,18
,City Commissioners - Republican,District Council 2nd District - Republican,19
,Al Schmidt,Michael Bradley,19
Al Schmidt,0,1,19
Michael Bradley,,0,19
Total,1,1,19
,City Commissioners - Republican,District Council 2nd District - Republican,20
,Al Schmidt,Michael Bradley,20
Al Schmidt,1,1,20
Michael Bradley,,0,20
Total,2,1,20
,City Commissioners - Republican,District Council 2nd District - Republican,21
,Al Schmidt,Michael Bradley,21
Al Schmidt,0,2,21
Michael Bradley,,0,21
Total,2,2,21
,City Commissioners - Republican,District Council 2nd District - Republican,22
,Al Schmidt,Michael Bradley,22
Al Schmidt,2,1,22
Michael Bradley,,0,22
Total,3,1,22
