col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Mayor - Democrat,,,Judge Of The Superior Court - Democrat,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,All
Jim Kenney,238,0,0,537,132,135,All
Anthony Hardy Williams,,54,0,115,31,51,All
Alan Butkovitz,,,14,35,17,13,All
Daniel D Mccaffery,,,,54,82,88,All
Beth Tarasi,,,,,32,42,All
Amanda Green-hawkins,,,,,,1,All
Total,907,203,62,751,223,203,All
,Mayor - Democrat,,,Judge Of The Superior Court - Democrat,,,1
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,1
Jim Kenney,12,0,0,33,3,2,1
Anthony Hardy Williams,,5,0,5,5,2,1
Alan Butkovitz,,,0,1,1,1,1
Daniel D Mccaffery,,,,3,4,2,1
Amanda Green-hawkins,,,,,0,2,1
Beth Tarasi,,,,,,2,1
Total,49,13,2,44,9,9,1
,Mayor - Democrat,,,Judge Of The Superior Court - Democrat,,,2
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,2
Jim Kenney,13,0,0,32,8,8,2
Anthony Hardy Williams,,4,0,7,3,1,2
Alan Butkovitz,,,2,2,0,1,2
Daniel D Mccaffery,,,,2,6,7,2
Beth Tarasi,,,,,6,1,2
Amanda Green-hawkins,,,,,,0,2
Total,51,13,4,44,18,10,2
,Judge Of The Superior Court - Democrat,,,Mayor - Democrat,,,3
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,3
Daniel D Mccaffery,7,5,3,29,6,0,3
Beth Tarasi,,3,0,3,2,0,3
Amanda Green-hawkins,,,0,3,0,1,3
Jim Kenney,,,,6,0,0,3
Anthony Hardy Williams,,,,,2,0,3
Alan Butkovitz,,,,,,1,3
Total,44,10,4,37,8,2,3
,Judge Of The Superior Court - Democrat,,,Mayor - Democrat,,,4
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Jim Kenney,Alan Butkovitz,Anthony Hardy Williams,4
Daniel D Mccaffery,3,4,2,18,2,3,4
Beth Tarasi,,4,0,3,1,1,4
Amanda Green-hawkins,,,0,1,1,1,4
Jim Kenney,,,,6,0,0,4
Alan Butkovitz,,,,,0,0,4
Anthony Hardy Williams,,,,,,0,4
Total,26,9,3,25,3,3,4
,Judge Of The Superior Court - Democrat,,,Mayor - Democrat,,,5
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,5
Daniel D Mccaffery,5,6,2,11,7,3,5
Beth Tarasi,,1,0,3,2,1,5
Amanda Green-hawkins,,,0,3,3,0,5
Jim Kenney,,,,11,0,0,5
Anthony Hardy Williams,,,,,2,0,5
Alan Butkovitz,,,,,,2,5
Total,27,8,6,25,11,5,5
,Mayor - Democrat,,,Judge Of The Superior Court - Democrat,,,6
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,6
Jim Kenney,9,0,0,20,3,2,6
Anthony Hardy Williams,,1,0,3,1,0,6
Alan Butkovitz,,,1,0,0,0,6
Daniel D Mccaffery,,,,1,3,1,6
Amanda Green-hawkins,,,,,0,0,6
Beth Tarasi,,,,,,0,6
Total,31,4,1,24,4,2,6
,Mayor - Democrat,,,Judge Of The Superior Court - Democrat,,,7
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,7
Jim Kenney,18,0,0,22,6,7,7
Anthony Hardy Williams,,1,0,7,4,1,7
Alan Butkovitz,,,0,1,1,0,7
Daniel D Mccaffery,,,,2,3,5,7
Amanda Green-hawkins,,,,,0,1,7
Beth Tarasi,,,,,,1,7
Total,46,11,2,32,11,9,7
