col_1,col_2,col_3,col_4,col_5,col_6,division
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,All
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Kenyatta Johnson,822,0,"1,156","1,101",403,All
Lauren Vidas,,332,987,337,279,All
Tracey Gordon,,,88,0,0,All
Ronald R Donatucci,,,,81,0,All
Jacque P Whaumbush,,,,,33,All
Total,"3,482","1,935","2,231","1,519",715,All
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,1
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,1
Kenyatta Johnson,20,0,25,36,9,1
Lauren Vidas,,12,36,12,11,1
Tracey Gordon,,,0,0,0,1
Ronald R Donatucci,,,,1,0,1
Jacque P Whaumbush,,,,,3,1
Total,90,71,61,49,23,1
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,2
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,2
Kenyatta Johnson,18,0,25,35,7,2
Lauren Vidas,,14,31,10,8,2
Tracey Gordon,,,2,0,0,2
Ronald R Donatucci,,,,3,0,2
Jacque P Whaumbush,,,,,0,2
Total,85,63,58,48,15,2
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,3
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,3
Kenyatta Johnson,20,0,32,42,16,3
Lauren Vidas,,15,30,13,9,3
Tracey Gordon,,,2,0,0,3
Ronald R Donatucci,,,,1,0,3
Jacque P Whaumbush,,,,,2,3
Total,110,67,64,56,27,3
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,4
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,4
Kenyatta Johnson,16,0,22,22,4,4
Lauren Vidas,,5,23,4,4,4
Tracey Gordon,,,3,0,0,4
Ronald R Donatucci,,,,0,0,4
Jacque P Whaumbush,,,,,1,4
Total,64,36,48,26,9,4
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,5
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,5
Kenyatta Johnson,40,0,37,33,13,5
Lauren Vidas,,12,21,12,13,5
Tracey Gordon,,,2,0,0,5
Ronald R Donatucci,,,,3,0,5
Jacque P Whaumbush,,,,,1,5
Total,123,58,60,48,27,5
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,6
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,6
Kenyatta Johnson,26,0,28,32,12,6
Lauren Vidas,,12,42,8,9,6
Tracey Gordon,,,4,0,0,6
Ronald R Donatucci,,,,0,0,6
Jacque P Whaumbush,,,,,1,6
Total,98,71,74,40,22,6
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,7
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,7
Kenyatta Johnson,19,0,28,32,10,7
Lauren Vidas,,14,37,8,10,7
Tracey Gordon,,,0,0,0,7
Ronald R Donatucci,,,,3,0,7
Jacque P Whaumbush,,,,,0,7
Total,89,69,65,43,20,7
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,8
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,8
Kenyatta Johnson,25,0,44,21,9,8
Lauren Vidas,,9,34,11,7,8
Tracey Gordon,,,3,0,0,8
Ronald R Donatucci,,,,0,0,8
Jacque P Whaumbush,,,,,0,8
Total,99,61,81,32,16,8
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,9
,Lauren Vidas,Kenyatta Johnson,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,9
Lauren Vidas,19,0,48,9,18,9
Kenyatta Johnson,,17,28,22,4,9
Tracey Gordon,,,3,0,0,9
Ronald R Donatucci,,,,1,0,9
Jacque P Whaumbush,,,,,0,9
Total,94,71,79,32,22,9
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,10
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,10
Kenyatta Johnson,33,0,37,15,14,10
Lauren Vidas,,7,25,10,5,10
Tracey Gordon,,,2,0,0,10
Ronald R Donatucci,,,,2,0,10
Jacque P Whaumbush,,,,,0,10
Total,99,47,64,27,19,10
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,11
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,11
Kenyatta Johnson,24,0,36,32,9,11
Lauren Vidas,,6,18,15,6,11
Tracey Gordon,,,3,0,0,11
Ronald R Donatucci,,,,2,0,11
Jacque P Whaumbush,,,,,2,11
Total,101,45,57,49,17,11
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,12
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,12
Kenyatta Johnson,11,0,26,14,12,12
Lauren Vidas,,8,32,8,4,12
Tracey Gordon,,,1,0,0,12
Ronald R Donatucci,,,,1,0,12
Jacque P Whaumbush,,,,,1,12
Total,63,52,59,23,17,12
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,13
,Kenyatta Johnson,Lauren Vidas,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,13
Kenyatta Johnson,22,0,38,24,13,13
Lauren Vidas,,5,18,2,8,13
Tracey Gordon,,,3,0,0,13
Ronald R Donatucci,,,,0,0,13
Jacque P Whaumbush,,,,,0,13
Total,97,33,59,26,21,13
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,14
,Kenyatta Johnson,Lauren Vidas,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,14
Kenyatta Johnson,8,0,25,14,4,14
Lauren Vidas,,2,3,8,2,14
Ronald R Donatucci,,,1,0,0,14
Tracey Gordon,,,,2,0,14
Jacque P Whaumbush,,,,,0,14
Total,51,15,29,24,6,14
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,15
,Kenyatta Johnson,Lauren Vidas,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,15
Kenyatta Johnson,21,0,28,21,8,15
Lauren Vidas,,3,12,12,6,15
Ronald R Donatucci,,,12,0,0,15
Tracey Gordon,,,,1,0,15
Jacque P Whaumbush,,,,,0,15
Total,78,33,52,34,14,15
,District Council 2nd District - Democrat,,Register Of Wills - Democrat,,,16
