col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Mayor - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Sherman Toppin,Cateria R Mccabe,Anthony Kyriakakis,Terri M Booker,Craig Levin,Henry Mcgregor Sias,Jon Marshall,Tiffany Palmer,Kendra Mccrae,Leon Goodman,Beth Grossman,Laurie Dow,Wendi Barish,Nicola Serianni,James C Crumlish,Kay Yu,Chris Hall,Janine D Momasso,Vicki Markovitz,Robert Trimble,James F Berardinelli,Gregory Weyer,All
Jim Kenney,358,0,0,885,501,496,494,495,428,269,303,391,268,222,197,217,163,167,171,164,160,124,114,90,89,73,68,31,All
Anthony Hardy Williams,,185,0,378,235,229,236,223,126,227,177,101,169,225,221,189,111,109,104,106,77,93,88,90,60,51,50,21,All
Alan Butkovitz,,,17,43,47,21,17,17,12,22,25,8,22,15,17,22,17,15,14,9,12,13,8,5,5,10,5,2,All
Joshua Roberts,,,,9,258,451,517,488,434,184,241,413,253,114,119,150,82,93,99,112,131,55,55,35,33,47,26,16,All
Jennifer Schultz,,,,,4,92,76,79,41,96,247,30,209,136,124,97,110,77,120,126,85,57,48,43,60,50,19,14,All
Carmella Jacquinto,,,,,,5,430,446,376,135,72,351,29,109,127,102,64,96,72,59,66,63,34,77,44,23,34,11,All
Sherman Toppin,,,,,,,4,514,427,143,68,427,50,88,97,97,35,69,39,56,39,48,58,38,36,32,23,15,All
Cateria R Mccabe,,,,,,,,1,421,126,53,414,41,112,128,101,50,67,55,47,26,46,32,72,37,22,29,6,All
Anthony Kyriakakis,,,,,,,,,2,56,22,395,19,57,51,48,35,28,29,17,42,34,30,28,17,10,12,3,All
Terri M Booker,,,,,,,,,,5,68,47,63,199,171,156,70,120,88,61,47,79,96,51,40,46,17,22,All
