col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Derek S Green,Isaiah Thomas,Allan Domb,Katherine Gilmore Richardson,Erika Almirón,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Eryn Santamoor,Willie Floyd Singletary,Sandra Dungee Glenn,Fareed Abdullah,Ogbonna Paul Hagins,Asa Khalif,Latrice Y Bryant,Beth Finn,Ethelind Baylor,Fernando Treviño,Billy Thompson,Wayne Allen,Joseph A Diorio,Hena Veit,Edwin Santana,Bobbie Curry,Devon Cade,Mark Ross,Wayne Edmund Dorsey,Vinny Black,Sherrie Cohen,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Helen Gym,58,"1,027",868,821,620,559,551,371,269,313,208,218,117,182,112,91,122,139,97,65,58,36,53,29,25,25,23,16,12,0,795,650,484,54,All
Derek S Green,,22,732,706,526,311,330,119,82,162,66,163,132,27,87,77,36,56,32,58,53,17,15,28,18,9,15,18,13,0,376,578,255,38,All
Isaiah Thomas,,,8,644,499,241,217,107,66,88,76,151,136,39,107,77,37,101,28,48,43,29,13,28,15,22,14,12,8,0,341,538,210,32,All
Allan Domb,,,,16,471,107,151,92,67,161,79,130,109,41,80,48,41,32,32,56,50,25,21,29,21,30,16,18,19,0,246,565,194,38,All
Katherine Gilmore Richardson,,,,,5,128,119,53,44,134,25,134,50,18,46,49,59,35,45,29,20,8,17,16,14,12,8,6,5,0,177,407,171,20,All
Erika Almirón,,,,,,13,349,102,68,151,16,70,39,19,41,40,61,86,63,18,13,7,19,11,9,8,4,4,7,0,329,102,203,18,All
Justin Diberardinis,,,,,,,3,101,44,137,15,47,14,17,31,21,39,89,38,10,9,14,8,18,7,3,4,4,2,0,311,105,146,14,All
Adrián Rivera-reyes,,,,,,,,9,210,69,170,41,45,153,35,44,35,17,42,28,23,28,18,16,16,13,8,10,9,0,343,88,167,23,All
Deja Lynn Alvarez,,,,,,,,,10,48,159,27,40,145,38,35,29,24,29,20,13,15,20,15,12,9,6,4,8,0,222,77,151,13,All
Eryn Santamoor,,,,,,,,,,1,23,46,21,18,19,30,31,20,66,14,12,13,19,8,13,9,6,4,11,0,163,82,148,16,All
