col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Lisa Deeley,Omar Sabir,Marwan Kreidie,Luigi Borda,Kahlil Williams,Annette Thompson,Jen Devor,Dennis Lee,Carla Cain,Robin Trent,Moira Bohannon,Lewis Harris Jr,Warren Bloom,Jennifer Schultz,Joshua Roberts,Nicola Serianni,Anthony Kyriakakis,Carmella Jacquinto,Wendi Barish,James C Crumlish,Beth Grossman,Craig Levin,Tiffany Palmer,Vicki Markovitz,Cateria R Mccabe,Jon Marshall,Kendra Mccrae,Chris Hall,James F Berardinelli,Leon Goodman,Henry Mcgregor Sias,Terri M Booker,Kay Yu,Laurie Dow,Janine D Momasso,Sherman Toppin,Robert Trimble,Gregory Weyer,All
Lisa Deeley,28,161,42,42,38,47,16,19,22,15,12,3,5,223,274,116,189,176,203,177,131,107,88,89,72,79,51,33,64,46,86,50,47,42,33,20,24,8,All
Omar Sabir,,18,28,11,32,14,4,14,2,3,3,3,4,120,212,66,112,116,124,118,41,94,45,30,41,60,37,25,14,55,67,44,26,21,11,33,7,7,All
Marwan Kreidie,,,14,102,9,8,4,5,4,2,4,2,3,108,83,130,37,68,38,45,30,64,28,18,25,50,25,24,14,18,16,18,11,17,9,15,16,5,All
Luigi Borda,,,,4,6,6,8,3,12,8,7,4,1,64,48,146,58,71,55,60,39,36,37,28,31,26,23,21,31,23,21,15,16,21,16,13,15,5,All
Kahlil Williams,,,,,6,18,30,5,7,4,3,2,3,59,46,50,58,38,43,45,49,31,77,29,34,17,34,46,30,30,13,29,42,25,19,16,11,6,All
Annette Thompson,,,,,,3,3,8,9,5,5,3,3,72,29,38,19,32,52,24,53,19,46,40,25,18,32,21,22,24,10,33,26,22,15,8,5,3,All
Jen Devor,,,,,,,2,5,4,3,5,3,1,38,10,20,39,13,22,28,27,8,52,16,12,5,11,28,23,5,10,9,25,18,10,5,7,3,All
Dennis Lee,,,,,,,,4,3,2,2,3,3,38,30,18,12,13,12,15,24,18,11,16,10,13,16,16,8,25,7,14,16,12,7,6,9,4,All
Carla Cain,,,,,,,,,0,5,1,2,1,38,11,29,17,19,23,17,32,10,32,20,21,6,15,19,11,10,8,14,7,18,13,5,5,2,All
Robin Trent,,,,,,,,,,1,2,2,1,25,13,16,9,9,21,12,22,14,14,18,10,8,7,9,13,4,3,7,11,13,8,2,5,1,All
Moira Bohannon,,,,,,,,,,,0,4,1,31,9,19,16,15,11,7,15,7,19,10,13,5,14,6,8,5,6,7,11,7,10,1,3,3,All
Lewis Harris Jr,,,,,,,,,,,,0,1,10,7,10,8,7,4,8,7,9,16,6,8,5,6,12,5,8,1,10,4,7,4,4,4,6,All
Warren Bloom,,,,,,,,,,,,,0,9,10,7,4,5,6,7,12,5,2,6,7,4,3,3,4,5,5,5,3,4,4,2,4,3,All
Jennifer Schultz,,,,,,,,,,,,,,17,128,137,66,74,121,76,131,143,98,97,63,99,71,49,47,47,27,43,48,62,38,8,21,9,All
Joshua Roberts,,,,,,,,,,,,,,,7,77,156,150,148,166,62,101,39,34,49,92,32,25,25,53,88,43,25,14,14,29,13,8,All
Nicola Serianni,,,,,,,,,,,,,,,,12,70,103,100,60,89,73,68,68,64,45,62,31,41,27,21,32,35,48,32,17,22,7,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,4,152,119,171,61,34,91,30,52,12,15,68,44,23,100,15,52,10,13,21,10,6,All
Carmella Jacquinto,,,,,,,,,,,,,,,,,,1,116,104,62,27,49,40,49,18,35,25,18,39,82,40,40,25,25,28,11,6,All
Wendi Barish,,,,,,,,,,,,,,,,,,,2,148,95,43,78,68,54,27,45,30,35,37,57,44,27,42,30,8,13,3,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,2,50,54,68,24,21,33,19,73,39,41,60,27,32,16,9,8,18,7,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,5,52,76,84,41,32,50,29,57,37,27,35,37,56,33,3,13,11,All
Craig Levin,,,,,,,,,,,,,,,,,,,,,,4,23,50,18,79,26,26,28,34,13,18,13,24,13,10,19,4,All
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,0,44,47,14,49,70,35,30,19,46,57,48,23,13,15,7,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,1,25,20,30,25,39,22,14,26,16,34,31,9,13,6,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,2,16,40,19,23,22,28,27,21,24,29,23,7,7,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,10,20,24,9,15,11,10,9,5,7,5,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,11,38,6,27,16,28,23,18,13,5,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,10,29,21,20,9,11,20,7,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,13,6,23,20,17,3,19,11,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,44,19,19,12,18,16,7,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,13,4,3,14,5,6,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,27,10,16,7,3,All
Kay Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,11,9,5,6,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,10,11,6,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,3,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,All
