col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Adrián Rivera-reyes,Katherine Gilmore Richardson,Allan Domb,Derek S Green,Deja Lynn Alvarez,Eryn Santamoor,Ethelind Baylor,Beth Finn,Ogbonna Paul Hagins,Fernando Treviño,Asa Khalif,Sandra Dungee Glenn,Hena Veit,Willie Floyd Singletary,Latrice Y Bryant,Fareed Abdullah,Joseph A Diorio,Billy Thompson,Vinny Black,Edwin Santana,Mark Ross,Wayne Allen,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Lisa Deeley,Jen Devor,Kahlil Williams,Omar Sabir,Marwan Kreidie,Annette Thompson,Luigi Borda,Carla Cain,Moira Bohannon,Robin Trent,Dennis Lee,Warren Bloom,Lewis Harris Jr,All
Helen Gym,18,787,729,659,535,445,403,452,382,359,366,186,117,97,89,95,67,53,49,36,31,22,26,18,19,13,17,10,7,0,563,592,544,400,255,138,137,89,91,46,33,19,12,All
Justin Diberardinis,,24,446,400,264,157,184,213,133,245,230,68,40,41,43,33,16,9,18,18,26,23,22,10,10,11,4,6,2,0,218,395,357,122,147,64,108,49,43,32,23,13,5,All
Erika Almirón,,,1,340,307,117,54,106,224,140,307,99,24,44,60,48,20,2,22,21,3,4,9,8,3,7,4,6,2,0,122,429,388,94,99,75,82,54,53,19,9,5,4,All
Isaiah Thomas,,,,2,140,280,246,258,44,96,213,29,12,29,41,17,14,5,17,21,10,5,2,12,8,7,2,5,1,0,287,235,232,271,61,36,80,36,23,16,18,8,5,All
Adrián Rivera-reyes,,,,,3,80,71,85,305,131,138,85,107,59,54,33,20,52,18,20,8,18,9,12,7,4,7,7,4,0,136,268,285,107,171,45,54,42,48,40,14,6,7,All
Katherine Gilmore Richardson,,,,,,1,252,283,66,117,23,70,20,38,17,41,18,6,24,12,7,12,5,4,9,5,9,9,4,1,329,112,110,239,43,52,33,19,22,18,12,5,5,All
Allan Domb,,,,,,,14,265,45,127,13,26,18,25,16,20,7,11,9,11,28,14,16,6,14,9,8,6,5,0,315,89,95,234,46,34,43,17,13,12,17,8,3,All
Derek S Green,,,,,,,,1,75,127,25,33,22,17,21,15,5,2,9,11,8,9,8,3,8,4,8,4,0,1,282,132,142,215,63,20,34,25,21,12,16,5,5,All
Deja Lynn Alvarez,,,,,,,,,1,62,122,52,89,44,38,31,24,50,24,18,6,6,7,8,4,8,2,4,3,0,122,191,192,96,109,35,32,44,44,18,5,6,5,All
Eryn Santamoor,,,,,,,,,,3,36,70,21,52,19,36,22,6,20,15,6,11,8,4,3,4,6,7,2,0,124,199,179,46,82,50,34,33,28,19,7,4,4,All
Ethelind Baylor,,,,,,,,,,,0,23,8,5,16,15,6,2,10,6,1,1,3,4,0,5,0,0,0,0,46,211,174,37,51,29,54,41,21,15,8,2,3,All
