col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Dennis Lee,Marwan Kreidie,Annette Thompson,Carla Cain,Luigi Borda,Jen Devor,Robin Trent,Lewis Harris Jr,Warren Bloom,Moira Bohannon,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Eryn Santamoor,Edwin Santana,Fareed Abdullah,Asa Khalif,Erika Almirón,Ogbonna Paul Hagins,Justin Diberardinis,Latrice Y Bryant,Billy Thompson,Fernando Treviño,Beth Finn,Joseph A Diorio,Ethelind Baylor,Hena Veit,Wayne Allen,Vinny Black,Mark Ross,Devon Cade,Wayne Edmund Dorsey,Bobbie Curry,Sherrie Cohen,All
Jen Devor,,,,,,,,,0,3,3,0,0,117,47,51,61,61,23,29,18,8,52,15,6,15,65,4,48,12,2,32,19,7,24,4,8,3,3,4,3,3,0,All
Robin Trent,,,,,,,,,,0,4,6,5,72,64,47,46,40,45,19,17,18,18,15,14,24,18,15,12,25,14,8,24,9,11,10,8,6,9,12,5,3,0,All
Lewis Harris Jr,,,,,,,,,,,3,6,0,48,54,47,48,23,25,19,14,27,19,16,24,24,12,10,7,21,24,6,7,10,11,4,16,11,6,7,2,10,0,All
Warren Bloom,,,,,,,,,,,,3,0,48,49,51,42,30,19,12,6,13,10,13,23,9,10,10,6,14,10,3,8,13,2,5,14,9,10,2,6,1,0,All
Moira Bohannon,,,,,,,,,,,,,0,35,17,23,14,12,15,14,15,7,19,2,9,6,15,1,11,11,5,1,8,4,5,6,2,4,0,5,2,1,0,All
Helen Gym,,,,,,,,,,,,,,69,"1,438","1,495","1,499","1,200",489,491,355,341,309,213,179,163,292,260,250,148,143,117,131,74,149,75,38,42,42,45,40,53,0,All
Isaiah Thomas,,,,,,,,,,,,,,,20,"1,353","1,500","1,153",605,169,139,161,242,203,246,213,152,61,151,149,125,58,67,69,124,43,62,43,49,52,26,22,0,All
Allan Domb,,,,,,,,,,,,,,,,55,"1,357","1,023",489,177,130,137,259,178,153,133,84,48,123,66,91,61,81,67,58,44,44,52,40,45,35,31,0,All
Derek S Green,,,,,,,,,,,,,,,,,22,"1,191",460,136,88,120,267,181,186,146,124,46,157,100,102,42,71,44,109,14,53,35,24,19,37,22,1,All
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,,12,410,98,86,61,272,121,96,65,135,31,82,107,82,65,84,28,51,31,24,21,18,21,26,23,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,23,87,65,49,150,175,105,102,119,29,124,109,74,95,68,84,55,30,18,16,15,22,18,19,0,All
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,,13,297,273,120,58,48,47,63,219,48,60,49,78,98,46,21,30,20,16,15,13,10,18,1,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,29,254,72,46,54,52,56,217,12,73,48,48,43,27,23,29,15,16,18,17,16,19,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,20,63,44,67,59,28,200,13,61,67,29,20,33,8,13,21,17,12,12,22,15,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,1,35,37,39,77,33,77,57,39,67,43,38,21,31,8,22,17,17,12,17,1,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,7,77,63,30,24,76,35,19,99,23,80,22,12,15,14,17,9,9,11,0,All
