col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Sheriff - Democrat,,,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,Kahlil Williams,Omar Sabir,Lisa Deeley,Jen Devor,Carla Cain,Marwan Kreidie,Annette Thompson,Dennis Lee,Luigi Borda,Robin Trent,Lewis Harris Jr,Moira Bohannon,Warren Bloom,All
Rochelle Bilal,128,0,0,0,896,689,492,468,315,389,164,115,97,60,24,52,34,All
Malika Rahman,,82,0,0,638,492,391,448,218,210,109,52,62,40,25,40,13,All
Jewell Williams,,,81,0,392,548,389,52,189,69,152,98,24,45,49,12,34,All
Larry King Sr,,,,11,57,70,55,11,36,18,18,19,20,11,16,4,4,All
Kahlil Williams,,,,,47,392,272,722,151,122,89,68,40,31,34,19,21,All
Omar Sabir,,,,,,68,664,23,166,153,89,79,16,24,20,9,18,All
Lisa Deeley,,,,,,,32,134,98,77,78,21,15,9,10,11,6,All
Jen Devor,,,,,,,,11,35,67,7,8,44,5,3,12,3,All
Carla Cain,,,,,,,,,53,49,74,30,16,30,15,15,14,All
Marwan Kreidie,,,,,,,,,,34,24,23,41,12,0,13,4,All
Annette Thompson,,,,,,,,,,,4,19,4,20,13,10,8,All
Dennis Lee,,,,,,,,,,,,4,12,6,9,4,4,All
Luigi Borda,,,,,,,,,,,,,11,1,1,3,1,All
Robin Trent,,,,,,,,,,,,,,2,9,5,2,All
Lewis Harris Jr,,,,,,,,,,,,,,,3,1,1,All
Moira Bohannon,,,,,,,,,,,,,,,,2,2,All
Warren Bloom,,,,,,,,,,,,,,,,,2,All
Total,"2,274","1,624","1,207",199,"2,231","2,067","1,584","1,104",845,750,462,305,228,167,123,115,91,All
,City Commissioners - Democrat,,,,,,,,,,,,,Sheriff - Democrat,,,,1
