col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kenyatta Johnson,Lauren Vidas,James F Berardinelli,James C Crumlish,Anthony Kyriakakis,Craig Levin,Nicola Serianni,Joshua Roberts,Carmella Jacquinto,Jennifer Schultz,Beth Grossman,Tiffany Palmer,Wendi Barish,Janine D Momasso,Chris Hall,Henry Mcgregor Sias,Vicki Markovitz,Kay Yu,Leon Goodman,Laurie Dow,Jon Marshall,Cateria R Mccabe,Kendra Mccrae,Gregory Weyer,Robert Trimble,Sherman Toppin,Terri M Booker,All
Kenyatta Johnson,16,0,41,39,31,33,32,43,36,26,20,12,16,15,7,14,7,5,13,8,8,6,7,4,4,5,0,All
Lauren Vidas,,10,22,19,23,21,17,8,9,18,16,19,15,5,12,3,11,9,2,5,3,4,3,4,2,2,5,All
James F Berardinelli,,,0,27,18,27,26,21,28,8,17,10,10,13,12,2,8,3,9,5,1,3,6,6,5,1,2,All
James C Crumlish,,,,3,28,18,20,29,22,5,8,20,10,3,12,5,5,4,6,4,2,0,2,0,0,1,1,All
Anthony Kyriakakis,,,,,0,9,22,18,19,8,10,25,19,5,17,16,3,13,1,3,1,3,2,1,1,6,0,All
Craig Levin,,,,,,1,15,21,20,12,7,4,9,3,1,2,8,2,7,3,3,1,3,3,2,0,3,All
Nicola Serianni,,,,,,,0,18,22,12,11,9,13,11,3,11,8,4,5,4,1,4,1,2,0,2,1,All
Joshua Roberts,,,,,,,,1,25,7,3,3,6,5,2,10,3,3,7,1,6,2,1,1,2,5,0,All
Carmella Jacquinto,,,,,,,,,3,8,9,3,7,10,0,8,5,3,7,5,1,5,4,1,3,4,0,All
Jennifer Schultz,,,,,,,,,,1,16,7,11,6,2,3,9,6,4,6,5,4,5,1,0,1,1,All
Beth Grossman,,,,,,,,,,,2,5,10,9,5,0,6,3,6,8,1,3,6,2,3,0,4,All
Tiffany Palmer,,,,,,,,,,,,0,9,2,15,4,5,9,0,4,0,2,2,2,1,1,3,All
Wendi Barish,,,,,,,,,,,,,0,5,4,3,6,2,3,3,3,2,3,2,0,2,1,All
Janine D Momasso,,,,,,,,,,,,,,0,2,1,2,1,3,3,1,3,3,1,0,1,0,All
Chris Hall,,,,,,,,,,,,,,,0,1,1,5,1,1,0,0,2,1,2,1,1,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,0,2,5,1,0,0,4,0,2,0,4,1,All
Vicki Markovitz,,,,,,,,,,,,,,,,,0,3,4,6,1,3,2,3,1,2,2,All
Kay Yu,,,,,,,,,,,,,,,,,,2,0,2,0,2,2,1,0,1,1,All
Leon Goodman,,,,,,,,,,,,,,,,,,,0,1,2,1,4,2,5,0,0,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,0,2,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,3,0,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,0,1,3,1,0,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,All
