col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Mayor - Democrat,,,Register Of Wills - Democrat,,,All
,Jim Kenney,Alan Butkovitz,Anthony Hardy Williams,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,All
Jim Kenney,138,0,0,193,204,72,All
Alan Butkovitz,,84,0,176,85,31,All
Anthony Hardy Williams,,,61,109,99,35,All
Ronald R Donatucci,,,,16,0,0,All
Tracey Gordon,,,,,5,0,All
Jacque P Whaumbush,,,,,,3,All
Total,607,376,304,494,393,141,All
,Mayor - Democrat,,,Register Of Wills - Democrat,,,1
,Alan Butkovitz,Jim Kenney,Anthony Hardy Williams,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,1
Alan Butkovitz,6,0,0,9,7,4,1
Jim Kenney,,3,0,5,8,2,1
Anthony Hardy Williams,,,4,5,2,3,1
Tracey Gordon,,,,0,0,0,1
Ronald R Donatucci,,,,,0,0,1
Jacque P Whaumbush,,,,,,0,1
Total,26,18,14,19,17,9,1
,Mayor - Democrat,,,Register Of Wills - Democrat,,,2
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,2
Jim Kenney,6,0,0,8,9,4,2
Anthony Hardy Williams,,3,0,6,3,1,2
Alan Butkovitz,,,1,6,1,1,2
Ronald R Donatucci,,,,0,0,0,2
Tracey Gordon,,,,,0,0,2
Jacque P Whaumbush,,,,,,1,2
Total,27,13,9,20,13,7,2
,Register Of Wills - Democrat,,,Mayor - Democrat,,,3
,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,Alan Butkovitz,Jim Kenney,Anthony Hardy Williams,3
Ronald R Donatucci,1,0,0,15,18,12,3
Tracey Gordon,,0,0,14,12,7,3
Jacque P Whaumbush,,,0,3,1,1,3
Alan Butkovitz,,,,10,0,0,3
Jim Kenney,,,,,9,0,3
Anthony Hardy Williams,,,,,,6,3
Total,46,33,5,42,40,26,3
,Mayor - Democrat,,,Register Of Wills - Democrat,,,4
,Alan Butkovitz,Jim Kenney,Anthony Hardy Williams,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,4
Alan Butkovitz,5,0,0,20,10,7,4
Jim Kenney,,2,0,9,14,5,4
