col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 9th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Cherelle L Parker,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Eryn Santamoor,Fareed Abdullah,Ogbonna Paul Hagins,Erika Almirón,Justin Diberardinis,Latrice Y Bryant,Asa Khalif,Billy Thompson,Joseph A Diorio,Beth Finn,Fernando Treviño,Ethelind Baylor,Wayne Allen,Edwin Santana,Bobbie Curry,Vinny Black,Mark Ross,Hena Veit,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Cherelle L Parker,"1,107","9,334","8,713","7,984","7,677","5,759","2,978","2,230","2,155","1,519","1,460","1,346","1,198","1,161",962,"1,019",992,903,730,732,690,634,526,457,466,381,389,381,262,232,1,All
Helen Gym,,168,"5,922","5,765","5,550","4,552","1,534","1,144","1,085",946,820,529,858,794,723,418,450,475,253,401,312,467,213,178,190,150,148,217,105,92,0,All
Isaiah Thomas,,,211,"6,540","6,882","5,115",608,457,532,922,684,812,236,601,623,508,625,413,324,255,234,455,293,178,136,145,196,120,152,111,1,All
Allan Domb,,,,188,"6,569","4,976",569,366,429,731,929,577,175,325,487,264,384,338,420,243,206,198,217,177,196,164,180,107,132,104,0,All
Derek S Green,,,,,64,"5,064",437,264,358,737,712,584,142,345,613,337,435,298,281,168,147,323,232,140,156,127,124,61,70,79,1,All
Katherine Gilmore Richardson,,,,,,19,282,228,185,597,536,279,96,362,270,262,192,228,147,201,141,140,95,80,95,84,75,82,66,47,0,All
Adrián Rivera-reyes,,,,,,,56,"1,100",996,167,263,174,758,269,116,203,160,161,138,176,312,49,89,137,80,61,49,106,32,38,0,All
Deja Lynn Alvarez,,,,,,,,54,902,100,191,141,702,196,77,189,119,113,110,113,190,59,51,77,83,65,57,92,38,28,1,All
Willie Floyd Singletary,,,,,,,,,56,96,154,148,648,70,44,142,102,176,103,67,106,32,82,39,62,63,58,50,43,32,0,All
Sandra Dungee Glenn,,,,,,,,,,19,135,166,66,294,145,172,160,149,135,153,133,91,58,110,64,35,38,58,24,20,0,All
Eryn Santamoor,,,,,,,,,,,11,86,78,180,295,131,90,107,79,131,147,41,45,57,76,61,60,106,39,31,0,All
Fareed Abdullah,,,,,,,,,,,,21,77,123,52,183,345,115,53,62,60,67,86,68,65,60,65,25,49,35,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,35,52,29,57,63,63,55,40,57,30,26,37,25,22,16,35,8,12,1,All
Erika Almirón,,,,,,,,,,,,,,22,167,160,142,125,56,145,126,151,44,59,50,36,32,60,31,19,1,All
Justin Diberardinis,,,,,,,,,,,,,,,10,47,49,46,116,58,99,159,20,81,37,33,26,19,14,17,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,11,154,89,53,86,58,76,75,55,86,69,53,62,49,29,1,All
Asa Khalif,,,,,,,,,,,,,,,,,12,56,34,77,49,41,75,47,49,50,41,34,28,30,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,17,103,76,88,47,53,30,51,50,56,48,31,44,1,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,18,63,155,22,45,87,39,50,39,43,36,19,1,All
Beth Finn,,,,,,,,,,,,,,,,,,,,16,86,40,61,52,51,38,47,79,23,29,1,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,5,12,33,148,33,22,21,57,13,15,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,18,28,26,24,19,15,16,16,14,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,19,49,49,36,35,17,20,30,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,5,28,28,11,17,10,14,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,6,30,52,31,29,28,2,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,16,41,25,26,18,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23,11,20,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,16,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"18,466","10,815","10,363","9,684","9,143","6,764","3,240","2,466","2,356","1,819","1,736","1,495","1,409","1,396","1,215","1,131","1,115","1,053",911,847,843,765,626,558,541,459,453,442,300,273,4,All
