col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Leon Goodman,Cateria R Mccabe,Craig Levin,Anthony Kyriakakis,Jon Marshall,Sherman Toppin,Nicola Serianni,Kendra Mccrae,Tiffany Palmer,Terri M Booker,James C Crumlish,Laurie Dow,Wendi Barish,Janine D Momasso,Henry Mcgregor Sias,Beth Grossman,Kay Yu,Chris Hall,James F Berardinelli,Vicki Markovitz,Robert Trimble,Gregory Weyer,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,All
Joshua Roberts,40,137,215,149,146,129,197,129,156,128,58,50,62,128,39,62,22,127,32,29,31,12,16,15,7,288,185,111,17,All
Jennifer Schultz,,18,56,62,58,144,34,137,23,98,66,79,47,62,40,94,51,18,47,34,31,16,28,20,8,80,215,140,21,All
Carmella Jacquinto,,,6,145,152,27,207,15,122,85,64,49,49,97,54,43,69,109,42,24,20,21,19,10,3,225,62,49,11,All
Leon Goodman,,,,1,79,53,123,48,53,101,84,69,71,106,54,46,76,16,38,40,33,19,24,22,10,153,81,62,22,All
Cateria R Mccabe,,,,,2,34,144,23,154,44,73,68,44,17,53,50,76,131,24,35,19,16,21,15,12,150,79,54,14,All
Craig Levin,,,,,,11,17,112,30,48,32,24,39,55,44,44,33,6,27,15,21,21,15,14,5,88,118,79,14,All
Anthony Kyriakakis,,,,,,,2,9,135,72,27,31,20,81,14,25,46,126,16,27,18,10,6,8,9,193,30,31,11,All
Jon Marshall,,,,,,,,8,13,51,42,32,27,43,22,32,15,3,24,12,21,12,7,16,2,48,111,87,15,All
Sherman Toppin,,,,,,,,,0,25,32,29,45,17,42,28,29,128,15,15,17,11,9,10,10,139,44,40,9,All
Nicola Serianni,,,,,,,,,,3,35,58,30,106,40,59,31,11,38,18,15,9,16,20,7,111,68,49,9,All
Kendra Mccrae,,,,,,,,,,,3,87,87,22,58,51,45,7,54,41,36,20,20,25,12,72,75,57,24,All
Tiffany Palmer,,,,,,,,,,,,2,76,19,50,61,47,27,50,49,40,28,13,18,6,79,85,62,11,All
Terri M Booker,,,,,,,,,,,,,2,28,48,47,39,10,36,35,33,16,17,20,15,82,70,50,15,All
James C Crumlish,,,,,,,,,,,,,,4,25,39,19,6,16,15,26,16,8,18,1,111,49,28,9,All
Laurie Dow,,,,,,,,,,,,,,,8,47,49,13,40,29,25,21,12,17,13,69,61,38,20,All
Wendi Barish,,,,,,,,,,,,,,,,2,58,13,47,30,15,17,21,13,12,57,76,51,12,All
Janine D Momasso,,,,,,,,,,,,,,,,,3,14,24,20,8,23,18,5,11,50,67,29,10,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,0,10,10,10,13,6,4,2,116,23,14,6,All
Beth Grossman,,,,,,,,,,,,,,,,,,,1,19,8,14,22,7,2,46,44,34,12,All
Kay Yu,,,,,,,,,,,,,,,,,,,,2,20,18,10,8,7,40,38,36,13,All
