col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 1st District - Democrat,,City Commissioners - Democrat,,,,,,,,,,,,,All
,Mark F Squilla,Lou Lanni,Kahlil Williams,Jen Devor,Lisa Deeley,Marwan Kreidie,Luigi Borda,Omar Sabir,Annette Thompson,Carla Cain,Moira Bohannon,Dennis Lee,Robin Trent,Warren Bloom,Lewis Harris Jr,All
Mark F Squilla,"2,107",0,"6,635","5,741","4,040","1,941","2,236","1,881",862,769,686,395,369,289,162,All
Lou Lanni,,405,918,767,986,818,388,689,413,273,239,164,138,118,58,All
Kahlil Williams,,,127,"4,913",706,663,343,318,153,101,149,85,91,32,38,All
Jen Devor,,,,89,300,284,411,86,96,163,180,31,48,30,26,All
Lisa Deeley,,,,,109,373,770,"1,105",475,205,91,98,48,55,19,All
Marwan Kreidie,,,,,,66,176,359,75,90,128,77,105,59,8,All
Luigi Borda,,,,,,,103,104,63,81,65,52,19,52,18,All
Omar Sabir,,,,,,,,75,89,67,53,66,31,28,17,All
Annette Thompson,,,,,,,,,13,127,76,31,36,25,19,All
Carla Cain,,,,,,,,,,7,96,37,36,22,12,All
Moira Bohannon,,,,,,,,,,,8,25,40,14,7,All
Dennis Lee,,,,,,,,,,,,7,21,27,13,All
Robin Trent,,,,,,,,,,,,,5,17,18,All
Warren Bloom,,,,,,,,,,,,,,4,15,All
Lewis Harris Jr,,,,,,,,,,,,,,,5,All
Total,"16,535","3,777","8,189","7,002","5,405","2,950","2,857","2,802","1,344","1,085",977,611,532,420,233,All
