col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Judge Of The Superior Court - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Jennifer Schultz,Tiffany Palmer,Beth Grossman,Wendi Barish,Joshua Roberts,Nicola Serianni,Anthony Kyriakakis,James C Crumlish,Cateria R Mccabe,Craig Levin,Carmella Jacquinto,Kay Yu,Vicki Markovitz,Kendra Mccrae,Jon Marshall,Janine D Momasso,Chris Hall,Laurie Dow,Henry Mcgregor Sias,Leon Goodman,James F Berardinelli,Sherman Toppin,Terri M Booker,Robert Trimble,Gregory Weyer,All
Daniel D Mccaffery,57,210,164,288,170,171,129,193,127,171,160,114,127,100,93,90,77,100,65,80,63,75,74,76,68,43,34,15,All
Amanda Green-hawkins,,5,139,211,167,115,142,102,123,115,95,123,62,103,97,70,82,48,76,56,61,58,53,20,60,43,18,14,All
Beth Tarasi,,,19,207,116,125,115,82,97,66,80,63,73,61,58,68,82,69,54,52,48,24,43,45,14,30,25,6,All
Jennifer Schultz,,,,4,133,143,144,86,139,55,59,83,81,69,63,82,62,70,65,32,59,42,28,28,20,30,20,9,All
Tiffany Palmer,,,,,0,71,103,36,92,108,88,69,25,41,77,46,59,10,45,74,31,58,28,26,6,18,12,6,All
Beth Grossman,,,,,,5,106,36,76,32,37,34,34,54,35,80,61,26,42,24,53,15,22,40,9,24,7,5,All
Wendi Barish,,,,,,,0,31,91,43,45,58,28,42,42,60,47,21,59,20,49,24,20,21,6,18,9,6,All
Joshua Roberts,,,,,,,,0,27,61,68,47,62,46,23,19,15,58,11,15,14,17,21,10,46,9,14,6,All
Nicola Serianni,,,,,,,,,1,33,36,64,32,36,46,47,55,27,57,16,37,26,24,23,13,17,9,8,All
Anthony Kyriakakis,,,,,,,,,,1,110,58,19,49,63,20,19,11,14,68,13,50,21,31,32,12,13,4,All
James C Crumlish,,,,,,,,,,,3,39,35,45,30,21,24,29,14,68,15,25,30,24,32,8,12,2,All
Cateria R Mccabe,,,,,,,,,,,,2,14,41,38,28,36,9,51,9,15,28,27,17,38,13,10,8,All
Craig Levin,,,,,,,,,,,,,0,14,9,24,13,61,11,17,12,6,29,16,13,8,11,1,All
Carmella Jacquinto,,,,,,,,,,,,,,0,27,35,33,8,23,14,33,16,17,5,32,12,7,2,All
Kay Yu,,,,,,,,,,,,,,,3,24,30,9,26,20,19,53,13,15,9,10,5,4,All
Vicki Markovitz,,,,,,,,,,,,,,,,1,34,10,22,8,31,9,17,22,6,8,7,5,All
Kendra Mccrae,,,,,,,,,,,,,,,,,3,8,29,25,26,9,20,11,13,22,8,4,All
Jon Marshall,,,,,,,,,,,,,,,,,,2,5,11,9,10,20,12,7,3,10,4,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,0,7,23,7,8,20,14,21,4,5,All
Chris Hall,,,,,,,,,,,,,,,,,,,,0,10,15,20,13,4,13,7,2,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,0,3,9,10,8,17,6,2,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,1,9,8,12,8,6,11,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,0,11,17,17,12,2,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,10,5,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,0,7,5,5,All
