col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,District Council 5th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Helen Gym,Justin Diberardinis,Erika Almirón,Eryn Santamoor,Derek S Green,Isaiah Thomas,Adrián Rivera-reyes,Katherine Gilmore Richardson,Allan Domb,Ethelind Baylor,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Asa Khalif,Ogbonna Paul Hagins,Billy Thompson,Hena Veit,Latrice Y Bryant,Willie Floyd Singletary,Fareed Abdullah,Joseph A Diorio,Vinny Black,Edwin Santana,Bobbie Curry,Mark Ross,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Darrell L Clarke,35,"1,040",800,479,449,401,352,352,377,226,212,222,195,87,79,66,56,52,49,52,36,40,31,25,21,16,16,19,9,8,0,All
Helen Gym,,13,846,564,454,373,385,336,355,185,239,173,164,70,62,52,49,30,38,30,19,26,14,18,11,9,11,10,5,4,0,All
Justin Diberardinis,,,28,438,391,324,334,222,260,194,202,94,95,37,29,33,21,24,9,16,6,10,14,15,7,10,4,10,6,6,0,All
Erika Almirón,,,,2,146,110,272,171,101,48,204,83,64,28,33,25,8,5,13,13,0,6,4,4,7,4,1,1,1,2,0,All
Eryn Santamoor,,,,,1,237,81,122,230,140,27,53,74,34,30,12,8,15,14,11,0,7,9,4,6,5,3,4,2,4,0,All
Derek S Green,,,,,,0,118,67,222,100,35,64,37,13,12,14,11,16,5,9,2,7,6,3,1,5,6,8,4,2,0,All
Isaiah Thomas,,,,,,,0,91,74,67,161,26,21,11,9,13,7,7,3,6,1,12,3,5,3,1,1,3,2,0,0,All
Adrián Rivera-reyes,,,,,,,,1,58,49,48,114,66,44,20,23,41,14,14,13,20,17,10,9,9,6,2,1,1,3,0,All
Katherine Gilmore Richardson,,,,,,,,,0,57,25,40,57,26,26,9,9,15,14,16,1,10,3,1,7,3,5,4,1,2,0,All
Allan Domb,,,,,,,,,,7,11,35,44,14,20,6,2,29,8,4,8,12,12,11,4,6,9,6,4,2,0,All
Ethelind Baylor,,,,,,,,,,,0,24,16,12,5,5,5,3,3,7,0,4,0,4,2,0,2,4,0,0,0,All
Deja Lynn Alvarez,,,,,,,,,,,,1,38,25,14,19,34,9,15,13,21,11,5,6,4,0,1,4,2,2,0,All
