col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Sheriff - Democrat,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,Jennifer Schultz,Anthony Kyriakakis,Joshua Roberts,Tiffany Palmer,James C Crumlish,Carmella Jacquinto,Wendi Barish,Cateria R Mccabe,Kay Yu,Henry Mcgregor Sias,Craig Levin,Nicola Serianni,Leon Goodman,Beth Grossman,Chris Hall,Kendra Mccrae,Jon Marshall,Sherman Toppin,Terri M Booker,Vicki Markovitz,Laurie Dow,Janine D Momasso,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Rochelle Bilal,"4,542",0,0,0,"28,610","20,150","14,726","25,763","11,741","8,688","14,367","12,939","16,528","11,088","11,115","13,195","7,944","8,385","9,557","7,570","7,671","4,175","5,458","5,433","5,513","5,880","5,093","1,933","1,242",All
Jewell Williams,,"4,146",0,0,"8,427","14,581","20,195","6,981","10,347","16,804","8,749","12,071","3,668","10,420","6,243","4,571","7,988","5,246","3,215","5,472","3,740","9,335","6,471","3,173","4,092","2,931","2,744","1,581",961,All
Malika Rahman,,,"3,064",0,"13,522","12,735","8,868","15,592","8,512","5,954","7,980","5,594","9,432","6,532","7,420","6,070","5,928","5,525","7,255","5,919","4,799","2,683","4,063","4,565","3,943","3,003","2,506","1,228",800,All
Larry King Sr,,,,809,"2,844","2,319","2,658","1,999","2,630","1,472","2,109","1,426","1,240",921,"2,083","1,670","1,887","2,330","1,507","1,194","1,376",935,"1,210","1,410","1,103",818,"1,568",903,427,All
Jennifer Schultz,,,,,"1,780","12,976","12,503","19,828","7,961","7,296","14,810","10,653","12,774","6,825","13,021","14,932","6,389","9,959","6,645","7,253","9,916","2,614","4,300","6,123","5,399","5,519","3,972","2,114",842,All
Anthony Kyriakakis,,,,,,452,"18,974","28,881","22,017","18,994","13,321","17,143","19,187","24,641","4,501","7,526","8,393","4,926","15,429","3,803","1,312","9,004","2,134","4,813","2,137","2,059","5,614","1,050",723,All
Joshua Roberts,,,,,,,"3,000","5,022","15,830","19,283","9,057","14,009","3,551","14,364","11,611","5,857","7,018","4,486","2,810","3,818","10,001","10,783","5,158","2,561","2,631","1,596","2,119","1,741",727,All
Tiffany Palmer,,,,,,,,305,"14,542","7,122","15,764","13,151","22,406","14,265","4,798","12,384","9,566","7,687","16,602","9,119","2,194","2,934","6,501","6,436","5,574","5,218","5,679","1,412","1,254",All
James C Crumlish,,,,,,,,,471,"12,430","9,915","6,336","7,008","8,457","6,105","5,292","6,025","4,274","12,542","3,208","3,304","2,335","3,217","2,233","2,633","1,488","3,495","1,710",495,All
Carmella Jacquinto,,,,,,,,,,501,"8,970","13,929","5,639","14,117","3,612","4,897","6,009","4,724","2,417","6,071","1,336","9,119","5,020","3,195","3,830","3,832","2,013","1,155",630,All
Wendi Barish,,,,,,,,,,,195,"7,144","7,548","7,180","5,286","11,255","6,448","8,560","4,174","5,769","2,632","2,358","4,349","6,014","5,142","5,057","2,623","1,262",661,All
Cateria R Mccabe,,,,,,,,,,,,155,"7,760","14,230","2,764","8,083","5,529","3,310","2,154","6,010","1,591","9,917","3,795","2,349","3,200","6,051","2,073",894,622,All
