col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,All
,Helen Gym,Allan Domb,Derek S Green,Isaiah Thomas,Justin Diberardinis,Eryn Santamoor,Katherine Gilmore Richardson,Adrián Rivera-reyes,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Beth Finn,Ethelind Baylor,Ogbonna Paul Hagins,Fernando Treviño,Asa Khalif,Fareed Abdullah,Joseph A Diorio,Latrice Y Bryant,Billy Thompson,Hena Veit,Wayne Allen,Edwin Santana,Mark Ross,Bobbie Curry,Vinny Black,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Kenyatta Johnson,Lauren Vidas,All
Helen Gym,111,"5,486","5,133","4,374","4,718","4,067","3,240","2,761","3,426","1,817",884,945,"1,074","1,380",984,892,529,434,256,380,337,337,148,158,116,145,107,104,100,0,"7,101","5,806",All
Allan Domb,,173,"4,425","2,802","2,807","3,024","2,361",727,588,429,309,641,552,184,178,418,273,315,366,152,273,130,142,105,141,115,133,110,101,1,"4,464","3,212",All
Derek S Green,,,21,"3,089","2,567","2,488","2,541",588,782,437,209,521,326,325,158,221,298,319,107,163,181,45,118,73,56,62,60,86,37,0,"3,994","2,522",All
Isaiah Thomas,,,,22,"1,693",701,"2,319",637,"1,621",340,277,660,234,"1,086",159,172,351,396,118,229,226,82,115,76,72,49,67,92,88,1,"4,085","1,584",All
Justin Diberardinis,,,,,31,"2,834",774,"1,082","1,762",514,53,253,472,809,116,342,146,92,259,75,106,50,49,72,59,56,57,27,34,0,"2,290","3,407",All
Eryn Santamoor,,,,,,7,"1,178",966,"1,099",526,139,306,589,156,149,646,131,108,148,145,139,161,52,60,52,58,44,31,48,0,"1,837","3,332",All
Katherine Gilmore Richardson,,,,,,,10,420,786,309,130,560,416,171,113,369,174,173,118,181,136,141,65,56,57,55,42,64,35,1,"2,753","1,464",All
Adrián Rivera-reyes,,,,,,,,32,975,"1,450",811,192,471,238,818,369,255,159,121,182,140,115,55,99,42,47,65,38,48,0,"1,823","2,426",All
Erika Almirón,,,,,,,,,10,679,73,385,481,"1,019",129,434,230,118,44,175,97,112,36,52,40,37,23,27,23,0,"1,829","2,041",All
Deja Lynn Alvarez,,,,,,,,,,23,755,145,309,187,713,251,185,127,118,176,95,123,43,56,40,48,44,25,29,1,"1,428","1,563",All
Willie Floyd Singletary,,,,,,,,,,,17,93,52,36,601,92,85,130,98,112,143,57,59,30,47,42,51,38,21,0,"1,438",515,All
Sandra Dungee Glenn,,,,,,,,,,,,7,278,99,79,70,192,146,92,150,85,117,40,56,26,47,39,56,26,0,968,641,All
Beth Finn,,,,,,,,,,,,,9,110,76,132,105,73,109,126,76,148,43,42,51,48,34,16,29,0,580,"1,126",All
Ethelind Baylor,,,,,,,,,,,,,,7,57,46,59,69,17,79,50,27,35,19,12,9,14,13,20,0,941,618,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,19,92,67,64,53,50,56,56,17,26,17,20,20,20,19,0,835,609,All
Fernando Treviño,,,,,,,,,,,,,,,,4,55,65,138,63,92,73,29,68,33,33,25,19,17,1,608,744,All
Asa Khalif,,,,,,,,,,,,,,,,,0,295,30,101,59,57,46,35,26,37,34,21,30,1,661,370,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,1,36,126,84,41,60,44,27,31,39,23,39,1,786,230,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,8,48,138,65,37,48,73,58,61,36,38,0,454,337,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,4,70,75,44,30,39,45,37,27,40,0,501,303,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,10,70,51,31,47,46,38,44,38,1,524,243,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,16,17,22,26,36,9,17,0,281,277,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,3,27,34,25,22,21,17,0,260,129,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,2,17,17,16,16,15,0,207,145,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,3,43,31,24,15,1,191,132,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,17,22,0,187,126,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,24,0,196,112,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,0,194,71,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,157,90,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,All
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,497",0,All
Lauren Vidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,All
Total,"13,788","8,471","7,020","6,227","6,126","5,471","4,588","4,399","4,136","3,094","2,006","1,771","1,761","1,687","1,511","1,427","1,074","1,051",877,845,844,600,415,379,348,335,332,302,266,3,"13,154","8,774",All
