col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,District Council 6th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Bobby Henon,Jennifer Schultz,Joshua Roberts,Wendi Barish,Carmella Jacquinto,Anthony Kyriakakis,Craig Levin,Beth Grossman,James C Crumlish,Tiffany Palmer,James F Berardinelli,Jon Marshall,Nicola Serianni,Kay Yu,Leon Goodman,Cateria R Mccabe,Vicki Markovitz,Henry Mcgregor Sias,Kendra Mccrae,Terri M Booker,Chris Hall,Janine D Momasso,Laurie Dow,Robert Trimble,Sherman Toppin,Gregory Weyer,All
Bobby Henon,12,104,88,61,54,42,46,41,28,34,33,33,29,27,28,29,27,27,25,24,17,19,17,15,13,4,All
Jennifer Schultz,,9,37,28,16,10,33,27,18,12,9,25,20,16,8,18,19,6,18,9,8,10,7,12,4,2,All
Joshua Roberts,,,4,38,32,29,23,13,17,9,20,23,8,7,11,8,7,20,4,10,3,5,6,7,4,0,All
Wendi Barish,,,,0,33,25,11,21,14,12,18,8,13,6,12,14,12,17,9,4,3,4,11,3,4,1,All
Carmella Jacquinto,,,,,0,28,7,8,12,10,18,2,8,10,7,9,9,17,9,9,4,9,8,3,5,1,All
Anthony Kyriakakis,,,,,,2,7,10,12,10,19,4,5,11,5,8,7,21,0,2,8,4,2,2,1,0,All
Craig Levin,,,,,,,2,11,11,4,9,19,8,5,6,3,7,1,3,4,2,3,5,6,3,1,All
Beth Grossman,,,,,,,,2,4,9,7,7,13,7,5,7,13,3,8,4,2,8,6,0,0,2,All
James C Crumlish,,,,,,,,,1,9,3,6,9,8,8,3,1,5,6,5,9,2,2,8,4,0,All
Tiffany Palmer,,,,,,,,,,0,4,4,8,12,8,12,5,6,12,7,11,6,6,3,1,2,All
James F Berardinelli,,,,,,,,,,,1,2,5,5,7,7,6,15,0,1,2,3,6,3,3,2,All
Jon Marshall,,,,,,,,,,,,1,9,0,2,3,4,3,3,2,1,0,2,5,0,1,All
Nicola Serianni,,,,,,,,,,,,,0,2,10,7,6,3,6,2,4,3,6,0,1,2,All
Kay Yu,,,,,,,,,,,,,,0,8,9,4,5,8,8,8,4,4,4,3,1,All
Leon Goodman,,,,,,,,,,,,,,,1,5,1,2,6,12,6,4,2,2,4,2,All
Cateria R Mccabe,,,,,,,,,,,,,,,,0,10,5,7,3,3,5,6,3,3,0,All
Vicki Markovitz,,,,,,,,,,,,,,,,,0,2,2,6,4,4,3,2,1,1,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,0,1,0,3,2,0,0,1,1,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,0,9,7,3,1,6,4,1,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,0,4,2,2,3,5,0,All
Chris Hall,,,,,,,,,,,,,,,,,,,,,0,2,0,4,2,1,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,0,5,0,3,0,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,229,125,103,72,62,54,54,49,41,41,37,37,36,35,33,32,31,30,28,24,22,21,21,17,13,5,All
,District Council 6th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,17
,Bobby Henon,Joshua Roberts,Jennifer Schultz,Anthony Kyriakakis,Beth Grossman,Wendi Barish,Carmella Jacquinto,Craig Levin,Tiffany Palmer,Leon Goodman,James F Berardinelli,Jon Marshall,Nicola Serianni,Vicki Markovitz,James C Crumlish,Kay Yu,Kendra Mccrae,Henry Mcgregor Sias,Terri M Booker,Cateria R Mccabe,Chris Hall,Gregory Weyer,Janine D Momasso,Robert Trimble,Sherman Toppin,Laurie Dow,17
Bobby Henon,1,22,17,10,10,11,11,9,9,8,9,9,6,7,4,7,6,7,6,4,3,2,2,1,1,0,17
Joshua Roberts,,1,8,6,6,7,6,4,3,1,4,5,1,2,2,2,1,5,1,2,1,0,2,0,0,0,17
Jennifer Schultz,,,1,2,4,5,4,6,3,4,2,5,4,4,3,4,5,2,3,2,3,1,1,2,0,0,17
Anthony Kyriakakis,,,,1,5,6,7,2,1,3,4,1,3,4,4,1,0,3,1,1,1,0,1,0,0,0,17
Beth Grossman,,,,,1,5,2,3,2,4,3,3,4,4,3,1,3,2,1,2,1,1,1,0,0,0,17
Wendi Barish,,,,,,0,6,2,3,3,4,1,3,2,4,1,2,2,0,4,0,0,0,0,0,0,17
Carmella Jacquinto,,,,,,,0,3,1,0,4,1,1,4,2,3,1,3,2,3,0,0,0,0,1,0,17
Craig Levin,,,,,,,,0,2,2,3,5,2,3,2,1,1,1,1,0,1,1,0,0,0,0,17
Tiffany Palmer,,,,,,,,,0,2,3,3,2,1,1,2,5,0,3,1,2,1,1,1,0,0,17
Leon Goodman,,,,,,,,,,1,3,0,4,1,2,2,2,1,3,0,1,1,1,0,0,0,17
James F Berardinelli,,,,,,,,,,,0,1,0,3,1,2,0,2,0,1,1,1,1,0,0,0,17
Jon Marshall,,,,,,,,,,,,0,2,1,0,0,2,2,1,0,1,1,0,1,0,0,17
Nicola Serianni,,,,,,,,,,,,,0,3,2,1,2,1,2,1,1,1,0,0,0,0,17
Vicki Markovitz,,,,,,,,,,,,,,0,0,2,0,1,2,3,1,0,0,0,1,0,17
James C Crumlish,,,,,,,,,,,,,,,0,1,2,1,0,0,3,0,0,1,0,0,17
Kay Yu,,,,,,,,,,,,,,,,0,3,1,2,2,1,1,1,1,1,0,17
Kendra Mccrae,,,,,,,,,,,,,,,,,0,0,3,1,2,1,0,2,0,0,17
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,17
Terri M Booker,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,17
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,17
Chris Hall,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,17
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,17
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,17
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,0,17
Total,46,24,23,14,14,14,12,11,11,10,9,9,9,9,8,8,8,7,6,5,5,2,2,2,1,0,17
,District Council 6th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,21
,Bobby Henon,Jennifer Schultz,Joshua Roberts,Wendi Barish,Carmella Jacquinto,Anthony Kyriakakis,James F Berardinelli,Beth Grossman,Craig Levin,Jon Marshall,Kay Yu,Henry Mcgregor Sias,Nicola Serianni,Cateria R Mccabe,Laurie Dow,Leon Goodman,Robert Trimble,James C Crumlish,Janine D Momasso,Kendra Mccrae,Sherman Toppin,Terri M Booker,Chris Hall,Tiffany Palmer,Vicki Markovitz,Gregory Weyer,21
Bobby Henon,4,16,13,11,11,9,8,7,6,7,5,5,4,4,4,3,4,1,3,3,3,3,1,1,1,0,21
Jennifer Schultz,,3,4,3,2,1,1,5,4,4,3,0,3,4,1,0,2,1,3,2,1,0,0,0,1,0,21
Joshua Roberts,,,1,5,8,7,5,0,2,4,1,4,1,1,1,1,2,1,0,0,1,2,0,0,0,0,21
Wendi Barish,,,,0,7,5,6,3,3,1,1,4,2,2,3,2,1,1,1,1,2,0,0,0,1,0,21
Carmella Jacquinto,,,,,0,7,6,1,1,0,2,4,1,0,1,1,1,0,2,1,2,2,0,0,0,0,21
Anthony Kyriakakis,,,,,,0,6,1,2,2,2,5,1,1,0,0,2,1,0,0,0,1,1,1,0,0,21
James F Berardinelli,,,,,,,1,1,1,1,1,5,1,1,2,0,1,0,0,0,1,0,0,0,0,0,21
Beth Grossman,,,,,,,,1,2,2,2,1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,21
Craig Levin,,,,,,,,,1,3,2,0,2,1,1,1,1,2,0,0,0,0,1,1,0,0,21
Jon Marshall,,,,,,,,,,0,0,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,21
Kay Yu,,,,,,,,,,,0,0,0,1,1,1,2,1,1,1,0,2,2,2,0,0,21
Henry Mcgregor Sias,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Nicola Serianni,,,,,,,,,,,,,0,1,0,1,0,2,1,1,1,0,0,0,0,0,21
Cateria R Mccabe,,,,,,,,,,,,,,0,1,0,2,0,0,1,0,0,0,0,1,0,21
Laurie Dow,,,,,,,,,,,,,,,0,1,2,0,0,0,2,0,0,0,0,0,21
Leon Goodman,,,,,,,,,,,,,,,,0,1,1,0,1,0,2,1,1,0,0,21
Robert Trimble,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,21
James C Crumlish,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,21
Janine D Momasso,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,21
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,21
