col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Adrián Rivera-reyes,Isaiah Thomas,Deja Lynn Alvarez,Katherine Gilmore Richardson,Derek S Green,Justin Diberardinis,Willie Floyd Singletary,Eryn Santamoor,Ogbonna Paul Hagins,Beth Finn,Erika Almirón,Sandra Dungee Glenn,Joseph A Diorio,Fernando Treviño,Billy Thompson,Latrice Y Bryant,Asa Khalif,Fareed Abdullah,Hena Veit,Edwin Santana,Vinny Black,Ethelind Baylor,Mark Ross,Bobbie Curry,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Jennifer Schultz,Joshua Roberts,Carmella Jacquinto,Nicola Serianni,Craig Levin,Beth Grossman,Jon Marshall,Tiffany Palmer,Wendi Barish,James C Crumlish,Anthony Kyriakakis,Cateria R Mccabe,Vicki Markovitz,Leon Goodman,Kendra Mccrae,Laurie Dow,Terri M Booker,Chris Hall,Kay Yu,Sherman Toppin,James F Berardinelli,Janine D Momasso,Robert Trimble,Henry Mcgregor Sias,Gregory Weyer,All
Helen Gym,5,168,139,96,126,118,94,87,91,81,86,61,63,52,31,33,26,28,19,20,27,13,14,28,13,17,12,8,7,0,264,170,102,124,127,122,101,106,119,99,79,74,69,65,66,68,45,45,59,35,30,52,32,25,8,All
Allan Domb,,19,42,122,28,96,115,104,13,87,17,40,19,35,35,21,33,11,21,19,15,13,15,12,15,13,19,13,10,0,122,111,112,98,63,93,52,58,59,67,91,76,70,45,44,49,39,45,38,58,49,31,31,15,12,All
Adrián Rivera-reyes,,,7,34,121,23,12,22,90,29,79,14,30,16,16,43,10,14,12,13,19,18,6,1,5,5,5,3,1,0,180,107,53,64,97,42,97,47,45,48,30,33,29,29,33,22,27,22,26,16,17,16,18,14,9,All
Isaiah Thomas,,,,8,22,76,99,69,27,23,17,10,24,18,12,12,18,30,22,27,6,18,9,21,7,0,13,7,6,0,96,76,95,89,47,41,35,60,50,32,57,67,44,48,51,29,50,27,25,58,20,27,22,14,11,All
Deja Lynn Alvarez,,,,,4,20,15,14,87,25,74,16,26,14,13,32,3,11,13,6,16,16,5,5,5,5,4,3,5,0,145,99,43,63,89,41,81,33,50,45,17,28,20,20,29,16,15,10,22,15,13,13,18,16,6,All
Katherine Gilmore Richardson,,,,,,2,89,65,11,44,7,43,35,43,15,21,11,19,12,10,8,7,12,9,8,12,4,3,7,0,88,74,89,69,28,67,27,65,61,49,68,50,46,35,43,35,34,33,30,40,20,28,11,7,6,All
Derek S Green,,,,,,,0,61,9,31,6,7,9,10,13,5,17,7,11,14,3,11,7,10,9,8,16,4,4,0,52,74,71,55,28,33,25,39,33,37,55,47,24,41,29,25,32,26,16,54,16,18,18,12,8,All
Justin Diberardinis,,,,,,,,0,1,37,2,22,27,15,20,7,10,8,8,8,6,8,8,20,5,9,8,2,4,0,46,45,75,58,17,50,15,34,47,33,63,47,27,17,21,26,14,23,20,31,41,32,14,13,8,All
Willie Floyd Singletary,,,,,,,,,6,16,69,2,1,8,13,13,11,18,3,5,8,5,7,2,4,4,4,2,2,0,104,84,24,34,83,25,80,16,19,37,5,11,9,23,22,11,22,13,12,11,6,6,17,4,7,All
Eryn Santamoor,,,,,,,,,,1,5,33,25,12,13,20,16,11,7,5,16,7,6,3,8,10,5,6,3,0,80,41,38,46,32,54,28,46,43,42,36,27,26,21,28,33,16,31,26,13,22,20,17,11,5,All
Ogbonna Paul Hagins,,,,,,,,,,,2,4,2,6,7,7,6,4,5,6,4,2,1,1,0,0,1,1,1,0,84,72,10,32,62,10,61,11,19,32,10,12,9,16,12,7,13,6,9,10,5,5,11,3,6,All
Beth Finn,,,,,,,,,,,,0,16,31,12,8,16,8,6,3,10,4,11,4,7,8,3,5,2,0,62,21,18,36,16,52,16,32,30,27,23,20,32,20,25,19,10,21,16,6,15,14,12,7,4,All
Erika Almirón,,,,,,,,,,,,,0,22,2,23,1,10,7,1,9,8,5,15,4,4,8,2,4,0,55,12,28,47,13,36,12,52,41,21,26,25,20,12,24,17,12,17,19,9,11,23,7,14,2,All
Sandra Dungee Glenn,,,,,,,,,,,,,,0,6,7,1,17,11,4,9,4,4,4,2,7,3,4,1,0,52,16,33,23,10,37,10,31,33,18,11,20,18,14,23,18,19,10,16,12,9,17,7,4,4,All
Joseph A Diorio,,,,,,,,,,,,,,,0,12,16,5,4,2,8,7,9,0,8,11,7,5,2,0,38,29,20,22,23,26,21,11,21,25,17,11,22,20,8,8,6,13,8,5,23,17,21,5,6,All
Fernando Treviño,,,,,,,,,,,,,,,,1,5,7,3,5,9,17,5,1,1,2,3,0,4,0,47,19,17,27,17,17,15,23,23,28,17,15,10,19,17,12,9,18,14,8,14,4,11,6,4,All
Billy Thompson,,,,,,,,,,,,,,,,,1,7,6,6,2,1,10,4,7,10,7,6,4,0,31,17,6,15,14,23,18,21,12,13,16,17,15,24,14,11,13,16,10,12,10,7,11,4,7,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,0,14,12,6,5,6,5,7,4,4,6,2,0,35,18,25,22,17,27,13,28,20,7,5,15,11,23,31,13,27,9,7,11,8,10,10,3,4,All
Asa Khalif,,,,,,,,,,,,,,,,,,,0,18,7,6,4,6,3,2,10,3,2,0,26,14,16,25,12,18,11,22,12,8,11,16,11,11,18,10,15,10,10,9,9,9,5,4,7,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,1,6,5,1,7,3,0,6,2,2,0,23,13,17,18,16,12,12,21,8,6,7,11,12,15,14,9,23,9,8,12,7,6,6,1,4,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,2,8,1,6,2,1,2,2,0,36,12,15,28,20,25,10,10,15,14,3,12,14,12,9,9,4,5,12,4,7,8,6,2,2,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,0,3,1,1,4,6,4,2,0,23,13,20,21,5,13,7,13,11,6,10,9,14,10,16,9,11,6,14,8,8,10,12,6,5,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,0,2,3,2,2,2,2,0,21,14,15,15,10,18,8,9,15,10,11,8,13,9,7,14,7,9,4,4,7,4,4,3,3,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,5,4,2,0,20,9,14,16,5,12,2,23,19,4,5,17,5,9,10,9,8,2,10,5,6,11,3,3,6,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,0,11,6,4,2,0,24,9,5,11,13,17,12,7,9,12,6,4,15,6,3,3,10,11,1,5,8,6,8,4,5,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,1,0,20,15,11,9,13,19,10,10,8,15,8,9,12,8,8,3,5,8,7,6,8,4,8,7,4,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,0,12,6,11,13,11,13,9,10,9,7,4,12,11,13,10,6,11,11,8,5,12,5,10,3,5,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,12,13,8,7,10,10,7,6,2,6,5,10,8,11,2,5,5,7,0,2,3,4,4,4,2,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,3,3,9,8,3,7,4,6,6,7,5,6,6,2,9,4,5,3,4,6,3,2,2,4,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,133,76,146,159,111,117,91,107,78,38,59,83,43,67,57,35,31,56,23,25,46,33,17,6,All
Joshua Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,72,87,104,47,107,27,41,68,67,64,23,52,24,17,22,24,10,52,21,7,14,12,2,All
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,71,19,57,19,42,46,34,57,63,34,32,48,28,31,15,38,48,18,29,26,14,9,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,63,46,51,54,44,45,72,57,27,41,34,27,15,32,46,26,43,17,13,10,All
Craig Levin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33,96,23,26,50,20,20,39,36,16,20,17,20,8,11,12,10,18,5,7,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,67,74,41,38,36,56,32,41,44,32,28,31,12,35,32,12,16,7,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,21,40,18,15,19,26,21,10,17,16,13,9,13,5,20,4,10,All
Tiffany Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,47,45,37,37,37,58,31,36,52,37,12,20,21,16,10,9,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,31,41,46,33,39,41,21,11,24,8,13,42,11,14,3,All
James C Crumlish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,58,25,20,44,20,15,13,62,9,6,31,7,27,7,4,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,25,30,16,11,9,47,14,40,36,11,14,24,8,All
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,14,32,20,22,14,19,44,13,22,13,13,7,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,14,22,22,10,19,8,22,29,17,9,8,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,18,30,25,9,23,21,6,27,6,8,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,32,26,26,15,7,14,24,10,5,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,10,19,14,14,21,7,5,5,All
