col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,City Commissioners - Democrat,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Jen Devor,Marwan Kreidie,Annette Thompson,Dennis Lee,Luigi Borda,Carla Cain,Moira Bohannon,Robin Trent,Warren Bloom,Lewis Harris Jr,Jennifer Schultz,Anthony Kyriakakis,Joshua Roberts,Tiffany Palmer,James C Crumlish,Carmella Jacquinto,Wendi Barish,Cateria R Mccabe,Kay Yu,Henry Mcgregor Sias,Craig Levin,Nicola Serianni,Leon Goodman,Beth Grossman,Chris Hall,Kendra Mccrae,Jon Marshall,Sherman Toppin,Terri M Booker,Vicki Markovitz,Laurie Dow,Janine D Momasso,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Omar Sabir,"3,199","26,745","8,202",557,"4,945","2,641","2,900",787,"1,224",390,581,515,659,"17,512","19,476","35,307","9,994","15,290","23,422","11,361","17,523","5,850","15,159","13,171","6,982","11,265","5,458","4,206","8,354","9,575","12,943","9,026","3,321","5,258","4,890","3,011","2,174","1,219",All
Lisa Deeley,,"1,815","5,421","1,436","3,383","3,516","1,258","1,947","1,568",672,589,453,282,"18,332","22,035","28,732","10,588","15,944","21,247","14,041","14,602","6,271","15,240","9,691","8,239","8,166","8,408","3,969","5,399","6,201","9,375","5,179","5,676","4,683","3,275","3,399","1,499",779,All
Kahlil Williams,,,"1,255","14,512","3,007","2,290","2,124","1,386","1,171",790,821,490,797,"15,145","23,494","6,365","29,207","10,942","6,169","11,491","10,272","18,469","12,071","5,573","8,428","9,628","5,836","12,256","7,351","2,881","3,699","5,989","5,350","4,399","3,880","5,063","1,682","1,092",All
Jen Devor,,,,225,"1,016",409,302,"1,640",723,581,228,123,198,"10,384","14,322","1,300","17,613","6,305","2,053","6,275","5,585","12,315","6,759","1,626","5,888","2,533","2,926","7,820","2,181",442,486,934,"2,938","1,783","1,901","3,019",326,587,All
Marwan Kreidie,,,,,827,543,656,"1,195",552,470,447,245,93,"12,052","5,513","7,450","6,336","5,188","2,012","4,453","2,460","3,903","2,428","6,758","4,329","2,212","2,485","3,273","2,189","5,533","1,063","1,184","1,705","1,432","1,281","1,140",998,390,All
Annette Thompson,,,,,,279,418,344,"1,053",435,487,285,298,"6,155","2,042","3,013","5,018","1,918","3,266","4,764","2,786","2,305",905,"2,380","3,831","2,718","4,495","1,732","3,996","1,882","1,478","3,189","2,534","2,802","1,947","1,068",932,483,All
Dennis Lee,,,,,,,297,504,744,143,316,306,276,"2,699","3,126","2,604","3,088","2,607","2,478","2,191","3,084","2,230","1,634","2,514","1,742","3,625","2,007","1,574","2,203","1,436","1,850","1,974","1,142","2,046","1,828","1,452",892,420,All
Luigi Borda,,,,,,,,499,461,273,163,217,98,"4,020","3,765","1,987","4,302","3,328","1,802","2,897","2,401","3,037","2,488","1,626","4,225","1,451","1,982","1,767","1,161",816,618,613,"1,261",885,"1,430","1,694",685,363,All
Carla Cain,,,,,,,,,131,439,316,151,161,"3,702","2,174","1,365","3,740","2,000","2,410","3,051","2,063","2,258",974,"1,658","2,384","1,496","2,712","1,485","2,456",707,"1,098","1,499","1,780","2,252","1,734","1,172",448,274,All
Moira Bohannon,,,,,,,,,,40,212,85,66,"2,135","1,673",529,"2,418","1,266","1,182","1,883","1,119","1,426",712,511,"1,591",489,"1,355",998,"1,171",309,206,535,997,874,876,508,211,133,All
Robin Trent,,,,,,,,,,,56,153,141,"1,707","1,205",876,"1,978","1,037",951,"1,385","1,042","1,100",499,847,"1,156",893,"1,288",962,"1,254",541,510,"1,064",869,960,647,517,357,221,All
Warren Bloom,,,,,,,,,,,,94,168,"1,082",822,898,944,679,499,942,622,545,362,"1,174",535,996,"1,137",586,572,531,491,746,770,479,387,582,424,225,All
Lewis Harris Jr,,,,,,,,,,,,,75,937,654,927,"1,170",600,629,643,647,625,345,783,592,"1,049",742,810,852,663,570,"1,130",465,550,410,491,425,323,All
Jennifer Schultz,,,,,,,,,,,,,,"1,477","12,976","12,503","19,828","7,961","7,296","14,810","10,653","12,774","6,825","13,021","14,932","6,389","9,959","6,645","7,253","9,916","2,614","4,300","6,123","5,399","5,519","3,972","2,114",842,All
Anthony Kyriakakis,,,,,,,,,,,,,,,369,"18,974","28,881","22,017","18,994","13,321","17,143","19,187","24,641","4,501","7,526","8,393","4,926","15,429","3,803","1,312","9,004","2,134","4,813","2,137","2,059","5,614","1,050",723,All
