col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 1st District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Lou Lanni,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Kay Yu,Nicola Serianni,Wendi Barish,James C Crumlish,Henry Mcgregor Sias,Chris Hall,Cateria R Mccabe,Beth Grossman,Joshua Roberts,Carmella Jacquinto,James F Berardinelli,Craig Levin,Vicki Markovitz,Kendra Mccrae,Janine D Momasso,Leon Goodman,Laurie Dow,Jon Marshall,Terri M Booker,Sherman Toppin,Robert Trimble,Gregory Weyer,All
Mark F Squilla,"1,655",0,"8,295","7,985","6,212","5,898","4,796","4,204","3,805","3,883","3,518","3,126","2,267","2,195","2,199","2,124","1,734","1,486","1,272","1,104","1,113","1,013",689,719,587,437,223,All
Lou Lanni,,309,"1,374","1,089","1,768",898,955,"1,080",727,543,568,524,826,629,548,345,695,541,475,413,334,390,375,254,140,196,76,All
Tiffany Palmer,,,27,"7,328","4,967","5,783","3,676","3,559","2,909","3,315","3,796","2,668","1,112",383,920,"1,615",524,946,885,828,635,642,111,370,115,146,140,All
Anthony Kyriakakis,,,,54,"3,717","5,121","3,028","2,636","3,451","3,380","3,881","2,011",859,"1,150","1,283","1,770",690,695,461,237,610,320,138,202,438,203,96,All
Jennifer Schultz,,,,,79,"3,791","3,162","2,376","1,026","1,343","1,810","2,554","1,523",897,842,"1,450","1,079",900,881,910,425,666,637,368,164,240,90,All
Kay Yu,,,,,,63,"2,750","2,023","1,073","2,528","2,088","1,985",640,212,678,"1,402",316,529,623,350,326,393,82,261,112,113,109,All
Nicola Serianni,,,,,,,25,"2,604","1,032","1,774",386,"2,123",980,803,893,448,586,622,651,958,305,479,316,263,128,163,99,All
Wendi Barish,,,,,,,,8,"1,128","1,742",776,"1,073","1,328",495,755,402,685,"1,028",723,868,555,728,223,358,114,177,83,All
James C Crumlish,,,,,,,,,23,"1,005","2,530",367,678,"1,060",843,479,699,320,312,111,455,266,261,177,112,146,45,All
Henry Mcgregor Sias,,,,,,,,,,32,659,"1,223",355,779,892,298,254,405,259,163,360,173,73,123,377,122,97,All
Chris Hall,,,,,,,,,,,8,204,380,198,286,"1,385",306,242,259,74,204,224,70,105,53,124,39,All
Cateria R Mccabe,,,,,,,,,,,,5,396,539,701,199,177,297,414,761,249,247,86,156,424,85,52,All
Beth Grossman,,,,,,,,,,,,,19,434,646,420,608,888,614,379,391,623,200,304,78,129,75,All
Joshua Roberts,,,,,,,,,,,,,,48,924,199,818,186,139,82,313,120,559,192,446,119,43,All
Carmella Jacquinto,,,,,,,,,,,,,,,17,231,258,430,492,353,266,356,86,301,385,118,48,All
James F Berardinelli,,,,,,,,,,,,,,,,9,277,244,142,275,199,125,82,70,51,145,68,All
Craig Levin,,,,,,,,,,,,,,,,,55,367,152,146,360,151,541,161,86,197,37,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,6,398,273,391,388,85,173,67,103,50,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,6,276,219,341,79,223,97,97,27,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,6,109,238,50,184,84,72,66,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,9,141,148,239,121,114,34,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,6,67,164,74,76,30,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,24,64,57,81,25,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,8,87,83,46,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,4,47,25,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,3,All
Total,"16,535","3,777","10,497","9,860","8,575","7,353","6,162","5,697","4,879","4,851","4,402","4,021","3,258","3,021","2,933","2,660","2,626","2,180","1,839","1,683","1,580","1,477","1,133","1,031",805,677,328,All
